ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1992,1992-11-29,12,23.286,CIN,,PIT,L 9-21,*,16,34,47.06,140,0,0,58.5,10,72,4.12,4.12,8,44,5.50,0,,0,0,,0,0.0%,
2,1992,1992-12-06,13,23.293,CIN,@,CLE,L 21-37,*,12,25,48.00,134,2,0,91.1,4,35,5.36,6.96,1,1,1.00,0,,0,0,,0,0.0%,
3,1992,1992-12-13,14,23.300,CIN,@,SDG,L 10-27,*,13,26,50.00,195,1,2,55.8,4,39,7.50,4.81,1,-1,-1.00,0,,0,0,,0,0.0%,
4,1992,1992-12-20,15,23.307,CIN,,NWE,W 20-10,*,6,13,46.15,61,0,0,60.1,0,0,4.69,4.69,1,9,9.00,0,,0,0,,0,0.0%,
5,1993,1993-09-05,1,24.200,CIN,@,CLE,L 14-27,*,20,28,71.43,214,1,2,75.6,6,42,7.64,5.14,3,8,2.67,0,,0,0,,0,0.0%,
6,1993,1993-09-12,2,24.207,CIN,,IND,L 6-9,*,16,37,43.24,146,0,1,43.3,2,5,3.95,2.73,2,37,18.50,0,,0,0,,0,0.0%,
7,1993,1993-09-19,3,24.214,CIN,@,PIT,L 7-34,*,17,21,80.95,135,1,0,109.3,2,12,6.43,7.38,3,13,4.33,0,,0,0,,0,0.0%,
8,1993,1993-09-26,4,24.221,CIN,,SEA,L 10-19,*,11,23,47.83,155,0,1,51.9,3,4,6.74,4.78,1,11,11.00,0,,0,0,,0,0.0%,
9,1993,1993-10-10,5,24.235,CIN,@,KAN,L 15-17,*,16,30,53.33,173,0,1,56.7,4,11,5.77,4.27,2,11,5.50,0,,0,0,,0,0.0%,
10,1993,1993-10-17,6,24.242,CIN,,CLE,L 17-28,*,3,9,33.33,25,0,0,42.4,2,22,2.78,2.78,1,9,9.00,0,,0,0,,0,0.0%,
11,1993,1993-11-14,9,24.270,CIN,,HOU,L 3-38,,4,17,23.53,34,0,0,39.6,3,11,2.00,2.00,4,49,12.25,0,,0,0,,0,0.0%,
12,1993,1993-11-21,10,24.277,CIN,@,NYJ,L 12-17,*,22,31,70.97,196,1,2,71.4,4,20,6.32,4.06,1,9,9.00,0,,0,0,,0,0.0%,
13,1993,1993-11-28,11,24.284,CIN,,RAI,W 16-10,*,14,20,70.00,157,0,0,93.1,4,24,7.85,7.85,7,12,1.71,0,,0,0,,0,0.0%,
14,1993,1993-12-05,12,24.291,CIN,@,SFO,L 8-21,*,13,19,68.42,97,0,1,58.4,0,0,5.11,2.74,4,31,7.75,0,,0,0,,0,0.0%,
15,1993,1993-12-12,13,24.298,CIN,@,NWE,L 2-7,*,9,25,36.00,89,0,1,30.2,4,26,3.56,1.76,3,39,13.00,0,,0,0,,0,0.0%,
16,1993,1993-12-19,14,24.305,CIN,,RAM,W 15-3,*,16,30,53.33,223,0,0,77.5,1,0,7.43,7.43,4,5,1.25,0,,0,0,,0,0.0%,
17,1993,1993-12-26,15,24.312,CIN,,ATL,W 21-17,*,16,30,53.33,174,3,0,104.0,2,12,5.80,7.80,3,36,12.00,0,,0,0,,0,0.0%,
