ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,25.256,CHI,@,RAM,W 24-20,*,5,16,31.25,83,0,1,23.7,0,0,5.19,2.38,3,14,4.67,0,0,0,,0
2,1950,1950-09-24,2,25.263,CHI,@,SFO,W 32-20,*,14,27,51.85,174,0,2,41.3,0,0,6.44,3.11,5,34,6.80,0,1,16,16.00,0
3,1950,1950-10-01,3,25.270,CHI,@,GNB,L 21-31,*,16,32,50.00,214,0,4,32.0,0,0,6.69,1.06,6,30,5.00,1,0,0,,0
4,1950,1950-10-08,4,25.277,CHI,,CRD,W 27-6,*,9,15,60.00,93,0,2,38.3,0,0,6.20,0.20,10,80,8.00,2,0,0,,0
5,1950,1950-10-15,5,25.284,CHI,,GNB,W 28-14,*,10,19,52.63,87,0,0,65.0,0,0,4.58,4.58,4,34,8.50,3,0,0,,0
6,1950,1950-10-29,6,25.298,CHI,@,NYY,L 27-38,*,20,39,51.28,331,1,4,49.1,0,0,8.49,4.38,6,28,4.67,1,0,0,,0
7,1950,1950-11-05,7,25.305,CHI,@,DET,W 35-21,*,7,10,70.00,131,1,1,106.2,0,0,13.10,10.60,6,54,9.00,2,0,0,,0
8,1950,1950-11-12,8,25.312,CHI,,NYY,W 28-20,*,10,19,52.63,120,0,2,32.7,0,0,6.32,1.58,4,3,0.75,1,0,0,,0
9,1950,1950-11-19,9,25.319,CHI,,SFO,W 17-0,*,4,19,21.05,105,1,1,45.7,0,0,5.53,4.21,3,15,5.00,0,0,0,,0
10,1950,1950-11-26,10,25.326,CHI,,RAM,W 24-14,*,10,18,55.56,174,1,1,84.0,0,0,9.67,8.28,6,62,10.33,0,0,0,,0
11,1950,1950-12-03,11,25.333,CHI,@,CRD,L 10-20,*,7,18,38.89,112,0,1,37.3,0,0,6.22,3.72,5,15,3.00,1,0,0,,0
12,1950,1950-12-10,12,25.340,CHI,,DET,W 6-3,*,9,22,40.91,107,0,2,18.6,0,0,4.86,0.77,5,28,5.60,0,0,0,,0
13,1951,1951-09-30,1,26.269,CHI,@,GNB,W 31-20,*,12,18,66.67,160,0,1,71.5,0,0,8.89,6.39,8,54,6.75,0,0,0,,0
14,1951,1951-10-07,2,26.276,CHI,@,CRD,L 14-28,,15,32,46.88,208,2,2,63.0,0,0,6.50,4.94,6,17,2.83,0,0,0,,0
15,1951,1951-10-14,3,26.283,CHI,,NYY,W 24-21,*,8,22,36.36,141,1,0,74.2,0,0,6.41,7.32,1,10,10.00,1,0,0,,0
16,1951,1951-10-21,4,26.290,CHI,,SFO,W 13-7,*,7,17,41.18,146,1,2,52.2,0,0,8.59,4.47,5,19,3.80,1,0,0,,0
17,1951,1951-11-04,6,26.304,CHI,@,WAS,W 27-0,,1,6,16.67,32,0,0,49.3,0,0,5.33,5.33,2,6,3.00,0,0,0,,0
18,1951,1951-11-11,7,26.311,CHI,,DET,L 28-41,,14,20,70.00,187,2,1,111.9,0,0,9.35,9.10,1,6,6.00,0,0,0,,0
19,1951,1951-11-18,8,26.318,CHI,,GNB,W 24-13,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,0,0,,0,0,0,,0
20,1951,1951-11-25,9,26.325,CHI,@,CLE,L 21-42,,2,6,33.33,29,0,1,10.4,0,0,4.83,-2.67,2,10,5.00,0,0,0,,0
21,1951,1951-12-02,10,26.332,CHI,,RAM,L 17-42,*,7,20,35.00,95,0,0,51.0,0,0,4.75,4.75,6,8,1.33,2,0,0,,0
22,1951,1951-12-09,11,26.339,CHI,@,NYY,W 45-21,*,11,20,55.00,126,1,0,90.8,0,0,6.30,7.30,3,8,2.67,3,0,0,,0
23,1951,1951-12-16,12,26.346,CHI,,CRD,L 14-24,*,7,13,53.85,164,1,1,92.6,0,0,12.62,10.69,1,22,22.00,0,0,0,,0
