ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.217,NYG,@,PHI,W 23-14,,,,,,,,,,
2,1975,1975-09-28,2,22.224,NYG,@,WAS,L 13-49,,,,,,,,,,
3,1975,1975-10-05,3,22.231,NYG,@,STL,L 14-26,,,,,,,,,,
4,1975,1975-10-12,4,22.238,NYG,,DAL,L 7-13,,,,,,,,,,
5,1975,1975-10-20,5,22.246,NYG,@,BUF,W 17-14,,,,,,,,,,
6,1975,1975-10-25,6,22.251,NYG,,STL,L 13-20,,,,,,,,,,
7,1975,1975-11-01,7,22.258,NYG,,SDG,W 35-24,,,,,,,,,,
8,1975,1975-11-09,8,22.266,NYG,,WAS,L 13-21,,,,,,,,,,
9,1975,1975-11-16,9,22.273,NYG,,PHI,L 10-13,,,,,,,,,,
10,1975,1975-11-23,10,22.280,NYG,@,GNB,L 14-40,,,,,,,,,,
11,1975,1975-11-30,11,22.287,NYG,@,DAL,L 3-14,,,,,,,,,,
12,1975,1975-12-07,12,22.294,NYG,,BAL,L 0-21,,,,,,,,,,
13,1975,1975-12-14,13,22.301,NYG,,NOR,W 28-14,,,,,,,,,,
14,1975,1975-12-21,14,22.308,NYG,@,SFO,W 26-23,,,,,,,,,,
15,1976,1976-09-12,1,23.209,NYG,@,WAS,L 17-19,,,,,,,,,,
16,1976,1976-09-19,2,23.216,NYG,@,PHI,L 7-20,,,,,,,,,,
17,1976,1976-09-26,3,23.223,NYG,@,RAM,L 10-24,,,,,,,,,,
18,1976,1976-10-03,4,23.230,NYG,@,STL,L 21-27,,,,,,,,,,
19,1976,1976-10-10,5,23.237,NYG,,DAL,L 14-24,,,,,,,,,,
20,1976,1976-10-17,6,23.244,NYG,@,MIN,L 7-24,,,,,,,,,,
21,1976,1976-10-24,7,23.251,NYG,,PIT,L 0-27,,,,,,,,,,
22,1976,1976-10-31,8,23.258,NYG,,PHI,L 0-10,,,,,,,,,,
23,1976,1976-11-07,9,23.265,NYG,@,DAL,L 3-9,,,,,,,,,,
24,1976,1976-11-14,10,23.272,NYG,,WAS,W 12-9,,,,,,,,,,
25,1976,1976-11-21,11,23.279,NYG,@,DEN,L 13-14,,,,,,,,,,
26,1976,1976-11-28,12,23.286,NYG,,SEA,W 28-16,,,,,,,,,,
27,1976,1976-12-05,13,23.293,NYG,,DET,W 24-10,,,,,,,,,,
28,1976,1976-12-12,14,23.300,NYG,,STL,L 14-17,,,,,,,,,,
29,1977,1977-09-18,1,24.214,NYG,,WAS,W 20-17,0,0,,0,1,6,0.0,1,30,1
30,1977,1977-10-23,6,24.249,NYG,@,WAS,W 17-6,,,,,,,,,,
31,1977,1977-10-31,7,24.257,NYG,@,STL,L 0-28,,,,,,,,,,
32,1977,1977-11-06,8,24.263,NYG,,DAL,L 10-24,,,,,,,,,,
33,1977,1977-11-13,9,24.270,NYG,@,TAM,W 10-0,,,,,,,,,,
34,1977,1977-11-20,10,24.277,NYG,,CLE,L 7-21,,,,,,,,,,
35,1977,1977-11-27,11,24.284,NYG,@,CIN,L 13-30,,,,,,,,,,
36,1977,1977-12-04,12,24.291,NYG,,STL,W 27-7,,,,,,,,,,
37,1977,1977-12-11,13,24.298,NYG,@,PHI,L 14-17,,,,,,,,,,
38,1977,1977-12-18,14,24.305,NYG,,CHI,L 9-12,,,,,,,,,,
39,1978,1978-09-02,1,25.198,NYG,@,TAM,W 19-13,,,,,,,,,,
