ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1992,1992-12-20,15,22.192,SEA,@,DEN,L 6-10,2,12,6.00,0
2,1992,1992-12-27,16,22.199,SEA,,SDG,L 14-31,2,19,9.50,0
