ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,21.122,DAL,@,CLE,W 28-10,,9,62,6.89,1,0,0,0,,0,0.0%,,1,20,20.00,0,1,6,0.0,1,0
2,2008,2008-09-15,2,21.130,DAL,,PHI,W 41-37,,3,10,3.33,0,0,0,0,,0,0.0%,,6,247,41.17,1,1,6,0.0,0,0
3,2008,2008-09-21,3,21.136,DAL,@,GNB,W 27-16,,6,76,12.67,1,1,1,3,3.00,0,100.0%,3.00,2,49,24.50,0,1,6,0.0,0,0
4,2008,2008-09-28,4,21.143,DAL,,WAS,L 24-26,,0,0,,0,0,0,0,,0,0.0%,,4,54,13.50,0,0,0,0.0,0,0
5,2008,2008-10-05,5,21.150,DAL,,CIN,W 31-22,,9,96,10.67,1,1,1,7,7.00,0,100.0%,7.00,2,42,21.00,0,1,6,0.0,0,0
6,2008,2008-10-12,6,21.157,DAL,@,ARI,L 24-30,,3,22,7.33,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,0.0,0,0
7,2009,2009-09-13,1,22.128,DAL,@,TAM,W 34-21,,6,22,3.67,0,0,0,0,,0,0.0%,,2,50,25.00,0,0,0,0.0,0,0
8,2009,2009-09-20,2,22.135,DAL,,NYG,L 31-33,,7,96,13.71,1,1,0,0,,0,0.0%,0.00,6,134,22.33,0,1,6,0.0,0,0
9,2009,2009-09-28,3,22.143,DAL,,CAR,W 21-7,*,8,94,11.75,0,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,0.0,0,0
10,2009,2009-10-25,6,22.170,DAL,,ATL,W 37-21,,8,37,4.63,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
11,2009,2009-11-01,7,22.177,DAL,,SEA,W 38-17,,8,39,4.88,0,1,1,30,30.00,0,100.0%,30.00,3,45,15.00,0,0,0,0.0,0,0
12,2009,2009-11-08,8,22.184,DAL,@,PHI,W 20-16,,4,10,2.50,0,0,0,0,,0,0.0%,,5,105,21.00,0,0,0,0.0,0,0
13,2009,2009-11-15,9,22.191,DAL,@,GNB,L 7-17,,3,6,2.00,0,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,0.0,0,0
14,2009,2009-11-22,10,22.198,DAL,,WAS,W 7-6,,10,49,4.90,0,1,1,7,7.00,0,100.0%,7.00,3,66,22.00,0,0,0,0.0,0,0
15,2009,2009-11-26,11,22.202,DAL,,OAK,W 24-7,,7,68,9.71,1,2,2,1,0.50,0,100.0%,0.50,0,0,,0,1,6,0.0,0,0
