ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,25.265,RAM,,CHI,L 20-24,10,33,3.30,0,4,63,15.75,0,0,0,,0,0,,,,,,
2,1950,1950-09-22,2,25.270,RAM,,NYY,W 45-28,7,45,6.43,0,5,103,20.60,1,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,25.279,RAM,@,SFO,W 35-14,12,70,5.83,1,5,29,5.80,0,0,0,,0,0,,,,,,
4,1950,1950-10-07,4,25.285,RAM,@,PHI,L 20-56,10,52,5.20,0,5,85,17.00,0,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,25.293,RAM,@,DET,W 30-28,11,27,2.45,0,4,74,18.50,1,0,0,,0,0,,,,,,
6,1950,1950-10-22,6,25.300,RAM,,BAL,W 70-27,5,4,0.80,0,3,51,17.00,0,1,1,100.00,58,1,0,158.3,0,0,58.00,78.00
7,1950,1950-10-29,7,25.307,RAM,,DET,W 65-24,3,20,6.67,0,1,45,45.00,1,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00
8,1950,1950-11-05,8,25.314,RAM,,SFO,W 28-21,5,2,0.40,0,3,16,5.33,0,0,0,,0,0,,,,,,
9,1950,1950-11-12,9,25.321,RAM,@,GNB,W 45-14,4,9,2.25,0,0,10,,0,1,1,100.00,41,1,0,158.3,0,0,41.00,61.00
10,1950,1950-11-19,10,25.328,RAM,@,NYY,W 43-35,9,53,5.89,1,4,46,11.50,0,0,0,,0,0,,,,,,
11,1950,1950-11-26,11,25.335,RAM,@,CHI,L 14-24,5,8,1.60,0,5,26,5.20,0,1,1,100.00,-2,0,0,79.2,0,0,-2.00,-2.00
12,1950,1950-12-03,12,25.342,RAM,,GNB,W 51-14,7,93,13.29,1,3,44,14.67,1,0,0,,0,0,,,,,,
13,1951,1951-10-07,2,26.285,RAM,,CLE,L 23-38,8,27,3.38,1,1,14,14.00,1,0,0,,0,0,,,,,,
14,1951,1951-10-14,3,26.292,RAM,@,DET,W 27-21,11,41,3.73,0,1,4,4.00,0,0,0,,0,0,,,,,,
15,1951,1951-10-21,4,26.299,RAM,@,GNB,W 28-0,10,20,2.00,0,0,0,,0,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00
16,1951,1951-10-28,5,26.306,RAM,@,SFO,L 17-44,8,25,3.13,0,1,11,11.00,0,0,0,,0,0,,,,,,
17,1951,1951-11-04,6,26.313,RAM,,SFO,W 23-16,4,24,6.00,0,1,5,5.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
18,1951,1951-11-11,7,26.320,RAM,,CRD,W 45-21,1,23,23.00,0,0,0,,0,0,0,,0,0,,,,,,
19,1951,1951-11-18,8,26.327,RAM,,NYY,W 48-21,9,30,3.33,0,1,5,5.00,0,0,0,,0,0,,,,,,
20,1951,1951-11-25,9,26.334,RAM,@,WAS,L 21-31,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,
21,1951,1951-12-09,11,26.348,RAM,,DET,L 22-24,10,14,1.40,0,2,34,17.00,0,0,0,,0,0,,,,,,
22,1951,1951-12-16,12,26.355,RAM,,GNB,W 42-14,2,-4,-2.00,0,1,17,17.00,0,0,0,,0,0,,,,,,
