ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.239,CLE,,DAL,L 10-28,,2,29,14.50,0,0,0,,0,0.0,0,0
2,2008,2008-09-14,2,23.246,CLE,,PIT,L 6-10,,,,,,,,,,,,
3,2008,2008-09-21,3,23.253,CLE,@,BAL,L 10-28,,,,,,,,,,,,
4,2008,2008-09-28,4,23.260,CLE,@,CIN,W 20-12,,0,0,,0,0,0,,0,0.0,0,1
5,2008,2008-10-13,5,23.275,CLE,,NYG,W 35-14,,,,,,,,,,,,
6,2008,2008-10-19,6,23.281,CLE,@,WAS,L 11-14,,1,43,43.00,0,0,0,,0,0.0,0,0
7,2008,2008-10-26,7,23.288,CLE,@,JAX,W 23-17,,,,,,,,,,,,
8,2008,2008-11-02,8,23.295,CLE,,BAL,L 27-37,,,,,,,,,,,,
9,2008,2008-11-06,9,23.299,CLE,,DEN,L 30-34,,,,,,,,,,,,
10,2008,2008-11-23,11,23.316,CLE,,HOU,L 6-16,,0,0,,0,0,0,,0,0.0,0,0
11,2008,2008-11-30,12,23.323,CLE,,IND,L 6-10,,,,,,,,,,,,
12,2008,2008-12-07,13,23.330,CLE,@,TEN,L 9-28,,,,,,,,,,,,
13,2008,2008-12-15,14,23.338,CLE,@,PHI,L 10-30,,,,,,,,,,,,
14,2008,2008-12-21,15,23.344,CLE,,CIN,L 0-14,,,,,,,,,,,,
15,2008,2008-12-28,16,23.351,CLE,@,PIT,L 0-31,,,,,,,,,,,,
16,2009,2009-09-13,1,24.244,CLE,,MIN,L 20-34,,,,,,,,,,,,
17,2009,2009-09-20,2,24.251,CLE,@,DEN,L 6-27,,,,,,,,,,,,
18,2009,2009-11-16,9,24.308,CLE,,BAL,L 0-16,,1,12,12.00,0,0,0,,0,0.0,0,0
19,2009,2009-11-22,10,24.314,CLE,@,DET,L 37-38,,3,22,7.33,0,0,0,,0,0.0,0,0
20,2009,2009-12-20,14,24.342,CLE,@,KAN,W 41-34,,1,9,9.00,0,1,4,4.00,0,0.0,0,0
21,2010,2011-01-02,16,25.355,PHI,,DAL,L 13-14,,2,48,24.00,0,0,0,,0,0.0,0,0
