ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-08,1,24.084,OAK,,DEN,L 14-41,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
2,2008,2008-09-14,2,24.090,OAK,@,KAN,W 23-8,,16,90,5.63,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,1,0
3,2008,2008-09-21,3,24.097,OAK,@,BUF,L 23-24,,14,55,3.93,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
4,2008,2008-09-28,4,24.104,OAK,,SDG,L 18-28,,14,48,3.43,0,8,7,80,11.43,0,87.5%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
5,2008,2008-10-12,5,24.118,OAK,@,NOR,L 3-34,,3,9,3.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
6,2008,2008-10-19,6,24.125,OAK,,NYJ,W 16-13,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
7,2008,2008-10-26,7,24.132,OAK,@,BAL,L 10-29,,6,10,1.67,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
8,2008,2008-11-02,8,24.139,OAK,,ATL,L 0-24,,3,-2,-0.67,0,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
9,2008,2008-11-09,9,24.146,OAK,,CAR,L 6-17,,8,30,3.75,0,9,5,43,8.60,0,55.6%,4.78,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
10,2008,2008-11-23,11,24.160,OAK,@,DEN,W 31-10,,2,0,0.00,0,0,0,0,,0,0.0%,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,0,0,0.0,0,0
11,2008,2008-11-30,12,24.167,OAK,,KAN,L 13-20,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
12,2008,2008-12-04,13,24.171,OAK,@,SDG,L 7-34,,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
13,2008,2008-12-14,14,24.181,OAK,,NWE,L 26-49,,0,0,,0,1,0,0,,0,0.0%,0.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,14,14.00,0,0,0,0.0,0,0
14,2008,2008-12-21,15,24.188,OAK,,HOU,W 27-16,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
15,2008,2008-12-28,16,24.195,OAK,@,TAM,W 31-24,,27,177,6.56,2,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,0,0
16,2009,2009-09-14,1,25.090,OAK,,SDG,L 20-24,*,12,55,4.58,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
17,2009,2009-09-20,2,25.096,OAK,@,KAN,W 13-10,,9,35,3.89,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
18,2009,2009-09-27,3,25.103,OAK,,DEN,L 3-23,,6,20,3.33,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
19,2009,2009-10-04,4,25.110,OAK,@,HOU,L 6-29,,3,10,3.33,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
20,2009,2009-10-11,5,25.117,OAK,@,NYG,L 7-44,*,12,37,3.08,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
21,2009,2009-10-18,6,25.124,OAK,,PHI,W 13-9,*,6,22,3.67,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
22,2009,2009-10-25,7,25.131,OAK,,NYJ,L 0-38,*,8,25,3.13,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
23,2009,2009-11-01,8,25.138,OAK,@,SDG,L 16-24,*,7,27,3.86,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
