ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1985,1985-09-08,1,26.188,MIA,@,HOU,L 23-26,
2,1985,1985-09-15,2,26.195,MIA,,IND,W 30-13,
3,1985,1985-09-22,3,26.202,MIA,,KAN,W 31-0,
4,1985,1985-09-29,4,26.209,MIA,@,DEN,W 30-26,1.0
5,1985,1985-10-06,5,26.216,MIA,,PIT,W 24-20,
6,1985,1985-10-14,6,26.224,MIA,@,NYJ,L 7-23,
7,1985,1985-10-20,7,26.230,MIA,,TAM,W 41-38,
8,1985,1985-10-27,8,26.237,MIA,@,DET,L 21-31,
9,1985,1985-11-03,9,26.244,MIA,@,NWE,L 13-17,
10,1985,1985-11-10,10,26.251,MIA,,NYJ,W 21-17,1.5
11,1985,1985-11-17,11,26.258,MIA,@,IND,W 34-20,
12,1985,1985-11-24,12,26.265,MIA,@,BUF,W 23-14,
13,1985,1985-12-02,13,26.273,MIA,,CHI,W 38-24,2.0
14,1985,1985-12-08,14,26.279,MIA,@,GNB,W 34-24,
15,1985,1985-12-16,15,26.287,MIA,,NWE,W 30-27,1.0
16,1985,1985-12-22,16,26.293,MIA,,BUF,W 28-0,
17,1986,1986-09-07,1,27.187,MIA,@,SDG,L 28-50,
18,1986,1986-09-14,2,27.194,MIA,,IND,W 30-10,
19,1986,1986-09-21,3,27.201,MIA,@,NYJ,L 45-51,
20,1986,1986-10-05,5,27.215,MIA,@,NWE,L 7-34,1.0
21,1986,1986-10-12,6,27.222,MIA,,BUF,W 27-14,
22,1986,1986-10-19,7,27.229,MIA,,RAI,L 28-30,
23,1986,1986-10-26,8,27.236,MIA,@,IND,W 17-13,
24,1986,1986-12-07,14,27.278,SDG,,HOU,W 27-0,
25,1986,1986-12-14,15,27.285,SDG,,SEA,L 24-34,
26,1986,1986-12-21,16,27.292,SDG,@,CLE,L 17-47,
