ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1951,1951-09-30,1,22.157,DET,,WAS,W 35-17,1,38,38.00,0,0,0,,0
2,1951,1951-10-14,3,22.171,DET,,RAM,L 21-27,2,49,24.50,1,0,0,,0
3,1951,1951-10-21,4,22.178,DET,,NYY,T 24-24,7,125,17.86,0,0,0,,0
4,1951,1951-10-28,5,22.185,DET,,CHI,L 23-28,4,72,18.00,1,0,0,,0
5,1951,1951-11-11,7,22.199,DET,@,CHI,W 41-28,3,88,29.33,1,0,0,,0
6,1951,1951-11-18,8,22.206,DET,@,PHI,W 28-10,4,79,19.75,2,0,0,,0
7,1951,1951-11-22,9,22.210,DET,,GNB,W 52-35,4,73,18.25,0,0,0,,0
8,1951,1951-12-02,10,22.220,DET,,SFO,L 10-20,3,47,15.67,1,0,0,,0
9,1951,1951-12-16,12,22.234,DET,@,SFO,L 17-21,2,42,21.00,0,0,0,,0
10,1953,1953-09-27,1,24.154,DET,,PIT,W 38-21,1,12,12.00,0,0,0,,0
11,1953,1953-10-11,3,24.168,DET,,SFO,W 24-21,2,26,13.00,0,0,0,,0
12,1953,1953-10-18,4,24.175,DET,,RAM,L 19-31,3,69,23.00,1,0,0,,0
13,1953,1953-10-25,5,24.182,DET,@,SFO,W 14-10,2,60,30.00,1,0,0,,0
14,1953,1953-11-07,7,24.195,DET,,BAL,W 17-7,2,23,11.50,0,0,0,,0
15,1953,1953-11-15,8,24.203,DET,@,GNB,W 14-7,1,11,11.00,0,0,0,,0
16,1953,1953-11-22,9,24.210,DET,@,CHI,W 20-16,1,9,9.00,0,0,0,,0
17,1953,1953-11-26,10,24.214,DET,,GNB,W 34-15,1,10,10.00,0,0,0,,0
18,1953,1953-12-06,11,24.224,DET,,CHI,W 13-7,1,38,38.00,1,0,0,,0
19,1953,1953-12-13,12,24.231,DET,@,NYG,W 27-16,2,16,8.00,0,0,0,,0
20,1954,1954-09-26,1,25.153,DET,,CHI,W 48-23,4,74,18.50,1,0,0,,0
21,1954,1954-10-10,2,25.167,DET,,RAM,W 21-3,1,16,16.00,0,0,0,,0
22,1954,1954-10-16,3,25.173,DET,,BAL,W 35-0,5,87,17.40,2,0,0,,0
23,1954,1954-10-24,4,25.181,DET,@,SFO,L 31-37,5,91,18.20,0,0,0,,0
24,1954,1954-10-31,5,25.188,DET,@,RAM,W 27-24,3,37,12.33,1,0,0,,0
25,1954,1954-11-06,6,25.194,DET,@,BAL,W 27-3,7,93,13.29,0,0,0,,0
26,1954,1954-11-14,7,25.202,DET,,SFO,W 48-7,3,42,14.00,0,0,0,,0
27,1954,1954-11-21,8,25.209,DET,@,GNB,W 21-17,5,77,15.40,1,0,0,,0
28,1954,1954-11-25,9,25.213,DET,,GNB,W 28-24,3,80,26.67,0,0,0,,0
29,1954,1954-12-05,10,25.223,DET,,PHI,T 13-13,3,68,22.67,0,0,0,,0
30,1954,1954-12-12,11,25.230,DET,@,CHI,L 24-28,5,65,13.00,0,0,0,,0
31,1954,1954-12-19,12,25.237,DET,@,CLE,W 14-10,2,38,19.00,1,0,0,,0
32,1955,1955-10-01,2,26.158,DET,@,BAL,L 13-28,5,91,18.20,2,0,0,,0
33,1955,1955-10-09,3,26.166,DET,,RAM,L 10-17,3,36,12.00,0,0,0,,0
34,1955,1955-10-16,4,26.173,DET,,SFO,L 24-27,1,14,14.00,0,0,0,,0
35,1955,1955-10-23,5,26.180,DET,@,RAM,L 13-24,3,32,10.67,0,0,0,,0
36,1955,1955-12-04,11,26.222,DET,@,CHI,L 20-21,2,6,3.00,0,0,0,,0
37,1956,1956-09-30,1,27.157,DET,@,GNB,W 20-16,3,60,20.00,0,1,8,8.00,0
38,1956,1956-10-06,2,27.163,DET,@,BAL,W 31-14,3,106,35.33,1,0,0,,0
39,1956,1956-10-14,3,27.171,DET,,RAM,W 24-21,3,54,18.00,0,0,0,,0
40,1956,1956-10-21,4,27.178,DET,,SFO,W 20-17,4,66,16.50,0,0,0,,0
41,1956,1956-10-28,5,27.185,DET,@,RAM,W 16-7,1,25,25.00,0,0,0,,0
42,1956,1956-11-04,6,27.192,DET,@,SFO,W 17-13,1,14,14.00,0,0,0,,0
43,1956,1956-11-11,7,27.199,DET,@,WAS,L 17-18,6,99,16.50,0,0,0,,0
44,1956,1956-11-18,8,27.206,DET,,BAL,W 27-3,3,44,14.67,0,0,0,,0
45,1956,1956-11-22,9,27.210,DET,,GNB,L 20-24,3,52,17.33,0,0,0,,0
46,1956,1956-12-02,10,27.220,DET,,CHI,W 42-10,2,43,21.50,0,0,0,,0
47,1956,1956-12-16,12,27.234,DET,@,CHI,L 21-38,3,34,11.33,1,0,0,,0
48,1957,1957-09-29,1,28.156,DET,@,BAL,L 14-34,1,5,5.00,0,0,0,,0
49,1957,1957-10-20,4,28.177,DET,,BAL,W 31-27,2,30,15.00,0,1,5,5.00,0
50,1957,1957-11-17,8,28.205,DET,,SFO,W 31-10,2,41,20.50,0,0,0,,0
51,1957,1957-11-24,9,28.212,DET,,CHI,L 7-27,2,30,15.00,0,0,0,,0
52,1957,1957-12-15,12,28.233,DET,@,CHI,W 21-13,1,15,15.00,0,0,0,,0
