ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,24.222,CLE,,CIN,L 17-27,,5,18,3.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2011,2011-09-18,2,24.229,CLE,@,IND,W 27-19,,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2011,2011-09-25,3,24.236,CLE,,MIA,W 17-16,*,14,67,4.79,0,4,3,19,6.33,0,75.0%,4.75,0,0,0.0,0,0
4,2011,2011-10-02,4,24.243,CLE,,TEN,L 13-31,*,7,22,3.14,0,9,5,49,9.80,0,55.6%,5.44,0,0,0.0,0,0
5,2011,2011-10-16,5,24.257,CLE,@,OAK,L 17-24,,11,35,3.18,0,4,2,18,9.00,0,50.0%,4.50,0,0,0.0,0,0
6,2011,2011-10-23,6,24.264,CLE,,SEA,W 6-3,*,33,95,2.88,0,2,2,27,13.50,0,100.0%,13.50,0,0,0.0,0,1
7,2011,2011-10-30,7,24.271,CLE,@,SFO,L 10-20,*,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2011,2011-12-04,12,24.306,CLE,,BAL,L 10-24,,,,,,,,,,,0.0%,,,,,,
9,2011,2011-12-08,13,24.310,CLE,@,PIT,L 3-14,,11,24,2.18,0,2,2,9,4.50,0,100.0%,4.50,0,0,0.0,0,0
10,2011,2012-01-01,16,24.334,CLE,,PIT,L 9-13,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2012,2012-09-09,1,25.221,CLE,,PHI,L 16-17,,,,,,,,,,,0.0%,,,,,,
12,2012,2012-09-16,2,25.228,CLE,@,CIN,L 27-34,,,,,,,,,,,0.0%,,,,,,
13,2012,2012-09-23,3,25.235,CLE,,BUF,L 14-24,,,,,,,,,,,0.0%,,,,,,
14,2012,2012-10-07,5,25.249,CLE,@,NYG,L 27-41,,,,,,,,,,,0.0%,,,,,,
15,2012,2012-10-14,6,25.256,CLE,,CIN,W 34-24,,15,56,3.73,1,1,1,9,9.00,0,100.0%,9.00,1,6,0.0,0,0
16,2012,2012-10-21,7,25.263,CLE,@,IND,L 13-17,,7,28,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2012,2012-10-28,8,25.270,CLE,,SDG,W 7-6,,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2012,2012-11-18,10,25.291,CLE,@,DAL,L 20-23,,4,23,5.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2012,2012-11-25,11,25.298,CLE,,PIT,W 20-14,,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2012,2012-12-02,12,25.305,CLE,@,OAK,W 20-17,,5,39,7.80,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
21,2012,2012-12-09,13,25.312,CLE,,KAN,W 30-7,,10,52,5.20,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
22,2012,2012-12-16,14,25.319,CLE,,WAS,L 21-38,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2012,2012-12-23,15,25.326,CLE,@,DEN,L 12-34,,3,14,4.67,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
24,2012,2012-12-30,16,25.333,CLE,@,PIT,L 10-24,*,14,37,2.64,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
