ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,1999-09-19,2,23.097,CIN,,SDG,L 7-34,,0,0,0,,0,0.0%,,0,124,,0,0,28,,0
2,1999,1999-09-26,3,23.104,CIN,@,CAR,L 3-27,,2,1,7,7.00,0,50.0%,3.50,0,32,,0,0,2,,0
3,1999,1999-10-03,4,23.111,CIN,,STL,L 10-38,,4,3,34,11.33,0,75.0%,8.50,0,93,,0,0,21,,0
4,1999,1999-10-10,5,23.118,CIN,@,CLE,W 18-17,,6,2,10,5.00,0,33.3%,1.67,0,,,0,0,32,,0
5,1999,1999-10-17,6,23.125,CIN,,PIT,L 3-17,,7,4,46,11.50,0,57.1%,6.57,0,,,0,0,50,,0
6,1999,1999-10-24,7,23.132,CIN,@,IND,L 10-31,,1,1,7,7.00,0,100.0%,7.00,0,,,0,0,53,,0
7,1999,1999-11-07,9,23.146,CIN,@,SEA,L 20-37,,,,,,,0.0%,,,,,,,,,
8,1999,1999-11-14,10,23.153,CIN,,TEN,L 14-24,,0,0,0,,0,0.0%,,0,17,,0,0,,,0
9,1999,1999-11-21,11,23.160,CIN,,BAL,L 31-34,,0,0,0,,0,0.0%,,0,23,,0,0,,,0
10,1999,1999-11-28,12,23.167,CIN,@,PIT,W 27-20,,0,0,0,,0,0.0%,,0,7,,0,0,,,0
11,1999,1999-12-12,14,23.181,CIN,,CLE,W 44-28,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
12,1999,1999-12-26,15,23.195,CIN,@,BAL,L 0-22,,0,,,,,0.0%,,,,,,,,,
13,1999,2000-01-02,16,23.202,CIN,@,JAX,L 7-24,,0,0,0,,0,0.0%,,0,,,0,0,9,,0
14,2000,2000-09-10,1,24.088,CIN,,CLE,L 7-24,,3,,,,,0.0%,,,,,,,,,
15,2000,2000-09-17,2,24.095,CIN,@,JAX,L 0-13,,2,,,,,0.0%,,,,,,,,,
16,2000,2000-09-24,3,24.102,CIN,@,BAL,L 0-37,,0,,,,,0.0%,,5,85,17.00,0,1,9,9.00,0
17,2000,2000-10-15,6,24.123,CIN,@,PIT,L 0-15,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0
18,2000,2000-11-12,10,24.151,CIN,@,DAL,L 6-23,,1,,,,,0.0%,,,,,,,,,
19,2000,2000-12-03,13,24.172,CIN,,ARI,W 24-13,,0,,,,,0.0%,,1,12,12.00,0,,,,
20,2000,2000-12-10,14,24.179,CIN,@,TEN,L 3-35,,1,1,9,9.00,0,100.0%,9.00,0,17,,0,0,,,0
21,2000,2000-12-17,15,24.186,CIN,,JAX,W 17-14,,0,,,,,0.0%,,1,15,15.00,0,,,,
