ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.173,SEA,,NYJ,L 3-41,,,,,,,,,,,,,
2,1997,1997-09-07,2,22.180,SEA,,DEN,L 14-35,,,,,,,,,,,,,
3,1997,1997-09-14,3,22.187,SEA,@,IND,W 31-3,,,,,,,,,,,,,
4,1997,1997-09-21,4,22.194,SEA,,SDG,W 26-22,,,,,,,,,,,,,
5,1997,1997-09-28,5,22.201,SEA,@,KAN,L 17-20,,,,,,,,,,,,,
6,1997,1997-10-05,6,22.208,SEA,,TEN,W 16-13,,0,0,,0,0,0,0.0,,,1,0,0
7,1997,1997-10-19,7,22.222,SEA,@,STL,W 17-9,,,,,,,,,,,,,
8,1997,1997-10-26,8,22.229,SEA,,OAK,W 45-34,,,,,,,,,,,,,
9,1997,1997-11-02,9,22.236,SEA,@,DEN,L 27-30,,,,,,,,,,,,,
10,1997,1997-12-21,16,22.285,SEA,,SFO,W 38-9,,,,,,,,,,,,,
11,1998,1998-09-06,1,23.179,SEA,@,PHI,W 38-0,,0,0,,0,1,6,0.0,,,1,42,1
12,1998,1998-09-13,2,23.186,SEA,,ARI,W 33-14,,0,0,,0,1,6,0.0,,,1,56,1
13,1998,1998-09-20,3,23.193,SEA,,WAS,W 24-14,,,,,,,,,,,,,
14,1998,1998-09-27,4,23.200,SEA,@,PIT,L 10-13,,,,,,,,,,,,,
15,1998,1998-10-04,5,23.207,SEA,@,KAN,L 6-17,,,,,,,,,,,,,
16,1998,1998-10-11,6,23.214,SEA,,DEN,L 16-21,,0,0,,0,0,0,0.0,,,1,0,0
17,1998,1998-10-25,7,23.228,SEA,@,SDG,W 27-20,,,,,,,,,,,,,
18,1998,1998-11-01,8,23.235,SEA,,OAK,L 18-31,,,,,,,,,,,,,
19,1998,1998-11-08,9,23.242,SEA,,KAN,W 24-12,,0,0,,0,0,0,0.0,,,1,22,0
20,1998,1998-11-15,10,23.249,SEA,@,OAK,L 17-20,,0,0,,0,0,0,0.0,,,1,11,0
21,1998,1998-11-22,11,23.256,SEA,@,DAL,L 22-30,,,,,,,,,,,,,
22,1998,1998-11-29,12,23.263,SEA,,TEN,W 20-18,,,,,,,,,,,,,
23,1998,1998-12-06,13,23.270,SEA,@,NYJ,L 31-32,,,,,,,,,,,,,
24,1998,1998-12-13,14,23.277,SEA,,SDG,W 38-17,,0,0,,0,0,0,0.0,,,2,11,0
25,1998,1998-12-20,15,23.284,SEA,,IND,W 27-23,,,,,,,,,,,,,
26,1998,1998-12-27,16,23.291,SEA,@,DEN,L 21-28,,,,,,,,,,,,,
27,1999,1999-09-12,1,24.185,SEA,,DET,L 20-28,*,,,,,,,,,,,,
28,1999,1999-09-19,2,24.192,SEA,@,CHI,W 14-13,*,,,,,,,,,,,,
29,1999,1999-09-26,3,24.199,SEA,@,PIT,W 29-10,*,0,0,,0,0,0,0.0,,,1,42,0
30,1999,1999-10-03,4,24.206,SEA,,OAK,W 22-21,*,,,,,,,,,,,,
31,1999,1999-10-17,5,24.220,SEA,@,SDG,L 10-13,*,,,,,,,,,,,,
32,1999,1999-10-24,6,24.227,SEA,,BUF,W 26-16,*,1,15,15.00,0,0,0,0.0,,,0,0,0
33,1999,1999-11-01,7,24.235,SEA,@,GNB,W 27-7,*,0,0,,0,0,0,0.0,,,2,8,0
34,1999,1999-11-07,8,24.241,SEA,,CIN,W 37-20,*,,,,,,,,,,,,
35,1999,1999-11-14,9,24.248,SEA,,DEN,W 20-17,*,,,,,,,,,,,,
36,1999,1999-11-21,10,24.255,SEA,@,KAN,W 31-19,*,,,,,,,,,,,,
37,1999,1999-11-28,11,24.262,SEA,,TAM,L 3-16,*,,,,,,,,,,,,
38,1999,1999-12-05,12,24.269,SEA,@,OAK,L 21-30,*,,,,,,,,,,,,
39,1999,1999-12-12,13,24.276,SEA,,SDG,L 16-19,*,,,,,,,,,,,,
