ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,22.126,NYG,@,DAL,L 35-45,,6,3,16,5.33,0,50.0%,2.67,0,0,,0,0,0,0.0,,
2,2007,2007-09-16,2,22.133,NYG,,GNB,L 13-35,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,,
3,2007,2007-12-16,14,22.224,NYG,,WAS,L 10-22,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,,
4,2007,2007-12-23,15,22.231,NYG,@,BUF,W 38-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
5,2007,2007-12-29,16,22.237,NYG,,NWE,L 35-38,,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,0.0,,
6,2008,2008-09-04,1,23.121,NYG,,WAS,W 16-7,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,0.0,1,0
7,2008,2008-09-14,2,23.131,NYG,@,STL,W 41-13,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,0.0,0,0
8,2008,2008-09-21,3,23.138,NYG,,CIN,W 26-23,*,8,7,60,8.57,0,87.5%,7.50,0,0,,0,0,0,0.0,0,0
9,2008,2008-10-05,4,23.152,NYG,,SEA,W 44-6,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,0.0,0,0
10,2008,2008-10-13,5,23.160,NYG,@,CLE,L 14-35,,10,9,94,10.44,0,90.0%,9.40,0,0,,0,0,0,0.0,0,0
11,2008,2008-10-19,6,23.166,NYG,,SFO,W 29-17,,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,0.0,0,0
12,2008,2008-10-26,7,23.173,NYG,@,PIT,W 21-14,,7,3,45,15.00,0,42.9%,6.43,0,0,,0,0,0,0.0,0,0
13,2008,2008-11-02,8,23.180,NYG,,DAL,W 35-14,,8,5,29,5.80,1,62.5%,3.63,0,0,,0,1,6,0.0,0,0
14,2008,2008-11-09,9,23.187,NYG,@,PHI,W 36-31,,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,0.0,0,0
15,2008,2008-11-16,10,23.194,NYG,,BAL,W 30-10,,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,0.0,0,0
16,2008,2008-11-23,11,23.201,NYG,@,ARI,W 37-29,,5,4,45,11.25,0,80.0%,9.00,0,0,,0,0,0,0.0,0,0
17,2008,2008-11-30,12,23.208,NYG,@,WAS,W 23-7,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,0.0,0,0
18,2008,2008-12-07,13,23.215,NYG,,PHI,L 14-20,,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,0.0,0,0
19,2008,2008-12-14,14,23.222,NYG,@,DAL,L 8-20,,9,5,59,11.80,0,55.6%,6.56,0,0,,0,0,0,0.0,0,0
20,2008,2008-12-21,15,23.229,NYG,,CAR,W 34-28,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
21,2008,2008-12-28,16,23.236,NYG,@,MIN,L 19-20,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,0.0,0,0
22,2009,2009-09-13,1,24.130,NYG,,WAS,W 23-17,,8,6,80,13.33,0,75.0%,10.00,0,0,,0,0,0,0.0,0,0
23,2009,2009-09-20,2,24.137,NYG,@,DAL,W 33-31,*,13,10,134,13.40,1,76.9%,10.31,0,0,,0,1,6,0.0,0,0
24,2009,2009-09-27,3,24.144,NYG,@,TAM,W 24-0,*,7,7,63,9.00,1,100.0%,9.00,0,0,,0,1,6,0.0,0,0
25,2009,2009-10-04,4,24.151,NYG,@,KAN,W 27-16,*,16,11,134,12.18,2,68.8%,8.38,0,0,,0,2,12,0.0,0,0
