ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1976,1976-09-19,2,22.259,BUF,,HOU,L 3-13,,,,1,3,33.3,0,3,0,0,,0
2,1976,1976-09-26,3,22.266,BUF,@,TAM,W 14-9,2,2,100.0,,1,0.0,0,2,0,0,,0
3,1976,1976-10-24,7,22.294,DET,@,SEA,W 41-14,5,5,100.0,2,2,100.0,0,11,0,0,,0
4,1976,1976-10-31,8,22.301,DET,,GNB,W 27-6,3,3,100.0,2,3,66.7,0,9,0,0,,0
5,1976,1976-11-07,9,22.308,DET,@,MIN,L 23-31,2,3,66.7,1,2,50.0,0,5,0,0,,0
6,1976,1976-11-14,10,22.315,DET,@,NOR,L 16-17,1,2,50.0,1,1,100.0,0,4,1,16,16.00,0
7,1976,1976-11-21,11,22.322,DET,,CHI,W 14-10,2,2,100.0,,1,0.0,0,2,0,0,,0
8,1976,1976-11-25,12,22.326,DET,,BUF,W 27-14,3,3,100.0,2,2,100.0,0,9,0,0,,0
9,1976,1976-12-05,13,22.336,DET,@,NYG,L 10-24,1,1,100.0,1,2,50.0,0,4,0,0,,0
10,1976,1976-12-11,14,22.342,DET,,RAM,L 17-20,2,2,100.0,1,1,100.0,0,5,0,0,,0
11,1978,1978-09-03,1,24.242,DET,,GNB,L 7-13,1,1,100.0,,,,0,1,,,,
12,1978,1978-09-09,2,24.248,DET,@,TAM,W 15-7,,1,0.0,3,4,75.0,0,9,0,0,,0
13,1978,1978-09-17,3,24.256,DET,,CHI,L 0-19,,,,,1,0.0,0,0,0,0,,0
14,1978,1978-09-24,4,24.263,DET,@,SEA,L 16-28,1,1,100.0,3,4,75.0,0,10,0,0,,0
15,1978,1978-10-01,5,24.270,DET,@,GNB,L 14-35,2,2,100.0,,,,0,2,,,,
16,1978,1978-10-08,6,24.277,DET,,WAS,L 19-21,1,1,100.0,4,5,80.0,0,13,0,0,,0
17,1978,1978-10-15,7,24.284,DET,@,ATL,L 0-14,,,,,1,0.0,0,0,0,0,,0
18,1978,1978-10-22,8,24.291,DET,,SDG,W 31-14,4,4,100.0,1,4,25.0,0,7,0,0,,0
19,1978,1978-10-29,9,24.298,DET,@,CHI,W 21-17,3,3,100.0,,,,0,3,,,,
20,1978,1978-11-05,10,24.305,DET,@,MIN,L 7-17,1,1,100.0,,,,0,1,,,,
