ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-16,1,34.032,PHI,,CLE,L 10-35,*,8,24,33.33,73,0,2,7.8,0,0,3.04,-0.71,1,1,1.00,0
2,1950,1950-09-24,2,34.040,PHI,@,CRD,W 45-7,*,5,12,41.67,72,3,2,61.8,0,0,6.00,3.50,0,0,,0
3,1950,1950-10-07,3,34.053,PHI,,RAM,W 56-20,*,7,19,36.84,140,3,0,103.1,0,0,7.37,10.53,2,4,2.00,0
4,1950,1950-10-15,4,34.061,PHI,@,BAL,W 24-14,*,12,25,48.00,206,1,3,50.2,0,0,8.24,3.64,2,6,3.00,0
5,1950,1950-10-22,5,34.068,PHI,@,PIT,W 17-10,*,12,19,63.16,175,0,1,71.2,0,0,9.21,6.84,2,4,2.00,0
6,1950,1950-10-29,6,34.075,PHI,,WAS,W 35-3,*,8,22,36.36,168,1,1,60.4,0,0,7.64,6.50,0,0,,0
7,1950,1950-11-05,7,34.082,PHI,,PIT,L 7-9,*,9,20,45.00,126,0,4,26.2,0,0,6.30,-2.70,2,3,1.50,0
8,1950,1950-11-12,8,34.089,PHI,@,WAS,W 33-0,*,10,19,52.63,188,1,1,82.8,0,0,9.89,8.58,1,2,2.00,0
9,1950,1950-11-19,9,34.096,PHI,,CRD,L 10-14,*,9,18,50.00,108,1,1,64.1,0,0,6.00,4.61,3,11,3.67,0
10,1950,1950-11-26,10,34.103,PHI,@,NYG,L 3-7,*,8,17,47.06,89,0,1,38.6,0,0,5.24,2.59,1,1,1.00,0
11,1950,1950-12-03,11,34.110,PHI,@,CLE,L 7-13,*,8,21,38.10,81,0,2,10.3,0,0,3.86,-0.43,0,0,,0
12,1950,1950-12-10,12,34.117,PHI,,NYG,L 7-9,*,11,23,47.83,182,1,4,49.8,0,0,7.91,0.96,1,2,2.00,0
