ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-10-06,5,23.145,NYG,,PHI,L 21-36,,,,,,,,,,,,
2,2013,2013-10-10,6,23.149,NYG,@,CHI,L 21-27,,0,0,,0,0,0,,0,0.0,1,0
3,2013,2013-10-21,7,23.160,NYG,,MIN,W 23-7,,,,,,,,,,,,
4,2013,2013-10-27,8,23.166,NYG,@,PHI,W 15-7,,,,,,,,,,,,
5,2013,2013-11-10,9,23.180,NYG,,OAK,W 24-20,,,,,,,,,,,,
6,2013,2013-11-17,10,23.187,NYG,,GNB,W 27-13,,,,,,,,,,,,
7,2013,2013-11-24,11,23.194,NYG,,DAL,L 21-24,,0,0,,0,0,0,,0,0.0,0,1
8,2013,2013-12-01,12,23.201,NYG,@,WAS,W 24-17,,0,0,,0,0,0,,0,0.0,1,1
9,2013,2013-12-08,13,23.208,NYG,@,SDG,L 14-37,,,,,,,,,,,,
10,2013,2013-12-15,14,23.215,NYG,,SEA,L 0-23,,,,,,,,,,,,
11,2013,2013-12-22,15,23.222,NYG,@,DET,W 23-20,,,,,,,,,,,,
12,2013,2013-12-29,16,23.229,NYG,,WAS,W 20-6,,0,0,,0,1,0,0.00,0,0.0,0,0
13,2015,2015-10-25,7,25.164,HOU,@,MIA,L 26-44,,0,0,,0,0,0,,0,0.0,1,0
14,2015,2015-11-01,8,25.171,HOU,,TEN,W 20-6,,0,0,,0,0,0,,0,0.0,0,1
15,2015,2015-11-16,9,25.186,HOU,@,CIN,W 10-6,,0,0,,0,0,0,,0,0.0,4,2
16,2015,2015-11-22,10,25.192,HOU,,NYJ,W 24-17,*,0,0,,0,0,0,,0,0.0,1,2
17,2015,2015-11-29,11,25.199,HOU,,NOR,W 24-6,,0,0,,0,0,0,,0,0.0,1,0
18,2015,2015-12-06,12,25.206,HOU,@,BUF,L 21-30,,0,0,,0,0,0,,0,0.0,0,0
19,2015,2015-12-13,13,25.213,HOU,,NWE,L 6-27,,0,0,,0,0,0,,0,0.0,0,0
20,2015,2015-12-20,14,25.220,HOU,@,IND,W 16-10,,0,0,,0,0,0,,0,0.0,0,0
21,2015,2015-12-27,15,25.227,HOU,@,TEN,W 34-6,,0,0,,0,0,0,,0,0.0,0,2
22,2016,2016-09-11,1,26.120,HOU,,CHI,W 23-14,,0,0,,0,0,0,,0,0.0,0,0
23,2016,2016-09-18,2,26.127,HOU,,KAN,W 19-12,,0,0,,0,0,0,,0,0.0,0,0
24,2016,2016-09-22,3,26.131,HOU,@,NWE,L 0-27,,1,18,18.00,0,0,0,,0,0.0,0,0
25,2016,2016-10-02,4,26.141,HOU,,TEN,W 27-20,,0,0,,0,0,0,,0,0.0,0,0
26,2016,2016-10-09,5,26.148,HOU,@,MIN,L 13-31,,0,0,,0,0,0,,0,0.0,6,1
27,2016,2016-10-16,6,26.155,HOU,,IND,W 26-23,,0,0,,0,0,0,,0,0.0,2,0
28,2016,2016-10-24,7,26.163,HOU,@,DEN,L 9-27,,0,0,,0,0,0,,0,0.0,0,1
29,2016,2016-10-30,8,26.169,HOU,,DET,W 20-13,,0,0,,0,0,0,,0,0.0,0,0
30,2016,2016-11-13,9,26.183,HOU,@,JAX,W 24-21,,0,0,,0,0,0,,0,0.0,1,0
31,2016,2016-11-21,10,26.191,HOU,@,OAK,L 20-27,,0,0,,0,0,0,,0,0.0,0,0
32,2016,2016-11-27,11,26.197,HOU,,SDG,L 13-21,,0,0,,0,0,0,,0,0.0,0,0
33,2016,2016-12-04,12,26.204,HOU,@,GNB,L 13-21,,0,0,,0,0,0,,0,0.0,1,0
34,2016,2017-01-01,16,26.232,IND,,JAX,W 24-20,,0,0,,0,0,0,,0,0.0,1,1
