ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1985,1985-09-22,3,22.340,BUF,,NWE,L 14-17,0,0,,0
2,1985,1985-09-29,4,22.347,BUF,,MIN,L 20-27,0,0,,0
3,1985,1985-10-06,5,22.354,BUF,@,IND,L 17-49,0,0,,0
4,1985,1985-10-13,6,22.361,BUF,@,NWE,L 3-14,0,0,,0
5,1985,1985-10-20,7,23.003,BUF,,IND,W 21-9,0,0,,0
6,1985,1985-10-27,8,23.010,BUF,@,PHI,L 17-21,0,0,,0
7,1985,1985-11-03,9,23.017,BUF,,CIN,L 17-23,0,0,,0
8,1985,1985-11-10,10,23.024,BUF,,HOU,W 20-0,1,0,0.00,0
9,1985,1985-11-17,11,23.031,BUF,@,CLE,L 7-17,0,0,,0
10,1985,1985-11-24,12,23.038,BUF,,MIA,L 14-23,0,0,,0
11,1985,1985-12-01,13,23.045,BUF,@,SDG,L 7-40,0,0,,0
12,1985,1985-12-08,14,23.052,BUF,,NYJ,L 7-27,0,0,,0
13,1985,1985-12-15,15,23.059,BUF,@,PIT,L 24-30,0,0,,0
14,1985,1985-12-22,16,23.066,BUF,@,MIA,L 0-28,0,0,,0
15,1987,1987-10-04,3,24.352,WAS,,STL,W 28-21,,,,
16,1987,1987-10-11,4,24.359,WAS,@,NYG,W 38-12,,,,
17,1987,1987-10-19,5,25.002,WAS,@,DAL,W 13-7,,,,
