ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,21.345,MIA,@,BUF,L 31-35,,0,0,,0,,,0,0,,0,1,33,33.00,0,0,0
2,1991,1991-09-08,2,21.352,PHO,@,PHI,W 26-10,,0,0,,0,,,0,0,,0,3,34,11.33,0,0,0
3,1991,1991-09-15,3,21.359,PHO,@,WAS,L 0-34,,1,11,11.00,0,,,0,0,,0,2,29,14.50,0,0,0
4,1991,1991-09-22,4,22.001,PHO,,DAL,L 9-17,,3,22,7.33,0,,,0,0,,0,0,0,,0,0,0
5,1991,1991-09-29,5,22.008,PHO,,NWE,W 24-10,,1,15,15.00,0,,,0,0,,0,3,50,16.67,0,0,0
6,1991,1991-10-06,6,22.015,PHO,@,NYG,L 9-20,,6,65,10.83,0,,,0,0,,0,0,0,,0,0,0
7,1991,1991-10-13,7,22.022,PHO,@,MIN,L 7-34,,2,28,14.00,0,,,0,0,,0,0,0,,0,0,0
8,1991,1991-10-20,8,22.029,PHO,,ATL,W 16-10,,2,47,23.50,1,,,0,0,,0,0,0,,0,1,6
9,1991,1991-10-27,9,22.036,PHO,,MIN,L 0-28,,3,39,13.00,0,,,0,0,,0,0,0,,0,0,0
10,1991,1991-11-03,10,22.043,PHO,@,DAL,L 7-27,,4,40,10.00,0,,,0,0,,0,0,0,,0,0,0
11,1991,1991-11-10,11,22.050,PHO,,NYG,L 14-21,,2,21,10.50,0,,,0,0,,0,0,0,,0,0,0
12,1991,1991-11-17,12,22.057,PHO,@,SFO,L 10-14,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0
13,1991,1991-11-24,13,22.064,PHO,,PHI,L 14-34,,7,80,11.43,0,,,0,0,,0,0,0,,0,0,0
14,1991,1991-12-08,14,22.078,PHO,,WAS,L 14-20,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0
15,1991,1991-12-15,15,22.085,PHO,@,DEN,L 19-24,,2,9,4.50,0,,,0,0,,0,0,0,,0,0,0
16,1991,1991-12-22,16,22.092,PHO,,NOR,L 3-27,,5,65,13.00,0,,,0,0,,0,0,0,,0,0,0
17,1992,1992-09-06,1,22.351,PHO,@,TAM,L 7-23,11,7,58,8.29,0,63.6%,5.27,0,0,,0,0,0,,0,0,0
18,1992,1992-09-13,2,22.358,PHO,,PHI,L 14-31,9,5,109,21.80,0,55.6%,12.11,0,0,,0,0,0,,0,0,0
19,1992,1992-09-20,3,22.365,PHO,@,DAL,L 20-31,6,2,74,37.00,1,33.3%,12.33,0,0,,0,0,0,,0,1,6
