ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-17,1,22.282,RAM,@,BAL,L 24-27,1,12,12.00,0,,,,,,,0,0,0,0,0
2,1962,1962-10-14,5,23.309,RAM,@,DET,L 10-13,1,0,0.00,0,,,,,,,0,0,0,0,0
3,1963,1963-09-29,3,24.294,RAM,@,CLE,L 6-20,0,0,,0,,,,,,,0,0,1,0,0
4,1966,1966-11-06,9,27.332,RAM,@,SFO,L 13-21,0,0,,0,,,,,,,0,0,1,50,0
5,1970,1970-09-18,1,31.283,RAM,,STL,W 34-13,,,,,,,,,,,,,,,
6,1970,1970-09-27,2,31.292,RAM,@,BUF,W 19-0,,,,,,,,,,,,,,,
7,1970,1970-10-04,3,31.299,RAM,,SDG,W 37-10,,,,,,,,,,,,,,,
8,1970,1970-10-11,4,31.306,RAM,,SFO,L 6-20,,,,,,,,,,,,,,,
9,1970,1970-10-18,5,31.313,RAM,@,GNB,W 31-21,,,,,,,,,,,,,,,
10,1970,1970-10-26,6,31.321,RAM,@,MIN,L 3-13,,,,,,,,,,,,,,,
11,1970,1970-11-01,7,31.327,RAM,@,NOR,W 30-17,,,,,,,,,,,,,,,
12,1970,1970-11-08,8,31.334,RAM,,ATL,T 10-10,,,,,,,,,,,,,,,
13,1970,1970-11-15,9,31.341,RAM,,NYJ,L 20-31,,,,,,,,,,,,,,,
14,1970,1970-11-22,10,31.348,RAM,@,ATL,W 17-7,,,,,,,,,,,,,,,
15,1970,1970-11-29,11,31.355,RAM,@,SFO,W 30-13,,,,,,,,,,,,,,,
16,1970,1970-12-06,12,31.362,RAM,,NOR,W 34-16,,,,,,,,,,,,,,,
17,1970,1970-12-14,13,32.005,RAM,,DET,L 23-28,,,,,,,,,,,,,,,
18,1970,1970-12-20,14,32.011,RAM,@,NYG,W 31-3,,,,,,,,,,,,,,,
19,1971,1971-09-19,1,32.284,RAM,@,NOR,L 20-24,,,,,,,,,,,,,,,
20,1971,1971-09-26,2,32.291,RAM,,ATL,T 20-20,,,,,,,,,,,,,,,
21,1971,1971-10-03,3,32.298,RAM,,CHI,W 17-3,,,,,,,,,,,,,,,
22,1971,1971-10-24,6,32.319,RAM,,GNB,W 30-13,,,,,,,,,,,,,,,
23,1971,1971-10-31,7,32.326,RAM,,MIA,L 14-20,,,,,,,,,,,,,,,
24,1971,1971-11-08,8,32.334,RAM,@,BAL,L 17-24,,,,,,,,,,,,,,,
25,1971,1971-11-21,10,32.347,RAM,,SFO,W 17-6,,,,,,,,,,,,,,,
26,1971,1971-11-25,11,32.351,RAM,@,DAL,L 21-28,,,,,,,,,,,,,,,
27,1971,1971-12-05,12,32.361,RAM,,NOR,W 45-28,,,,,,,,,,,,,,,
28,1971,1971-12-13,13,33.004,RAM,,WAS,L 24-38,,,,,,,,,,,,,,,
29,1971,1971-12-19,14,33.010,RAM,@,PIT,W 23-14,,,,,,,,,,,,,,,
30,1972,1972-09-17,1,33.283,SDG,@,SFO,L 3-34,,,,,,,,,,,,,,,
31,1972,1972-09-24,2,33.290,SDG,,DEN,W 37-14,,,,,,,,,,,,,,,
32,1972,1972-10-01,3,33.297,SDG,@,OAK,T 17-17,,,,,,,,,,,,,,,
33,1972,1972-10-08,4,33.304,SDG,@,BAL,W 23-20,,,,,,,,,,,,,,,
34,1972,1972-10-15,5,33.311,SDG,@,MIA,L 10-24,,,,,,,,,,,,,,,
35,1972,1972-10-22,6,33.318,SDG,@,DET,L 20-34,,,,,,,,,,,,,,,
36,1972,1972-10-29,7,33.325,SDG,,KAN,L 14-26,,,,,,,,,,,,,,,
37,1972,1972-11-05,8,33.332,SDG,,DAL,L 28-34,,,,,,,,,,,,,,,
38,1972,1972-11-13,9,33.340,SDG,,CLE,L 17-21,,,,,,,,,,,,,,,
39,1972,1972-11-19,10,33.346,SDG,@,KAN,W 27-17,,,,,,,,,,,,,,,
40,1972,1972-11-26,11,33.353,SDG,,HOU,W 34-20,,,,,,,,,,,,,,,
41,1972,1972-12-03,12,33.360,SDG,,OAK,L 19-21,,,,,,,,,,,,,,,
42,1972,1972-12-10,13,34.001,SDG,@,DEN,L 13-38,,,,,,,,,,,,,,,
43,1972,1972-12-17,14,34.008,SDG,,PIT,L 2-24,,,,,,,,,,,,,,,
44,1973,1973-09-16,1,34.281,SDG,@,WAS,L 0-38,,,,,,,,,,,,,,,
45,1973,1973-09-23,2,34.288,SDG,,BUF,W 34-7,,,,,,,,,,,,,,,
46,1973,1973-09-30,3,34.295,SDG,,CIN,L 13-20,,,,,,,,,,,,,,,
47,1973,1973-10-07,4,34.302,SDG,@,PIT,L 21-38,,,,,,,,,,,,,,,
48,1973,1973-10-14,5,34.309,SDG,,OAK,L 17-27,,,,,,,,,,,,,,,
49,1973,1973-10-21,6,34.316,SDG,,ATL,L 0-41,,,,,,,,,,,,,,,
50,1973,1973-10-28,7,34.323,SDG,@,CLE,T 16-16,,,,,,,,,,,,,,,
51,1973,1973-11-04,8,34.330,SDG,,KAN,L 0-19,,,,,,,,,,,,,,,
52,1973,1973-11-11,9,34.337,SDG,@,DEN,L 19-30,,,,,,,,,,,,,,,
53,1973,1973-11-18,10,34.344,SDG,,NOR,W 17-14,,,,,,,,,,,,,,,
54,1973,1973-11-25,11,34.351,SDG,@,OAK,L 3-31,,,,,,,,,,,,,,,
55,1973,1973-12-02,12,34.358,SDG,@,NWE,L 14-30,,,,,,,,,,,,,,,
56,1974,1974-09-15,1,35.280,WAS,@,NYG,W 13-10,,,,,,,,,,,,,,,
57,1974,1974-09-22,2,35.287,WAS,,STL,L 10-17,,,,,,,,,,,,,,,
58,1974,1974-09-30,3,35.295,WAS,,DEN,W 30-3,,,,,,,,,,,,,,,
59,1974,1974-10-06,4,35.301,WAS,@,CIN,L 17-28,,,,,,,,,,,,,,,
60,1974,1974-10-13,5,35.308,WAS,,MIA,W 20-17,,,,,,,,,,,,,,,
61,1974,1974-10-20,6,35.315,WAS,,NYG,W 24-3,,,,,,,,,,,,,,,
62,1974,1974-10-27,7,35.322,WAS,@,STL,L 20-23,,,,,,,,,,,,,,,
63,1974,1974-11-03,8,35.329,WAS,@,GNB,W 17-6,,,,,,,,,,,,,,,
64,1974,1974-11-10,9,35.336,WAS,@,PHI,W 27-20,,,,,,,,,,,,,,,
65,1974,1974-11-17,10,35.343,WAS,,DAL,W 28-21,,,,,,,,,,,,,,,
66,1974,1974-11-24,11,35.350,WAS,,PHI,W 26-7,,,,,,,,,,,,,,,
67,1974,1974-11-28,12,35.354,WAS,@,DAL,L 23-24,,,,,,,,,,,,,,,
68,1974,1974-12-09,13,36.000,WAS,@,RAM,W 23-17,,,,,,,,,,,,,,,
69,1974,1974-12-15,14,36.006,WAS,,CHI,W 42-0,,,,,1,1,100.0,,,,0,1,,,
