ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-10-11,4,23.164,DAL,,ATL,W 13-0,0,0,,0,1,27,27.00,0,1,0,0.00,0
2,1970,1970-10-18,5,23.171,DAL,@,MIN,L 13-54,0,0,,0,3,53,17.67,0,0,0,,0
3,1970,1970-10-25,6,23.178,DAL,@,KAN,W 27-16,0,0,,0,1,21,21.00,0,2,20,10.00,0
4,1970,1970-11-01,7,23.185,DAL,,PHI,W 21-17,0,0,,0,2,48,24.00,0,0,0,,0
5,1970,1970-12-06,12,23.220,DAL,,WAS,W 34-0,0,0,,0,0,0,,0,1,24,24.00,0
6,1971,1971-10-24,6,24.177,DAL,,NWE,W 44-21,2,24,12.00,0,0,0,,0,1,2,2.00,0
7,1971,1971-10-31,7,24.184,DAL,@,CHI,L 19-23,2,29,14.50,0,0,0,,0,0,0,,0
8,1971,1971-11-14,9,24.198,DAL,,PHI,W 20-7,0,0,,0,0,0,,0,3,3,1.00,0
9,1972,1972-09-17,1,25.140,NOR,@,RAM,L 14-34,1,-3,-3.00,0,3,48,16.00,0,0,0,,0
10,1972,1972-09-25,2,25.148,NOR,,KAN,L 17-20,3,36,12.00,0,2,71,35.50,0,2,4,2.00,0
11,1972,1972-10-01,3,25.154,NOR,,SFO,L 2-37,1,5,5.00,0,4,90,22.50,0,0,0,,0
12,1972,1972-10-08,4,25.161,NOR,@,NYG,L 21-45,0,0,,0,5,152,30.40,0,1,4,4.00,0
13,1972,1972-10-15,5,25.168,NOR,,ATL,L 14-21,0,0,,0,1,29,29.00,0,0,0,,0
14,1972,1972-10-22,6,25.175,NOR,@,SFO,T 20-20,0,0,,0,3,86,28.67,0,0,0,,0
15,1972,1972-10-29,7,25.182,NOR,,PHI,W 21-3,0,0,,0,2,40,20.00,0,0,0,,0
16,1972,1972-11-05,8,25.189,NOR,@,MIN,L 6-37,1,6,6.00,0,5,126,25.20,0,0,0,,0
17,1972,1972-11-12,9,25.196,NOR,@,ATL,L 20-36,1,8,8.00,0,6,114,19.00,0,2,-4,-2.00,0
18,1972,1972-11-19,10,25.203,NOR,@,DET,L 14-27,0,0,,0,3,66,22.00,0,2,-4,-2.00,0
19,1972,1972-11-26,11,25.210,NOR,,RAM,W 19-16,1,6,6.00,0,2,16,8.00,0,0,0,,0
20,1972,1972-12-03,12,25.217,NOR,@,NYJ,L 17-18,0,0,,0,2,46,23.00,0,0,0,,0
21,1972,1972-12-10,13,25.224,NOR,,NWE,L 10-17,,,,,,,,,,,,
22,1972,1972-12-17,14,25.231,NOR,,GNB,L 20-30,1,38,38.00,0,5,136,27.20,0,0,0,,0
23,1973,1973-09-17,1,26.140,NYJ,@,GNB,L 7-23,1,15,15.00,0,3,61,20.33,0,0,0,,0
24,1973,1973-09-23,2,26.146,NYJ,@,BAL,W 34-10,0,0,,0,2,56,28.00,0,0,0,,0
25,1973,1973-09-30,3,26.153,NYJ,@,BUF,L 7-9,0,0,,0,4,66,16.50,0,0,0,,0
26,1973,1973-10-14,5,26.167,NYJ,@,NWE,W 9-7,0,0,,0,1,19,19.00,0,0,0,,0
27,1973,1973-10-21,6,26.174,NYJ,@,PIT,L 14-26,1,13,13.00,0,1,38,38.00,0,0,0,,0
28,1973,1973-10-28,7,26.181,NYJ,,DEN,L 28-40,3,62,20.67,0,4,78,19.50,0,0,0,,0
29,1973,1973-11-04,8,26.188,NYJ,,MIA,L 14-24,1,19,19.00,0,2,33,16.50,0,0,0,,0
30,1973,1973-11-11,9,26.195,NYJ,,NWE,W 33-13,0,0,,0,1,25,25.00,0,0,0,,0
31,1973,1973-11-18,10,26.202,NYJ,@,CIN,L 14-20,0,0,,0,1,25,25.00,0,0,0,,0
32,1973,1973-11-25,11,26.209,NYJ,,ATL,L 20-28,0,0,,0,4,62,15.50,0,0,0,,0
33,1973,1973-12-02,12,26.216,NYJ,,BAL,W 20-17,0,0,,0,2,33,16.50,0,0,0,,0
34,1973,1973-12-09,13,26.223,NYJ,@,PHI,L 23-24,0,0,,0,2,42,21.00,0,0,0,,0
35,1973,1973-12-16,14,26.230,NYJ,,BUF,L 14-34,0,0,,0,4,77,19.25,0,0,0,,0
