ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-09-01,1,23.182,CAR,,ATL,W 29-6,,6,37,6.17,0,0,0,0,,0,0.0%,,1,33,33.00,0,3,63,21.00,0,0,0
2,1996,1996-09-08,2,23.189,CAR,@,NOR,W 22-20,,7,18,2.57,0,0,0,0,,0,0.0%,,1,14,14.00,0,3,103,34.33,1,1,6
3,1996,1996-09-22,3,23.203,CAR,,SFO,W 23-7,,1,6,6.00,0,3,3,45,15.00,0,100.0%,15.00,0,0,,0,5,48,9.60,0,0,0
4,1996,1996-09-29,4,23.210,CAR,@,JAX,L 14-24,,2,4,2.00,0,4,2,25,12.50,0,50.0%,6.25,0,0,,0,6,56,9.33,0,0,0
5,1996,1996-10-06,5,23.217,CAR,@,MIN,L 12-14,,3,-1,-0.33,0,1,1,6,6.00,0,100.0%,6.00,1,16,16.00,0,0,0,,0,0,0
6,1996,1996-10-13,6,23.224,CAR,,STL,W 45-13,,5,6,1.20,0,1,1,29,29.00,0,100.0%,29.00,1,23,23.00,0,6,80,13.33,0,0,0
7,1996,1996-10-20,7,23.231,CAR,,NOR,W 19-7,,5,33,6.60,0,0,0,0,,0,0.0%,,1,26,26.00,0,2,12,6.00,0,0,0
8,1996,1996-10-27,8,23.238,CAR,@,PHI,L 9-20,,3,2,0.67,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,3,30,10.00,0,0,0
9,1996,1996-11-03,9,23.245,CAR,@,ATL,L 17-20,,5,32,6.40,0,0,0,0,,0,0.0%,,0,0,,0,5,37,7.40,0,0,0
10,1996,1996-11-10,10,23.252,CAR,,NYG,W 27-17,,8,23,2.88,0,2,1,1,1.00,0,50.0%,0.50,1,33,33.00,0,3,17,5.67,0,0,0
11,1996,1996-11-17,11,23.259,CAR,@,STL,W 20-10,,0,0,,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,1,4,4.00,0,0,0
12,1996,1996-11-24,12,23.266,CAR,@,HOU,W 31-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,38,12.67,0,0,0
13,1996,1996-12-01,13,23.273,CAR,,TAM,W 24-0,,1,14,14.00,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,2,18,9.00,0,0,0
14,1996,1996-12-08,14,23.280,CAR,@,SFO,W 30-24,,0,0,,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,2,13,6.50,0,0,0
15,1996,1996-12-15,15,23.287,CAR,,BAL,W 27-16,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,1,15,15.00,0,3,30,10.00,0,0,0
16,1996,1996-12-22,16,23.294,CAR,,PIT,W 18-14,,1,9,9.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,5,49,9.80,0,0,0
17,1997,1997-08-31,1,24.181,CAR,,WAS,L 10-24,,0,0,,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,1,9,9.00,0,0,0
18,1997,1997-09-29,5,24.210,CAR,,SFO,L 21-34,,0,0,,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,4,21,5.25,0,0,0
19,1997,1997-10-12,6,24.223,CAR,@,MIN,L 14-21,,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,3,28,9.33,0,0,0
20,1997,1997-10-19,7,24.230,CAR,@,NOR,W 13-0,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,4,53,13.25,0,0,0
21,1997,1997-10-26,8,24.237,CAR,,ATL,W 21-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
22,1997,1997-11-09,10,24.251,CAR,@,DEN,L 0-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
23,1998,1998-09-06,1,25.187,CAR,,ATL,L 14-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,5,1.67,0,0,0
24,1998,1998-09-13,2,25.194,CAR,@,NOR,L 14-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,19,6.33,0,0,0
25,1998,1998-09-27,3,25.208,CAR,,GNB,L 30-37,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,7,7.00,0,0,0
26,1998,1998-10-04,4,25.215,CAR,@,ATL,L 23-51,,,,,,,,,,,0.0%,,,,,,,,,,,
27,1998,1998-10-11,5,25.222,CAR,@,DAL,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,30,10.00,0,0,0
28,1998,1998-10-18,6,25.229,CAR,@,TAM,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,32,16.00,0,0,0
29,1998,1998-10-25,7,25.236,CAR,,BUF,L 14-30,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0,1,10,10.00,0,0,0
30,1998,1998-11-01,8,25.243,CAR,,NOR,W 31-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,44,11.00,0,0,0
31,1998,1998-11-08,9,25.250,CAR,@,SFO,L 23-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,47,15.67,0,0,0
32,1998,1998-11-15,10,25.257,CAR,,MIA,L 9-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,34,11.33,0,0,0
33,1998,1998-11-22,11,25.264,CAR,@,STL,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,5,68,13.60,0,0,0
34,1998,1998-11-29,12,25.271,CAR,@,NYJ,L 21-48,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
35,1998,1998-12-06,13,25.278,CAR,,SFO,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,50,12.50,0,0,0
36,1998,1998-12-13,14,25.285,CAR,,WAS,L 25-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,41,10.25,0,0,0
37,1998,1998-12-20,15,25.292,CAR,,STL,W 20-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,39,13.00,0,0,0
38,1998,1998-12-27,16,25.299,CAR,@,IND,W 27-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,38,9.50,0,0,0
39,1999,1999-09-26,3,26.207,ATL,@,STL,L 7-35,,0,0,,0,0,0,0,,0,0.0%,,6,146,24.33,0,1,20,20.00,0,0,0
40,1999,1999-10-03,4,26.214,ATL,,BAL,L 13-19,,0,0,,0,0,0,0,,0,0.0%,,4,60,15.00,0,2,12,6.00,0,0,0
41,1999,1999-10-10,5,26.221,ATL,@,NOR,W 20-17,,,,,,,,,,,0.0%,,,,,,,,,,,
42,1999,1999-10-17,6,26.228,ATL,,STL,L 13-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,-4,-4.00,0,0,0
43,1999,1999-10-25,7,26.236,ATL,@,PIT,L 9-13,,,,,,,,,,,0.0%,,,,,,,,,,,
44,1999,1999-10-31,8,26.242,ATL,,CAR,W 27-20,,,,,,,,,,,0.0%,,,,,,,,,,,
45,1999,1999-11-07,9,26.249,ATL,,JAX,L 7-30,,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
46,1999,1999-11-21,10,26.263,ATL,@,TAM,L 10-19,,0,0,,0,7,4,33,8.25,0,57.1%,4.71,1,16,16.00,0,0,0,,0,0,0
47,1999,1999-11-28,11,26.270,ATL,@,CAR,L 28-34,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
48,1999,1999-12-05,12,26.277,ATL,,NOR,W 35-12,,0,0,,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,1,5,5.00,0,0,0
49,1999,1999-12-12,13,26.284,ATL,@,SFO,L 7-26,,2,7,3.50,0,1,0,0,,0,0.0%,0.00,4,53,13.25,0,3,83,27.67,1,1,6
50,1999,1999-12-19,14,26.291,ATL,@,TEN,L 17-30,,3,4,1.33,0,0,0,0,,0,0.0%,,4,55,13.75,0,4,36,9.00,0,0,0
51,1999,1999-12-26,15,26.298,ATL,,ARI,W 37-14,,1,8,8.00,0,1,1,10,10.00,0,100.0%,10.00,3,66,22.00,0,0,0,,0,0,0
52,1999,2000-01-03,16,26.306,ATL,,SFO,W 34-29,,0,0,,0,2,1,10,10.00,0,50.0%,5.00,2,45,22.50,0,0,0,,0,0,0
53,2000,2000-09-03,1,27.184,ATL,,SFO,W 36-28,,,,,,,,,,,0.0%,,,,,,,,,,,
54,2000,2000-09-10,2,27.191,ATL,@,DEN,L 14-42,,,,,,,,,,,0.0%,,,,,,,,,,,
55,2000,2000-09-17,3,27.198,ATL,@,CAR,W 15-10,,0,0,,0,0,0,0,,0,0.0%,,1,11,11.00,0,2,0,0.00,0,0,0
56,2000,2000-09-24,4,27.205,ATL,,STL,L 20-41,,,,,,0,,,,,0.0%,,,,,,,,,,,
57,2000,2000-10-01,5,27.212,ATL,@,PHI,L 10-38,,,,,,,,,,,0.0%,,,,,,,,,,,
58,2000,2000-10-08,6,27.219,ATL,,NYG,L 6-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
59,2000,2000-10-15,7,27.226,ATL,@,STL,L 29-45,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,-1,-1.00,0,0,0
60,2000,2000-10-22,8,27.233,ATL,,NOR,L 19-21,,0,0,,0,0,0,0,,0,0.0%,,1,4,4.00,0,0,0,,0,0,0
61,2000,2000-10-29,9,27.240,ATL,,CAR,W 13-12,,,,,,,,,,,0.0%,,,,,,,,,,,
62,2000,2000-11-19,12,27.261,ATL,@,SFO,L 6-16,,,,,,,,,,,0.0%,,,,,,,,,,,
63,2000,2000-12-17,15,27.289,ATL,@,NOR,L 7-23,,,,,,0,,,,,0.0%,,,,,,,,,,,
64,2000,2000-12-24,16,27.296,ATL,,KAN,W 29-13,,,,,,0,,,,,0.0%,,,,,,0,40,,0,,
