ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1990,1990-09-09,1,23.238,SEA,@,CHI,L 0-17,,,,,,
2,1990,1990-09-16,2,23.245,SEA,,RAI,L 13-17,,,,,,
3,1990,1990-09-23,3,23.252,SEA,@,DEN,L 31-34,,,,,,
4,1990,1990-10-01,4,23.260,SEA,,CIN,W 31-16,,,,,,
5,1990,1990-10-07,5,23.266,SEA,@,NWE,W 33-20,,,,,,
6,1990,1990-10-14,6,23.273,SEA,@,RAI,L 17-24,,,,,,
7,1990,1990-10-21,7,23.280,SEA,,KAN,W 19-7,,,,,,
8,1990,1990-11-04,8,23.294,SEA,,SDG,L 14-31,,,,,,
9,1991,1991-09-01,1,24.230,SEA,@,NOR,L 24-27,,,,,,
10,1991,1991-09-08,2,24.237,SEA,,NYJ,W 20-13,,,,,,
11,1991,1991-09-15,3,24.244,SEA,@,DEN,L 10-16,,,,,,
12,1991,1991-09-22,4,24.251,SEA,@,KAN,L 13-20,,,,,,
13,1991,1991-09-29,5,24.258,SEA,,IND,W 31-3,0,0,1.0,0,0,0
14,1991,1991-10-06,6,24.265,SEA,@,CIN,W 13-7,,,,,,
15,1991,1991-10-13,7,24.272,SEA,,RAI,L 20-23,,,,,,
16,1991,1991-10-20,8,24.279,SEA,@,PIT,W 27-7,,,,,,
17,1991,1991-10-27,9,24.286,SEA,,SDG,W 20-9,,,,,,
18,1991,1991-11-10,10,24.300,SEA,@,SDG,L 14-17,0,0,1.0,0,0,0
19,1991,1991-11-17,11,24.307,SEA,@,RAI,L 7-31,,,,,,
20,1991,1991-11-24,12,24.314,SEA,,DEN,W 13-10,,,,,,
21,1991,1991-12-01,13,24.321,SEA,,KAN,L 6-19,,,,,,
22,1991,1991-12-08,14,24.328,SEA,,SFO,L 22-24,,,,,,
23,1991,1991-12-15,15,24.335,SEA,@,ATL,L 13-26,,,,,,
24,1991,1991-12-22,16,24.342,SEA,,RAM,W 23-9,,,,,,
25,1992,1992-09-06,1,25.236,SEA,,CIN,L 3-21,,,,,,
26,1992,1992-09-13,2,25.243,SEA,@,KAN,L 7-26,,,,,,
27,1992,1992-09-20,3,25.250,SEA,@,NWE,W 10-6,,,,,,
28,1992,1992-09-27,4,25.257,SEA,,MIA,L 17-19,0,0,0.0,1,3,0
29,1992,1992-10-04,5,25.264,SEA,@,SDG,L 6-17,,,,,,
30,1992,1992-10-11,6,25.271,SEA,@,DAL,L 0-27,,,,,,
31,1992,1992-10-18,7,25.278,SEA,,RAI,L 0-19,,,,,,
32,1992,1992-10-25,8,25.285,SEA,@,NYG,L 10-23,,,,,,
33,1993,1993-09-05,1,26.234,SEA,@,SDG,L 12-18,,,,,,
34,1993,1993-09-12,2,26.241,SEA,,RAI,L 13-17,,,,,,
35,1993,1993-09-19,3,26.248,SEA,@,NWE,W 17-14,,,,,,
36,1993,1993-09-26,4,26.255,SEA,@,CIN,W 19-10,,,,,,
37,1993,1993-10-03,5,26.262,SEA,,SDG,W 31-14,,,,,,
38,1993,1993-10-17,6,26.276,SEA,@,DET,L 10-30,,,,,,
39,1993,1993-10-24,7,26.283,SEA,,NWE,W 10-9,,,,,,
40,1993,1993-10-31,8,26.290,SEA,@,DEN,L 17-28,,,,,,
41,1993,1993-11-07,9,26.297,SEA,@,HOU,L 14-24,0,0,0.5,0,0,0
42,1993,1993-11-14,10,26.304,SEA,,CLE,W 22-5,0,0,1.0,0,0,0
43,1993,1993-11-28,11,26.318,SEA,,DEN,L 9-17,,,,,,
44,1993,1993-12-05,12,26.325,SEA,,KAN,L 16-31,,,,,,
45,1993,1993-12-12,13,26.332,SEA,@,RAI,L 23-27,,,,,,
46,1993,1993-12-19,14,26.339,SEA,,PHO,L 27-30,,,,,,
47,1993,1993-12-26,15,26.346,SEA,,PIT,W 16-6,,,,,,
48,1993,1994-01-02,16,26.353,SEA,@,KAN,L 24-34,0,0,1.0,0,0,0
49,1994,1994-09-04,1,27.233,SEA,@,WAS,W 28-7,1,6,0.0,1,69,1
50,1994,1994-09-11,2,27.240,SEA,@,RAI,W 38-9,0,0,0.0,1,0,0
51,1994,1994-09-18,3,27.247,SEA,,SDG,L 10-24,,,,,,
52,1994,1994-09-25,4,27.254,SEA,,PIT,W 30-13,,,,,,
53,1994,1994-10-02,5,27.261,SEA,@,IND,L 15-17,,,,,,
54,1994,1994-10-09,6,27.268,SEA,,DEN,L 9-16,,,,,,
55,1994,1994-10-23,7,27.282,SEA,@,KAN,L 23-38,,,,,,
56,1994,1994-10-30,8,27.289,SEA,@,SDG,L 15-35,0,0,1.0,0,0,0
57,1994,1994-11-06,9,27.296,SEA,,CIN,L 17-20,,,,,,
58,1994,1994-11-13,10,27.303,SEA,@,DEN,L 10-17,0,0,0.0,1,9,0
59,1994,1994-11-20,11,27.310,SEA,,TAM,W 22-21,,,,,,
60,1994,1994-11-27,12,27.317,SEA,,KAN,W 10-9,,,,,,
61,1994,1994-12-04,13,27.324,SEA,,IND,L 19-31,,,,,,
62,1994,1994-12-11,14,27.331,SEA,@,HOU,W 16-14,0,0,0.5,0,0,0
63,1994,1994-12-18,15,27.338,SEA,,RAI,L 16-17,,,,,,
64,1994,1994-12-24,16,27.344,SEA,@,CLE,L 9-35,,,,,,
65,1995,1995-09-03,1,28.232,SEA,,KAN,L 10-34,,,,,,
66,1995,1995-09-10,2,28.239,SEA,@,SDG,L 10-14,0,0,0.0,1,9,0
67,1995,1995-09-17,3,28.246,SEA,,CIN,W 24-21,,,,,,
68,1995,1995-10-01,4,28.260,SEA,,DEN,W 27-10,,,,,,
69,1995,1995-10-08,5,28.267,SEA,@,OAK,L 14-34,,,,,,
70,1995,1995-10-15,6,28.274,SEA,@,BUF,L 21-27,,,,,,
71,1995,1995-10-22,7,28.281,SEA,,SDG,L 25-35,,,,,,
72,1995,1995-10-29,8,28.288,SEA,@,ARI,L 14-20,,,,,,
73,1995,1995-11-05,9,28.295,SEA,,NYG,W 30-28,,,,,,
74,1995,1995-11-12,10,28.302,SEA,@,JAX,W 47-30,,,,,,
75,1995,1995-11-19,11,28.309,SEA,@,WAS,W 27-20,,,,,,
76,1995,1995-11-26,12,28.316,SEA,,NYJ,L 10-16,,,,,,
77,1995,1995-12-03,13,28.323,SEA,,PHI,W 26-14,,,,,,
78,1995,1995-12-10,14,28.330,SEA,@,DEN,W 31-27,,,,,,
79,1995,1995-12-17,15,28.337,SEA,,OAK,W 44-10,,,,,,
80,1995,1995-12-24,16,28.344,SEA,@,KAN,L 3-26,,,,,,
81,1996,1996-10-27,8,29.287,SEA,,SDG,W 32-13,,,,,,
82,1996,1996-11-03,9,29.294,SEA,,HOU,W 23-16,0,0,0.0,1,13,0
83,1996,1996-11-10,10,29.301,SEA,,MIN,W 42-23,,,,,,
84,1996,1996-11-17,11,29.308,SEA,@,DET,L 16-17,,,,,,
85,1996,1996-11-24,12,29.315,SEA,,OAK,L 21-27,,,,,,
86,1996,1996-12-01,13,29.322,SEA,@,DEN,L 7-34,,,,,,
87,1996,1996-12-08,14,29.329,SEA,,BUF,W 26-18,,,,,,
88,1996,1996-12-15,15,29.336,SEA,@,JAX,L 13-20,,,,,,
89,1996,1996-12-22,16,29.343,SEA,@,OAK,W 28-21,,,,,,
90,1997,1997-08-31,1,30.229,KAN,@,DEN,L 3-19,,,,,,
91,1997,1997-09-08,2,30.237,KAN,@,OAK,W 28-27,,,,,,
92,1997,1997-09-14,3,30.243,KAN,,BUF,W 22-16,,,,,,
93,1997,1997-09-21,4,30.250,KAN,@,CAR,W 35-14,,,,,,
94,1997,1997-09-28,5,30.257,KAN,,SEA,W 20-17,0,0,1.0,0,0,0
