ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2002,2002-09-08,1,22.122,BAL,@,CAR,L 7-10,,0,0,0,,0,0.0%,,0,0,,0,2,27,13.50,0
2,2002,2002-09-15,2,22.129,BAL,,TAM,L 0-25,,1,0,0,,0,0.0%,0.00,0,0,,0,1,15,15.00,0
3,2002,2002-09-30,3,22.144,BAL,,DEN,W 34-23,,,,,,,0.0%,,,,,,,,,
4,2002,2002-10-06,4,22.150,BAL,@,CLE,W 26-21,,,,,,,0.0%,,,,,,,,,
5,2002,2002-10-13,5,22.157,BAL,@,IND,L 20-22,*,3,1,7,7.00,0,33.3%,2.33,1,9,9.00,0,1,63,63.00,0
6,2002,2002-10-20,6,22.164,BAL,,JAX,W 17-10,,,,,,,0.0%,,,,,,,,,
7,2002,2002-10-27,7,22.171,BAL,,PIT,L 18-31,,1,,,,,0.0%,,,,,,,,,
8,2002,2002-11-03,8,22.178,BAL,@,ATL,L 17-20,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0
9,2002,2002-11-10,9,22.185,BAL,,CIN,W 38-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
10,2002,2002-11-17,10,22.192,BAL,@,MIA,L 7-26,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0
11,2002,2002-11-24,11,22.199,BAL,,TEN,W 13-12,*,,,,,,0.0%,,,,,,,,,
12,2002,2002-12-01,12,22.206,BAL,@,CIN,W 27-23,*,1,,,,,0.0%,,,,,,,,,
