ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1979,1979-09-02,1,24.038,NYG,@,PHI,L 17-23,,,,,,,,,,,,
2,1979,1979-09-09,2,24.045,NYG,,STL,L 14-27,,,,,,,,,,,,
3,1979,1979-09-17,3,24.053,NYG,@,WAS,L 0-27,,,,,,,,,,,,
4,1979,1979-10-07,6,24.073,NYG,,TAM,W 17-14,,,,,,,,,,,,
5,1979,1979-10-14,7,24.080,NYG,,SFO,W 32-16,,,,,,,,,,,,
6,1979,1979-10-21,8,24.087,NYG,@,KAN,W 21-17,,,,,,,,,,,,
7,1979,1979-10-28,9,24.094,NYG,@,RAM,W 20-14,,,,,,,,,,,,
8,1979,1979-11-04,10,24.101,NYG,,DAL,L 14-16,,,,,,,,,,,,
9,1979,1979-11-11,11,24.108,NYG,,ATL,W 24-3,,,,,,,,,,,,
10,1979,1979-11-18,12,24.115,NYG,@,TAM,L 3-31,,,,,,,,,,,,
11,1979,1979-11-25,13,24.122,NYG,,WAS,W 14-6,,,,,,,,,,,,
12,1979,1979-12-02,14,24.129,NYG,@,DAL,L 7-28,0,0,,0,0,0,,0,1,21,21.00,0
13,1979,1979-12-09,15,24.136,NYG,@,STL,L 20-29,0,0,,0,0,0,,0,1,17,17.00,0
14,1979,1979-12-16,16,24.143,NYG,,BAL,L 7-31,0,0,,0,0,0,,0,1,13,13.00,0
15,1980,1980-09-07,1,25.043,NYG,@,STL,W 41-35,15,39,2.60,0,1,4,4.00,0,0,0,,0
16,1980,1980-09-14,2,25.050,NYG,,WAS,L 21-23,4,11,2.75,0,0,0,,0,0,0,,0
17,1980,1980-09-22,3,25.058,NYG,@,PHI,L 3-35,,,,,,,,,,,,
