ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,22.195,RAM,,CHI,L 20-24,2,4,2.00,1,1,9,9.00,0
2,1950,1950-09-22,2,22.200,RAM,,NYY,W 45-28,5,15,3.00,1,0,0,,0
3,1950,1950-10-01,3,22.209,RAM,@,SFO,W 35-14,4,34,8.50,1,1,6,6.00,0
4,1950,1950-10-07,4,22.215,RAM,@,PHI,L 20-56,8,6,0.75,1,2,33,16.50,0
5,1950,1950-10-15,5,22.223,RAM,@,DET,W 30-28,2,-1,-0.50,0,1,0,0.00,0
6,1950,1950-10-22,6,22.230,RAM,,BAL,W 70-27,4,17,4.25,1,1,5,5.00,0
7,1950,1950-10-29,7,22.237,RAM,,DET,W 65-24,7,18,2.57,1,0,0,,0
8,1950,1950-11-05,8,22.244,RAM,,SFO,W 28-21,5,28,5.60,0,0,0,,0
9,1950,1950-11-12,9,22.251,RAM,@,GNB,W 45-14,3,-2,-0.67,0,0,0,,0
10,1950,1950-11-19,10,22.258,RAM,@,NYY,W 43-35,4,6,1.50,0,1,8,8.00,0
11,1950,1950-11-26,11,22.265,RAM,@,CHI,L 14-24,2,15,7.50,0,1,2,2.00,0
12,1951,1951-09-28,1,23.206,RAM,,NYY,W 54-14,3,6,2.00,1,2,30,15.00,0
13,1951,1951-10-07,2,23.215,RAM,,CLE,L 23-38,8,33,4.13,0,1,46,46.00,0
14,1951,1951-10-14,3,23.222,RAM,@,DET,W 27-21,7,58,8.29,0,1,2,2.00,0
15,1951,1951-10-21,4,23.229,RAM,@,GNB,W 28-0,11,144,13.09,1,0,0,,0
16,1951,1951-10-28,5,23.236,RAM,@,SFO,L 17-44,7,43,6.14,0,1,8,8.00,0
17,1951,1951-11-04,6,23.243,RAM,,SFO,W 23-16,11,54,4.91,0,2,38,19.00,0
18,1951,1951-11-11,7,23.250,RAM,,CRD,W 45-21,11,109,9.91,0,1,7,7.00,0
19,1951,1951-11-18,8,23.257,RAM,,NYY,W 48-21,13,155,11.92,1,1,26,26.00,0
20,1951,1951-11-25,9,23.264,RAM,@,WAS,L 21-31,11,14,1.27,0,5,56,11.20,0
21,1951,1951-12-02,10,23.271,RAM,@,CHI,W 42-17,14,76,5.43,2,2,44,22.00,0
22,1951,1951-12-09,11,23.278,RAM,,DET,L 22-24,17,60,3.53,1,0,0,,0
23,1951,1951-12-16,12,23.285,RAM,,GNB,W 42-14,13,102,7.85,0,0,0,,0
24,1952,1952-09-28,1,24.206,RAM,@,CLE,L 7-37,11,64,5.82,1,2,23,11.50,0
25,1952,1952-10-03,2,24.211,RAM,,DET,L 14-17,4,4,1.00,0,1,10,10.00,0
26,1952,1952-10-12,3,24.220,RAM,@,GNB,W 30-28,12,59,4.92,2,0,0,,0
