ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,2001,2001-11-25,10,22.124,IND,,SFO,L 21-40,,,,,,,,
2,2001,2001-12-23,14,22.152,IND,,NYJ,L 28-29,,,,,,,,
3,2001,2001-12-30,15,22.159,IND,@,STL,L 17-42,,,,,,,,
4,2001,2002-01-06,16,22.166,IND,,DEN,W 29-10,,0,0,,0,1,0,0
5,2002,2002-10-27,8,23.095,CLE,@,NYJ,W 24-21,,,,,,,,
6,2002,2002-11-03,9,23.102,CLE,,PIT,L 20-23,,,,,,,,
7,2002,2002-12-01,12,23.130,CLE,,CAR,L 6-13,,,,,,,,
8,2002,2002-12-08,13,23.137,CLE,@,JAX,W 21-20,,,,,,,,
9,2003,2003-09-07,1,24.045,BAL,@,PIT,L 15-34,,0,0,,0,,,
10,2003,2003-09-14,2,24.052,BAL,,CLE,W 33-13,,0,0,,0,,,
11,2003,2003-09-21,3,24.059,BAL,@,SDG,W 24-10,,0,0,,0,,,
12,2003,2003-09-28,4,24.066,BAL,,KAN,L 10-17,,,,,,,,
13,2003,2003-10-12,5,24.080,BAL,@,ARI,W 26-18,,1,0,0.00,0,0,0,0
14,2003,2003-11-02,8,24.101,BAL,,JAX,W 24-17,,0,0,,0,,,
15,2003,2003-11-09,9,24.108,BAL,@,STL,L 22-33,,,,,,,,
16,2003,2003-11-30,12,24.129,BAL,,SFO,W 44-6,,,,,,,,
17,2003,2003-12-07,13,24.136,BAL,,CIN,W 31-13,,,,,,,,
18,2003,2003-12-14,14,24.143,BAL,@,OAK,L 12-20,,,,,,,,
19,2004,2004-09-12,1,25.050,BAL,@,CLE,L 3-20,,,,,,,,
20,2004,2004-09-19,2,25.057,BAL,,PIT,W 30-13,,,,,,,,
21,2004,2004-09-26,3,25.064,BAL,@,CIN,W 23-9,,,,,,,,
22,2004,2004-10-04,4,25.072,BAL,,KAN,L 24-27,,,,,,,,
23,2004,2004-10-10,5,25.078,BAL,@,WAS,W 17-10,,,,,,,,
24,2004,2004-10-24,6,25.092,BAL,,BUF,W 20-6,,,,,,,,
25,2004,2004-10-31,7,25.099,BAL,@,PHI,L 10-15,,,,,,,,
26,2004,2004-11-07,8,25.106,BAL,,CLE,W 27-13,,,,,,,,
27,2004,2004-11-14,9,25.113,BAL,@,NYJ,W 20-17,,,,,,,,
28,2004,2004-11-21,10,25.120,BAL,,DAL,W 30-10,,,,,,,,
29,2004,2004-11-28,11,25.127,BAL,@,NWE,L 3-24,*,,,,,,,
30,2004,2004-12-05,12,25.134,BAL,,CIN,L 26-27,,,,,,,,
31,2004,2004-12-12,13,25.141,BAL,,NYG,W 37-14,,,,,,,,
32,2004,2004-12-19,14,25.148,BAL,@,IND,L 10-20,,,,,,,,
33,2004,2004-12-26,15,25.155,BAL,@,PIT,L 7-20,,,,,,,,
34,2004,2005-01-02,16,25.162,BAL,,MIA,W 30-23,,,,,,,,
35,2005,2005-09-11,1,26.049,ARI,@,NYG,L 19-42,,,,,,,,
36,2005,2005-09-18,2,26.056,ARI,,STL,L 12-17,,,,,,,,
37,2005,2005-09-25,3,26.063,ARI,@,SEA,L 12-37,,,,,,,,
38,2005,2005-10-02,4,26.070,ARI,,SFO,W 31-14,*,,,,,,,
39,2005,2005-11-13,9,26.112,ARI,@,DET,L 21-29,,,,,,,,
40,2005,2005-12-04,12,26.133,ARI,@,SFO,W 17-10,,,,,,,,
41,2005,2005-12-24,15,26.153,ARI,,PHI,W 27-21,*,,,,,,,
