ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-11-24,12,25.229,CIN,,ATL,W 41-31,,1,0,0,,0,0.0%,0.00,4,85,21.25,0,0,0,,0,0,0
2,1996,1996-12-01,13,25.236,CIN,@,JAX,L 27-30,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0
3,1996,1996-12-08,14,25.243,CIN,,BAL,W 21-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
4,1996,1996-12-15,15,25.250,CIN,@,HOU,W 21-13,,2,1,14,14.00,1,50.0%,7.00,0,0,,0,0,0,,0,1,6
5,1996,1996-12-22,16,25.257,CIN,,IND,W 31-24,,3,0,0,,0,0.0%,0.00,5,134,26.80,0,1,-7,-7.00,0,0,0
6,1997,1997-08-31,1,26.144,CIN,,ARI,W 24-21,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,
7,1997,1997-09-07,2,26.151,CIN,@,BAL,L 10-23,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,
8,1997,1997-09-21,3,26.165,CIN,@,DEN,L 20-38,,1,0,0,,0,0.0%,0.00,1,1,1.00,0,0,0,,0,0,0
9,1997,1997-09-28,4,26.172,CIN,,NYJ,L 14-31,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0
10,1997,1997-10-05,5,26.179,CIN,@,JAX,L 13-21,,,0,0,,0,0.0%,,0,0,,0,,,,,,
11,1997,1997-10-12,6,26.186,CIN,@,TEN,L 7-30,,0,0,0,,0,0.0%,,2,43,21.50,0,0,0,,0,0,0
12,1997,1997-10-19,7,26.193,CIN,,PIT,L 10-26,,0,0,0,,0,0.0%,,3,49,16.33,0,0,0,,0,0,0
13,1997,1997-10-26,8,26.200,CIN,@,NYG,L 27-29,,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0
14,1997,1997-11-02,9,26.207,CIN,,SDG,W 38-31,,,0,0,,0,0.0%,,0,0,,0,,,,,,
15,1997,1997-11-09,10,26.214,CIN,@,IND,W 28-13,,,0,0,,0,0.0%,,0,0,,0,,,,,,
16,1997,1997-11-16,11,26.221,CIN,@,PIT,L 3-20,,,0,0,,0,0.0%,,0,0,,0,,,,,,
17,1997,1997-11-23,12,26.228,CIN,,JAX,W 31-26,,4,3,25,8.33,0,75.0%,6.25,3,58,19.33,0,0,0,,0,0,0
18,1997,1997-11-30,13,26.235,CIN,@,PHI,L 42-44,,8,5,118,23.60,2,62.5%,14.75,0,0,,0,0,0,,0,2,12
19,1997,1997-12-04,14,26.239,CIN,,TEN,W 41-14,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0
20,1997,1997-12-14,15,26.249,CIN,,DAL,W 31-24,,4,2,75,37.50,0,50.0%,18.75,0,0,,0,0,0,,0,0,0
21,1997,1997-12-21,16,26.256,CIN,,BAL,W 16-14,,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0
22,1998,1998-09-13,2,27.157,CIN,@,DET,W 34-28,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0
23,1998,1998-10-11,5,27.185,CIN,,PIT,W 25-20,,1,,,,,0.0%,,,,,,,,,,,
24,1998,1998-10-18,6,27.192,CIN,@,TEN,L 14-44,,1,,,,,0.0%,,,,,,,,,,,
25,1998,1998-10-25,7,27.199,CIN,@,OAK,L 10-27,,1,,,,,0.0%,,,,,,,,,,,
26,1998,1998-11-01,8,27.206,CIN,,DEN,L 26-33,,3,2,20,10.00,1,66.7%,6.67,0,0,,0,0,0,,0,1,6
27,1998,1998-11-08,9,27.213,CIN,@,JAX,L 11-24,,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,0
28,1998,1998-11-15,10,27.220,CIN,@,MIN,L 3-24,,1,,,,,0.0%,,,,,,,,,,,
29,1998,1998-11-22,11,27.227,CIN,,BAL,L 13-20,,7,2,17,8.50,0,28.6%,2.43,0,0,,0,0,0,,0,0,0
30,1998,1998-11-29,12,27.234,CIN,,JAX,L 17-34,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0
31,1999,1999-10-24,7,28.198,CIN,@,IND,L 10-31,,,,,,,0.0%,,,,,,,,,,,
32,1999,1999-10-31,8,28.205,CIN,,JAX,L 10-41,,,,,,,0.0%,,,,,,,,,,,
33,1999,1999-11-07,9,28.212,CIN,@,SEA,L 20-37,,,,,,,0.0%,,,,,,,,,,,
34,1999,1999-11-14,10,28.219,CIN,,TEN,L 14-24,,,,,,,0.0%,,,,,,,,,,,
35,1999,1999-12-05,13,28.240,CIN,,SFO,W 44-30,,0,,,,,0.0%,,,,,,,,,,,
36,1999,2000-01-02,16,28.268,CIN,@,JAX,L 7-24,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0
