ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1987,1987-10-04,3,24.195,STL,@,WAS,L 21-28,3,3,100.0,,2,0.0,0,3
2,1987,1987-10-11,4,24.202,STL,,NOR,W 24-19,3,3,100.0,1,1,100.0,0,6
3,1988,1988-10-30,9,25.221,NWE,,CHI,W 30-7,3,4,75.0,1,1,100.0,0,6
4,1988,1988-11-06,10,25.228,NWE,,MIA,W 21-10,3,3,100.0,,,,0,3
5,1988,1988-11-13,11,25.235,NWE,@,NYJ,W 14-13,2,2,100.0,,,,0,2
6,1988,1988-11-20,12,25.242,NWE,@,MIA,W 6-3,,,,2,2,100.0,0,6
7,1988,1988-11-27,13,25.249,NWE,@,IND,L 21-24,3,3,100.0,,2,0.0,0,3
8,1988,1988-12-04,14,25.256,NWE,,SEA,W 13-7,1,1,100.0,2,2,100.0,0,7
9,1988,1988-12-11,15,25.263,NWE,,TAM,W 10-7,1,1,100.0,1,2,50.0,0,4
10,1988,1988-12-17,16,25.269,NWE,@,DEN,L 10-21,1,1,100.0,1,2,50.0,0,4
11,1989,1989-11-12,10,26.234,NWE,,NOR,L 24-28,3,3,100.0,1,1,100.0,0,6
12,1989,1989-11-19,11,26.241,NWE,,BUF,W 33-24,3,3,100.0,4,4,100.0,0,15
13,1989,1989-11-26,12,26.248,NWE,@,RAI,L 21-24,3,3,100.0,,,,0,3
14,1989,1989-12-03,13,26.255,NWE,,IND,W 22-16,1,1,100.0,5,7,71.4,0,16
15,1989,1989-12-10,14,26.262,NWE,@,MIA,L 10-31,1,1,100.0,1,1,100.0,0,4
16,1989,1989-12-17,15,26.269,NWE,@,PIT,L 10-28,1,1,100.0,1,2,50.0,0,4
17,1989,1989-12-24,16,26.276,NWE,,RAM,L 20-24,2,2,100.0,2,2,100.0,0,8
18,1990,1990-09-09,1,27.170,NWE,,MIA,L 24-27,3,3,100.0,1,2,50.0,0,6
19,1990,1990-09-16,2,27.177,NWE,@,IND,W 16-14,1,1,100.0,3,4,75.0,0,10
20,1990,1990-09-23,3,27.184,NWE,@,CIN,L 7-41,1,1,100.0,,,,0,1
21,1990,1990-09-30,4,27.191,NWE,,NYJ,L 13-37,1,1,100.0,2,2,100.0,0,7
22,1990,1990-10-07,5,27.198,NWE,,SEA,L 20-33,2,2,100.0,2,2,100.0,0,8
23,1990,1990-10-18,6,27.209,NWE,@,MIA,L 10-17,1,1,100.0,1,2,50.0,0,4
24,1990,1990-10-28,7,27.219,NWE,,BUF,L 10-27,1,1,100.0,1,1,100.0,0,4
25,1990,1990-11-04,8,27.226,NWE,@,PHI,L 20-48,2,2,100.0,2,3,66.7,0,8
26,1990,1990-11-11,9,27.233,NWE,,IND,L 10-13,1,1,100.0,1,1,100.0,0,4
27,1990,1990-11-18,10,27.240,NWE,@,BUF,L 0-14,,,,,,,,
28,1990,1990-11-25,11,27.247,NWE,@,PHO,L 14-34,2,2,100.0,,,,0,2
29,1990,1990-12-02,12,27.254,NWE,,KAN,L 7-37,1,1,100.0,,,,0,1
30,1990,1990-12-09,13,27.261,NWE,@,PIT,L 3-24,,,,1,1,100.0,0,3
31,1990,1990-12-15,14,27.267,NWE,,WAS,L 10-25,1,1,100.0,1,1,100.0,0,4
32,1990,1990-12-23,15,27.275,NWE,@,NYJ,L 7-42,1,1,100.0,,1,0.0,0,1
33,1990,1990-12-30,16,27.282,NWE,,NYG,L 10-13,1,1,100.0,1,2,50.0,0,4
34,1991,1991-09-01,1,28.162,NWE,@,IND,W 16-7,1,1,100.0,3,3,100.0,0,10
35,1991,1991-09-08,2,28.169,NWE,,CLE,L 0-20,,,,,,,,
36,1991,1991-09-15,3,28.176,NWE,@,PIT,L 6-20,,,,2,3,66.7,0,6
37,1991,1991-09-22,4,28.183,NWE,,HOU,W 24-20,3,3,100.0,1,1,100.0,0,6
38,1991,1991-09-29,5,28.190,NWE,@,PHO,L 10-24,1,1,100.0,1,2,50.0,0,4
39,1991,1991-10-06,6,28.197,NWE,,MIA,L 10-20,1,1,100.0,1,1,100.0,0,4
40,1991,1991-10-20,7,28.211,NWE,,MIN,W 26-23,2,3,66.7,2,3,66.7,0,8
41,1991,1991-10-27,8,28.218,NWE,,DEN,L 6-9,,,,2,3,66.7,0,6
42,1991,1991-11-03,9,28.225,NWE,@,BUF,L 17-22,2,2,100.0,1,3,33.3,0,5
43,1992,1992-09-06,1,29.167,NYJ,@,ATL,L 17-20,2,2,100.0,1,3,33.3,0,5
44,1992,1992-09-13,2,29.174,NYJ,@,PIT,L 10-27,1,1,100.0,1,3,33.3,0,4
45,1992,1992-09-20,3,29.181,NYJ,,SFO,L 14-31,2,2,100.0,,,,0,2
46,1992,1992-09-27,4,29.188,NYJ,@,RAM,L 10-18,1,1,100.0,1,2,50.0,0,4
