ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,22.319,IND,@,BUF,L 10-26,,0,0,,0,,3,16,5.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
2,1990,1990-09-16,2,22.326,IND,,NWE,L 14-16,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
3,1990,1990-09-23,3,22.333,IND,@,HOU,L 10-24,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
4,1990,1990-09-30,4,22.340,IND,@,PHI,W 24-23,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
5,1990,1990-10-07,5,22.347,IND,,KAN,W 23-19,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
6,1990,1990-10-21,6,22.361,IND,,DEN,L 17-27,,0,0,,0,,1,1,1.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
7,1990,1990-10-28,7,23.003,IND,,MIA,L 7-27,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
8,1990,1990-11-05,8,23.011,IND,,NYG,L 7-24,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
9,1990,1990-11-11,9,23.017,IND,@,NWE,W 13-10,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
10,1990,1990-11-18,10,23.024,IND,,NYJ,W 17-14,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
11,1990,1990-11-25,11,23.031,IND,@,CIN,W 34-20,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
12,1990,1990-12-02,12,23.038,IND,@,PHO,L 17-20,,0,0,,0,,1,15,15.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
13,1990,1990-12-09,13,23.045,IND,,BUF,L 7-31,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
