ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.267,DET,@,CHI,W 20-16,*,6,4,69,17.25,0,66.7%,11.50,1,1,1.00,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
2,2004,2004-09-19,2,22.274,DET,,HOU,W 28-16,*,7,4,73,18.25,2,57.1%,10.43,0,0,,0,0,0,,0,0,0,,0,,,,,2,12,0.0,,
3,2004,2004-09-26,3,22.281,DET,,PHI,L 13-30,*,16,9,135,15.00,2,56.3%,8.44,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,2,12,0.0,,
4,2004,2004-10-10,4,22.295,DET,@,ATL,W 17-10,,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
5,2004,2004-10-24,6,22.309,DET,@,NYG,W 28-13,*,6,4,67,16.75,1,66.7%,11.17,0,0,,0,0,0,,0,0,0,,0,,,,,1,6,0.0,,
6,2004,2004-11-07,8,22.323,DET,,WAS,L 10-17,*,14,3,33,11.00,0,21.4%,2.36,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
7,2004,2004-11-14,9,22.330,DET,@,JAX,L 17-23,*,8,2,64,32.00,0,25.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
8,2004,2004-11-21,10,22.337,DET,@,MIN,L 19-22,,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
9,2004,2004-11-25,11,22.341,DET,,IND,L 9-41,*,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
10,2004,2004-12-05,12,22.351,DET,,ARI,W 26-12,*,9,4,76,19.00,0,44.4%,8.44,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
11,2004,2004-12-12,13,22.358,DET,@,GNB,L 13-16,*,6,1,13,13.00,0,16.7%,2.17,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
12,2004,2004-12-19,14,22.365,DET,,MIN,L 27-28,*,11,7,104,14.86,2,63.6%,9.45,0,0,,0,0,0,,0,0,0,,0,,,,,2,12,0.0,,
13,2004,2004-12-26,15,23.006,DET,,CHI,W 19-13,*,9,3,33,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,0,,,,,0,0,0.0,,
14,2004,2005-01-02,16,23.013,DET,@,TEN,L 19-24,*,9,4,62,15.50,1,44.4%,6.89,0,0,,0,0,0,,0,0,0,,0,,,,,1,6,0.0,,
15,2005,2005-09-11,1,23.265,DET,,GNB,W 17-3,*,9,2,13,6.50,0,22.2%,1.44,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
16,2005,2005-09-18,2,23.272,DET,@,CHI,L 6-38,*,13,5,96,19.20,1,38.5%,7.38,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
17,2005,2005-10-02,3,23.286,DET,@,TAM,L 13-17,*,6,3,54,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
18,2005,2005-10-09,4,23.293,DET,,BAL,W 35-17,*,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
19,2005,2005-11-06,8,23.321,DET,@,MIN,L 14-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
20,2005,2005-11-13,9,23.328,DET,,ARI,W 29-21,*,9,7,117,16.71,3,77.8%,13.00,0,0,,0,0,0,,0,0,0,,,,,,,3,18,0.0,,
21,2005,2005-11-20,10,23.335,DET,@,DAL,L 7-20,*,9,5,72,14.40,0,55.6%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
22,2005,2005-11-24,11,23.339,DET,,ATL,L 7-27,*,6,3,55,18.33,1,50.0%,9.17,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
23,2005,2005-12-04,12,23.349,DET,,MIN,L 16-21,*,9,4,34,8.50,0,44.4%,3.78,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
24,2005,2005-12-11,13,23.356,DET,@,GNB,L 13-16,*,7,4,53,13.25,1,57.1%,7.57,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
25,2005,2005-12-18,14,23.363,DET,,CIN,L 17-41,*,7,3,27,9.00,1,42.9%,3.86,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
26,2005,2005-12-24,15,24.004,DET,@,NOR,W 13-12,*,9,4,111,27.75,0,44.4%,12.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
27,2005,2006-01-01,16,24.012,DET,@,PIT,L 21-35,*,6,3,31,10.33,1,50.0%,5.17,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
28,2006,2006-09-10,1,24.264,DET,,SEA,L 6-9,*,7,3,36,12.00,0,42.9%,5.14,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
29,2006,2006-09-17,2,24.271,DET,@,CHI,L 7-34,*,8,6,71,11.83,0,75.0%,8.88,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
30,2006,2006-09-24,3,24.278,DET,,GNB,L 24-31,*,11,7,138,19.71,1,63.6%,12.55,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
31,2006,2006-10-01,4,24.285,DET,@,STL,L 34-41,*,14,9,139,15.44,0,64.3%,9.93,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
32,2006,2006-10-08,5,24.292,DET,@,MIN,L 17-26,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
33,2006,2006-10-15,6,24.299,DET,,BUF,W 20-17,*,17,10,161,16.10,1,58.8%,9.47,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
34,2006,2006-10-22,7,24.306,DET,@,NYJ,L 24-31,*,7,2,29,14.50,1,28.6%,4.14,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
