ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,21.280,IND,,DET,L 35-39,,0,0,,0,0,0,,0,0,,,0.0,1,0
2,2016,2016-09-18,2,21.287,IND,@,DEN,L 20-34,,0,0,,0,0,0,,0,0,,,0.0,0,0
3,2016,2016-09-25,3,21.294,IND,,SDG,W 26-22,,0,0,,0,0,0,,0,0,,,0.0,1,1
4,2016,2016-10-02,4,21.301,IND,@,JAX,L 27-30,,0,0,,0,0,0,,0,0,,,0.0,2,0
5,2016,2016-10-09,5,21.308,IND,,CHI,W 29-23,,0,0,,0,0,0,,0,0,,,0.0,3,1
6,2016,2016-10-16,6,21.315,IND,@,HOU,L 23-26,,0,0,,0,0,0,,0,0,,,0.0,0,0
7,2016,2016-10-23,7,21.322,IND,@,TEN,W 34-26,,0,0,,0,0,0,,0,0,,,0.0,2,0
8,2016,2016-10-30,8,21.329,IND,,KAN,L 14-30,,0,0,,0,0,0,,0,0,,,0.0,0,0
9,2016,2016-11-06,9,21.336,IND,@,GNB,W 31-26,,0,0,,0,0,0,,0,0,,,0.0,0,0
10,2016,2016-11-20,10,21.350,IND,,TEN,W 24-17,,0,0,,0,0,0,,0,0,,,0.0,0,0
11,2016,2016-11-24,11,21.354,IND,,PIT,L 7-28,,0,0,,0,0,0,,0,0,,,0.0,0,0
12,2016,2016-12-05,12,21.365,IND,@,NYJ,W 41-10,,0,0,,0,0,0,,0,0,,,0.0,1,1
13,2016,2016-12-11,13,22.005,IND,,HOU,L 17-22,*,0,0,,0,0,0,,0,0,,,0.0,3,6
14,2016,2016-12-18,14,22.012,IND,@,MIN,W 34-6,*,0,0,,0,0,0,,0,0,,,0.0,4,0
15,2016,2016-12-24,15,22.018,IND,@,OAK,L 25-33,*,0,0,,0,0,0,,0,0,,,0.0,6,5
16,2016,2017-01-01,16,22.026,IND,,JAX,W 24-20,*,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,4,4
17,2017,2017-09-10,1,22.278,IND,@,LAR,L 9-46,*,0,0,,0,0,0,,0,0,,,0.0,3,1
18,2017,2017-09-24,3,22.292,IND,,CLE,W 31-28,*,0,0,,0,0,0,,0,0,,,0.0,4,3
19,2017,2017-10-01,4,22.299,IND,@,SEA,L 18-46,*,0,0,,0,0,0,,0,0,,,0.0,3,4
20,2017,2017-10-08,5,22.306,IND,,SFO,W 26-23,*,0,0,,0,0,0,,0,0,,,0.0,5,2
21,2017,2017-10-16,6,22.314,IND,@,TEN,L 22-36,*,0,0,,0,0,0,,0,0,,,0.0,4,3
22,2017,2017-10-22,7,22.320,IND,,JAX,L 0-27,*,0,0,,0,0,0,,0,0,,,0.0,8,6
23,2017,2017-10-29,8,22.327,IND,@,CIN,L 23-24,*,0,0,,0,0,0,,0,0,,,0.0,3,5
24,2017,2017-11-05,9,22.334,IND,@,HOU,W 20-14,*,0,0,,0,0,0,,0,0,,,0.0,0,1
25,2017,2017-11-12,10,22.341,IND,,PIT,L 17-20,*,0,0,,0,0,0,,0,0,,,0.0,5,4
26,2017,2017-11-26,11,22.355,IND,,TEN,L 16-20,*,0,0,,0,0,0,,0,0,,,0.0,4,2
27,2017,2017-12-03,12,22.362,IND,@,JAX,L 10-30,*,0,0,,0,0,0,,0,0,,,0.0,6,0
28,2017,2017-12-10,13,23.004,IND,@,BUF,L 7-13,*,0,0,,0,0,0,,0,0,,,0.0,6,1
29,2017,2017-12-14,14,23.008,IND,,DEN,L 13-25,*,0,0,,0,0,0,,0,0,,,0.0,4,8
30,2017,2017-12-23,15,23.017,IND,@,BAL,L 16-23,*,0,0,,0,0,0,,0,0,,,0.0,5,3
31,2017,2017-12-31,16,23.025,IND,,HOU,W 22-13,*,0,0,,0,0,0,,0,0,,,0.0,4,1
32,2018,2018-09-09,1,23.277,GNB,,CHI,W 24-23,,0,0,,0,0,0,,0,0,,,0.0,2,1
33,2018,2018-09-16,2,23.284,GNB,,MIN,T 29-29,*,0,0,,0,0,0,,0,0,,,0.0,1,3
34,2018,2018-09-23,3,23.291,GNB,@,WAS,L 17-31,*,0,0,,0,0,0,,0,0,,,0.0,1,2
