ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-18,2,25.301,BUF,,DEN,L 21-27,0,0,,0,0,0,2,48,0
2,1960,1960-10-23,6,25.336,BUF,,OAK,W 38-9,0,0,,0,0,0,2,13,0
3,1960,1960-10-30,7,25.343,BUF,,HOU,W 25-24,1,20,20.00,0,0,0,2,58,0
4,1960,1960-11-20,10,25.364,BUF,@,LAC,W 32-3,0,0,,0,1,6,2,23,1
5,1961,1961-09-10,1,26.292,BUF,,DEN,L 10-22,0,0,,0,0,0,1,0,0
6,1961,1961-10-08,5,26.320,BUF,@,HOU,W 22-12,0,0,,0,0,0,1,12,0
7,1963,1963-10-11,6,28.323,OAK,@,BOS,L 14-20,0,0,,0,0,0,1,19,0
8,1963,1963-10-20,7,28.332,OAK,,NYJ,W 49-26,0,0,,0,0,0,1,7,0
9,1963,1963-10-27,8,28.339,OAK,@,SDG,W 34-33,0,0,,0,0,0,1,13,0
10,1963,1963-12-22,14,29.030,OAK,,HOU,W 52-49,0,0,,0,0,0,1,0,0
11,1964,1964-10-16,6,29.329,OAK,@,BOS,T 43-43,0,0,,0,0,0,2,50,0
12,1965,1965-10-03,4,30.315,OAK,@,BUF,L 12-17,0,0,,0,0,0,1,47,0
13,1965,1965-10-24,7,30.336,OAK,,BOS,W 30-21,0,0,,0,0,0,1,0,0
14,1965,1965-11-07,9,30.350,OAK,@,HOU,W 33-21,0,0,,0,0,0,1,5,0
15,1966,1966-09-18,2,31.300,DEN,,BOS,L 10-24,0,0,,0,0,0,1,6,0
16,1966,1966-10-23,7,31.335,DEN,,KAN,L 10-56,0,0,,0,0,0,1,4,0
17,1966,1966-12-11,13,32.019,SDG,,NYJ,W 42-27,0,0,,0,0,0,1,6,0
