ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1960,1960-09-16,2,24.252,OAK,,DTX,L 16-34,5,54,10.80,0,0,0,,0,0,0
2,1960,1960-09-25,3,24.261,OAK,@,HOU,W 14-13,1,15,15.00,0,0,0,,0,0,0
3,1960,1960-10-02,4,24.268,OAK,@,DEN,L 14-31,1,5,5.00,0,0,0,,0,0,0
4,1960,1960-10-09,5,24.275,OAK,@,DTX,W 20-19,2,43,21.50,1,2,-2,-1.00,1,2,12
5,1960,1960-10-16,6,24.282,OAK,,BOS,W 27-14,2,12,6.00,0,0,0,,0,0,0
6,1960,1960-10-23,7,24.289,OAK,@,BUF,L 9-38,1,17,17.00,0,0,0,,0,0,0
7,1960,1960-10-28,8,24.294,OAK,@,NYT,W 28-27,2,32,16.00,0,0,0,,0,0,0
8,1960,1960-11-04,9,24.301,OAK,@,BOS,L 28-34,4,39,9.75,0,0,0,,0,0,0
9,1960,1960-11-13,10,24.310,OAK,,BUF,W 20-7,4,43,10.75,0,1,0,0.00,0,0,0
10,1960,1960-11-27,11,24.324,OAK,@,LAC,L 28-52,3,33,11.00,0,0,0,,0,0,0
11,1960,1960-12-11,13,24.338,OAK,,NYT,L 28-31,1,17,17.00,0,0,0,,0,0,0
12,1960,1960-12-17,14,24.344,OAK,,DEN,W 48-10,1,44,44.00,0,0,0,,0,0,0
