ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-09-20,2,23.164,MIA,@,JAX,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,2,57,28.50,0,0,0,,0
2,2015,2015-10-26,7,23.200,BAL,@,ARI,L 18-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2015,2015-11-01,8,23.206,BAL,,SDG,W 29-26,,0,0,,0,0,0,0,,0,0.0%,,1,33,33.00,0,0,0,,0
4,2015,2015-11-15,9,23.220,BAL,,JAX,L 20-22,,0,0,,0,0,0,0,,0,0.0%,,1,50,50.00,0,0,0,,0
5,2015,2015-11-22,10,23.227,BAL,,STL,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,2,58,29.00,0,0,0,,0
6,2015,2015-11-30,11,23.235,BAL,@,CLE,W 33-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,2015,2015-12-06,12,23.241,BAL,@,MIA,L 13-15,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0
8,2015,2015-12-13,13,23.248,BAL,,SEA,L 6-35,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,2015,2015-12-20,14,23.255,CLE,@,SEA,L 13-30,,0,0,,0,0,0,0,,0,0.0%,,5,159,31.80,0,0,0,,0
10,2015,2015-12-27,15,23.262,CLE,@,KAN,L 13-17,,0,0,,0,0,0,0,,0,0.0%,,2,30,15.00,0,0,0,,0
11,2015,2016-01-03,16,23.269,CLE,,PIT,L 12-28,,0,0,,0,0,0,0,,0,0.0%,,5,120,24.00,0,0,0,,0
12,2016,2016-09-25,3,24.169,CHI,@,DAL,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
13,2016,2016-10-02,4,24.176,CHI,,DET,W 17-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
14,2016,2017-01-01,16,24.267,SFO,,SEA,L 23-25,,1,6,6.00,0,0,0,0,,0,0.0%,,2,35,17.50,0,0,33,,0
15,2017,2017-09-10,1,25.154,SFO,,CAR,L 3-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,2017,2017-09-17,2,25.161,SFO,@,SEA,L 9-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
17,2017,2017-09-21,3,25.165,SFO,,LAR,L 39-41,,4,11,2.75,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0
18,2017,2017-10-01,4,25.175,SFO,@,ARI,L 15-18,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
19,2017,2017-10-08,5,25.182,SFO,@,IND,L 23-26,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
20,2017,2017-10-15,6,25.189,SFO,@,WAS,L 24-26,,1,16,16.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
21,2017,2017-10-22,7,25.196,SFO,,DAL,L 10-40,,0,0,,0,0,0,0,,0,0.0%,,4,63,15.75,0,0,0,,0
22,2017,2017-10-29,8,25.203,SFO,@,PHI,L 10-33,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
23,2017,2017-11-05,9,25.210,SFO,,ARI,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
24,2017,2017-11-12,10,25.217,SFO,,NYG,W 31-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
25,2017,2017-11-26,11,25.231,SFO,,SEA,L 13-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
26,2018,2018-09-09,1,26.153,SFO,@,MIN,L 16-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
27,2018,2018-09-16,2,26.160,SFO,,DET,W 30-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
28,2018,2018-09-23,3,26.167,SFO,@,KAN,L 27-38,,1,0,0.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
