ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-20,3,23.062,TAM,,CHI,W 27-15,,,,,,,
2,1998,1998-09-28,4,23.070,TAM,@,DET,L 6-27,,,,,,,
3,1998,1998-10-04,5,23.076,TAM,,NYG,W 20-3,,,,,,,
4,1998,1998-10-18,6,23.090,TAM,,CAR,W 16-13,,,,,,,
5,1998,1998-10-25,7,23.097,TAM,@,NOR,L 3-9,,,,,,,
6,1998,1998-11-01,8,23.104,TAM,,MIN,W 27-24,,,,,,,
7,1998,1998-11-08,9,23.111,TAM,,TEN,L 22-31,,,,,,,
8,1998,1998-11-15,10,23.118,TAM,@,JAX,L 24-29,,,,,,,
9,1998,1998-11-22,11,23.125,TAM,,DET,L 25-28,,,,,,,
10,1998,1998-11-29,12,23.132,TAM,@,CHI,W 31-17,,,,,,,
11,1998,1998-12-07,13,23.140,TAM,,GNB,W 24-22,,,,,,,
12,1998,1998-12-13,14,23.146,TAM,,PIT,W 16-3,,,,,,,
13,1998,1998-12-19,15,23.152,TAM,@,WAS,L 16-20,,,,,,,
14,1998,1998-12-27,16,23.160,TAM,@,CIN,W 35-0,,,,,,,
15,1999,1999-09-12,1,24.054,TAM,,NYG,L 13-17,,,,,,,
16,1999,1999-09-19,2,24.061,TAM,@,PHI,W 19-5,,,,,,,
17,1999,1999-09-26,3,24.068,TAM,,DEN,W 13-10,,,,,,,
18,1999,1999-10-03,4,24.075,TAM,@,MIN,L 14-21,,,,,,,
19,1999,1999-10-10,5,24.082,TAM,@,GNB,L 23-26,,,,,,,
20,1999,1999-10-24,6,24.096,TAM,,CHI,W 6-3,,,,,,,
21,1999,1999-10-31,7,24.103,TAM,@,DET,L 3-20,,,,,,,
22,1999,1999-11-07,8,24.110,TAM,@,NOR,W 31-16,,,,,,,
23,1999,1999-11-14,9,24.117,TAM,,KAN,W 17-10,,,,,,,
24,1999,1999-11-21,10,24.124,TAM,,ATL,W 19-10,,,,,,,
25,1999,1999-11-28,11,24.131,TAM,@,SEA,W 16-3,,,,,,,
26,1999,1999-12-06,12,24.139,TAM,,MIN,W 24-17,,,,,,,
27,1999,1999-12-12,13,24.145,TAM,,DET,W 23-16,,,,,,,
28,1999,1999-12-19,14,24.152,TAM,@,OAK,L 0-45,,,,,,,
29,1999,1999-12-26,15,24.159,TAM,,GNB,W 29-10,,,,,,,
30,1999,2000-01-02,16,24.166,TAM,@,CHI,W 20-6,,,,,,,
31,2000,2000-09-03,1,25.045,TAM,@,NWE,W 21-16,*,,,,,,
32,2000,2000-09-10,2,25.052,TAM,,CHI,W 41-0,,,,,,,
33,2000,2000-09-17,3,25.059,TAM,@,DET,W 31-10,,,,,,,
34,2000,2000-09-24,4,25.066,TAM,,NYJ,L 17-21,*,0,0,0.0,1,10,0
35,2000,2000-10-01,5,25.073,TAM,@,WAS,L 17-20,*,,,,,,
36,2000,2000-10-19,7,25.091,TAM,,DET,L 14-28,*,,,,,,
37,2000,2000-10-29,8,25.101,TAM,,MIN,W 41-13,,,,,,,
38,2000,2000-11-05,9,25.108,TAM,@,ATL,W 27-14,*,0,0,0.0,1,-1,0
39,2000,2000-11-12,10,25.115,TAM,,GNB,W 20-15,,,,,,,
40,2000,2000-11-19,11,25.122,TAM,@,CHI,L 10-13,,,,,,,
41,2000,2000-11-26,12,25.129,TAM,,BUF,W 31-17,*,,,,,,
42,2000,2000-12-03,13,25.136,TAM,,DAL,W 27-7,*,,,,,,
43,2000,2000-12-10,14,25.143,TAM,@,MIA,W 16-13,,1,6,0.0,1,31,1
44,2000,2000-12-18,15,25.151,TAM,,STL,W 38-35,,,,,,,
45,2000,2000-12-24,16,25.157,TAM,@,GNB,L 14-17,,0,0,0.0,1,15,0
46,2001,2001-09-09,1,26.051,TAM,@,DAL,W 10-6,*,,,,,,
47,2001,2001-09-30,2,26.072,TAM,@,MIN,L 16-20,*,,,,,,
48,2001,2001-10-07,3,26.079,TAM,,GNB,W 14-10,*,,,,,,
49,2001,2001-10-14,4,26.086,TAM,@,TEN,L 28-31,*,,,,,,
50,2001,2001-10-21,5,26.093,TAM,,PIT,L 10-17,*,,,,,,
51,2001,2001-10-28,6,26.100,TAM,,MIN,W 41-14,*,,,,,,
52,2001,2001-11-04,7,26.107,TAM,@,GNB,L 20-21,*,0,0,0.0,1,9,0
