ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-11-03,9,22.058,GNB,,CHI,L 10-16,0,0,,0,,,,,,
2,1985,1985-11-10,10,22.065,GNB,@,MIN,W 27-17,0,0,,0,,,,,,
3,1985,1985-11-17,11,22.072,GNB,,NOR,W 38-14,0,0,,0,,,,,,
4,1985,1985-11-24,12,22.079,GNB,@,RAM,L 17-34,0,0,,0,,,,,,
5,1985,1985-12-01,13,22.086,GNB,,TAM,W 21-0,0,0,,0,,,,,,
6,1985,1985-12-08,14,22.093,GNB,,MIA,L 24-34,1,14,14.00,0,0,0,0.0,0,0,0
7,1985,1985-12-15,15,22.100,GNB,@,DET,W 26-23,0,0,,0,,,,,,
8,1985,1985-12-22,16,22.107,GNB,@,TAM,W 20-17,0,0,,0,,,,,,
9,1986,1986-09-07,1,23.001,GNB,,HOU,L 3-31,0,0,,0,,,,,,
10,1986,1986-09-14,2,23.008,GNB,@,NOR,L 10-24,0,0,,0,,,,,,
11,1986,1986-09-22,3,23.016,GNB,,CHI,L 12-25,1,26,26.00,0,0,0,0.0,0,0,0
12,1986,1986-09-28,4,23.022,GNB,@,MIN,L 7-42,2,37,18.50,0,0,0,0.0,0,0,0
13,1986,1986-10-05,5,23.029,GNB,,CIN,L 28-34,1,23,23.00,0,0,0,0.0,0,0,0
14,1986,1986-10-12,6,23.036,GNB,,DET,L 14-21,2,44,22.00,0,0,0,0.0,0,0,0
15,1986,1986-10-19,7,23.043,GNB,@,CLE,W 17-14,0,0,,0,,,,,,
16,1986,1986-10-26,8,23.050,GNB,,SFO,L 17-31,2,36,18.00,0,0,0,0.0,0,0,0
17,1986,1986-11-02,9,23.057,GNB,@,PIT,L 3-27,0,0,,0,,,,,,
18,1986,1986-11-09,10,23.064,GNB,,WAS,L 7-16,0,0,,0,,,,,,
19,1986,1986-11-16,11,23.071,GNB,,TAM,W 31-7,0,0,,0,,,,,,
20,1986,1986-11-23,12,23.078,GNB,@,CHI,L 10-12,0,0,,0,,,,,,
21,1986,1986-11-27,13,23.082,GNB,@,DET,W 44-40,1,5,5.00,0,0,0,0.0,0,0,0
22,1986,1986-12-07,14,23.092,GNB,,MIN,L 6-32,0,0,,0,,,,,,
23,1986,1986-12-14,15,23.099,GNB,@,TAM,W 21-7,0,0,,0,,,,,,
