ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1952,1952-09-29,1,22.266,WAS,@,CRD,W 23-7,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,3,9,3.00,0,0,,,,,
2,1952,1952-10-05,2,22.272,WAS,@,GNB,L 20-35,,5,13,38.46,112,1,1,63.6,0,0,8.62,6.69,1,10,10.00,0,0,,,,,
3,1952,1952-10-12,3,22.279,WAS,,CRD,L 6-17,,9,17,52.94,51,0,0,58.7,0,0,3.00,3.00,2,0,0.00,0,0,,,,,
4,1952,1952-10-19,4,22.286,WAS,@,PIT,W 28-24,,2,5,40.00,52,1,1,78.7,0,0,10.40,5.40,1,2,2.00,0,0,,,,,
5,1952,1952-10-26,5,22.293,WAS,@,CLE,L 15-19,*,7,17,41.18,123,0,0,66.5,0,0,7.24,7.24,6,6,1.00,0,0,,,,,
6,1952,1952-11-02,6,22.300,WAS,,PIT,L 23-24,*,14,23,60.87,253,2,2,91.4,0,0,11.00,8.83,8,45,5.63,1,1,,,,,
7,1952,1952-11-09,7,22.307,WAS,@,PHI,L 20-38,*,3,10,30.00,16,0,2,0.0,0,0,1.60,-7.40,5,12,2.40,0,0,,,,,
8,1952,1952-11-16,8,22.314,WAS,,SFO,L 17-23,*,10,18,55.56,127,1,1,73.1,0,0,7.06,5.67,7,42,6.00,0,0,,,,,
9,1952,1952-11-23,9,22.321,WAS,,NYG,L 10-14,*,13,29,44.83,175,0,4,25.0,0,0,6.03,-0.17,3,10,3.33,0,0,,,,,
10,1952,1952-11-30,10,22.328,WAS,,CLE,L 24-48,*,11,16,68.75,116,3,1,103.1,0,0,7.25,8.19,3,10,3.33,0,0,,,,,
11,1952,1952-12-07,11,22.335,WAS,@,NYG,W 27-17,*,13,20,65.00,260,4,1,127.1,0,0,13.00,14.75,1,10,10.00,0,0,,,,,
12,1952,1952-12-14,12,22.342,WAS,,PHI,W 27-21,,8,24,33.33,135,2,2,46.4,0,0,5.63,3.54,3,8,2.67,1,1,,,,,
13,1953,1953-09-27,1,23.263,WAS,@,CRD,W 24-13,,2,8,25.00,4,0,0,39.6,0,0,0.50,0.50,0,0,,0,0,,,,,
14,1953,1953-10-02,2,23.268,WAS,@,PHI,T 21-21,*,2,5,40.00,25,0,0,56.2,0,0,5.00,5.00,1,6,6.00,0,0,,,,,
15,1953,1953-10-11,3,23.277,WAS,,NYG,W 13-9,,0,5,0.00,0,0,1,0.0,0,0,0.00,-9.00,0,0,,0,0,,,,,
16,1953,1953-10-18,4,23.284,WAS,,CLE,L 14-30,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,2,2,1.00,0,0,,,,,
17,1953,1953-10-25,5,23.291,WAS,@,BAL,L 17-27,,6,12,50.00,80,0,2,31.9,0,0,6.67,-0.83,3,11,3.67,0,0,,,,,
18,1953,1953-11-01,6,23.298,WAS,@,CLE,L 3-27,*,14,35,40.00,233,0,4,23.6,0,0,6.66,1.51,2,26,13.00,0,0,,,,,
19,1953,1953-11-08,7,23.305,WAS,,CRD,W 28-17,*,1,1,100.00,66,0,0,118.7,0,0,66.00,66.00,2,34,17.00,1,1,,,,,
20,1953,1953-11-15,8,23.312,WAS,,CHI,L 24-27,*,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,0,,,,,
21,1953,1953-11-22,9,23.319,WAS,@,NYG,W 24-21,*,9,16,56.25,158,0,1,64.1,0,0,9.88,7.06,2,-1,-0.50,1,1,,,,,
22,1953,1953-11-29,10,23.326,WAS,@,PIT,W 17-9,*,8,16,50.00,78,2,0,103.6,0,0,4.88,7.38,2,4,2.00,0,0,,,,,
23,1953,1953-12-06,11,23.333,WAS,,PHI,W 10-0,*,11,27,40.74,109,0,4,13.3,0,0,4.04,-2.63,2,-4,-2.00,0,0,,,,,
24,1953,1953-12-13,12,23.340,WAS,,PIT,L 13-14,*,9,20,45.00,121,1,4,41.9,0,0,6.05,-1.95,0,0,,0,0,,,,,
25,1955,1955-09-25,1,25.261,WAS,@,CLE,W 27-17,*,8,16,50.00,176,2,1,103.1,0,0,11.00,10.69,3,21,7.00,1,1,,,,,
