ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1993,1993-09-05,1,22.083,NYJ,,DEN,L 20-26,,,0,0,,0,0.0%,,,,,,,
2,1993,1993-09-12,2,22.090,NYJ,@,MIA,W 24-14,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,1,6
3,1993,1993-09-26,3,22.104,NYJ,,NWE,W 45-7,,,0,0,,0,0.0%,,,,,,,
4,1993,1993-11-21,10,22.160,NYJ,,CIN,W 17-12,,1,0,0,,0,0.0%,0.00,,,,,,
5,1993,1993-11-28,11,22.167,NYJ,@,NWE,W 6-0,,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0
6,1993,1993-12-05,12,22.174,NYJ,,IND,L 6-9,,,0,0,,0,0.0%,,,,,,,
7,1993,1993-12-11,13,22.180,NYJ,@,WAS,W 3-0,,,0,0,,0,0.0%,,,,,,,
8,1994,1994-09-04,1,23.082,NYJ,@,BUF,W 23-3,,,0,0,,0,0.0%,,0,0,,0,,
9,1994,1994-09-11,2,23.089,NYJ,,DEN,W 25-22,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6
10,1994,1994-09-18,3,23.096,NYJ,@,MIA,L 14-28,,,0,0,,0,0.0%,,0,0,,0,,
11,1994,1994-09-25,4,23.103,NYJ,,CHI,L 7-19,,0,0,0,,0,0.0%,,0,0,,0,,
12,1994,1994-10-02,5,23.110,NYJ,@,CLE,L 7-27,,,0,0,,0,0.0%,,0,0,,0,,
13,1994,1994-11-20,11,23.159,NYJ,@,MIN,W 31-21,,,0,0,,0,0.0%,,0,0,,0,,
14,1994,1994-11-27,12,23.166,NYJ,,MIA,L 24-28,,,0,0,,0,0.0%,,0,0,,0,,
15,1994,1994-12-04,13,23.173,NYJ,@,NWE,L 13-24,,,0,0,,0,0.0%,,0,0,,0,,
16,1994,1994-12-10,14,23.179,NYJ,,DET,L 7-18,,0,0,0,,0,0.0%,,1,20,20.00,0,0,0
17,1994,1994-12-18,15,23.187,NYJ,,SDG,L 6-21,,,0,0,,0,0.0%,,0,0,,0,,
18,1994,1994-12-24,16,23.193,NYJ,@,HOU,L 10-24,,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0
19,1995,1995-09-03,1,24.081,NYJ,@,MIA,L 14-52,,1,0,0,,0,0.0%,0.00,1,9,9.00,0,0,0
20,1995,1995-09-10,2,24.088,NYJ,,IND,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0
21,1995,1995-09-17,3,24.095,NYJ,,JAX,W 27-10,,10,6,99,16.50,0,60.0%,9.90,0,0,,0,0,0
22,1995,1995-09-24,4,24.102,NYJ,@,ATL,L 3-13,,9,5,57,11.40,0,55.6%,6.33,0,0,,0,0,0
23,1995,1995-10-01,5,24.109,NYJ,,OAK,L 10-47,,1,0,0,,0,0.0%,0.00,0,0,,0,,
24,1995,1995-10-08,6,24.116,NYJ,@,BUF,L 10-29,,2,2,8,4.00,0,100.0%,4.00,1,4,4.00,0,0,0
25,1995,1995-10-15,7,24.123,NYJ,@,CAR,L 15-26,,1,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0
26,1995,1995-10-22,8,24.130,NYJ,,MIA,W 17-16,,,0,0,,0,0.0%,,1,0,0.00,0,0,0
27,1995,1995-10-29,9,24.137,NYJ,@,IND,L 10-17,,,0,0,,0,0.0%,,0,0,,0,,
28,1995,1995-11-05,10,24.144,NYJ,,NWE,L 7-20,,,0,0,,0,0.0%,,0,0,,0,,
29,1995,1995-11-19,11,24.158,NYJ,,BUF,L 26-28,,3,1,6,6.00,1,33.3%,2.00,1,11,11.00,0,1,6
