ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,24.036,SFO,,SEA,W 33-17,,0,,,,,0.0%,,,,,,,,,,,,,,
2,2011,2011-09-18,2,24.043,SFO,,DAL,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2011,2011-09-25,3,24.050,SFO,@,CIN,W 13-8,*,5,4,25,6.25,0,80.0%,5.00,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
4,2011,2011-10-02,4,24.057,SFO,@,PHI,W 24-23,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2011,2011-10-09,5,24.064,SFO,,TAM,W 48-3,,2,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,0,0,0.0,0,0
6,2011,2011-10-16,6,24.071,SFO,@,DET,W 25-19,*,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
7,2011,2011-10-30,7,24.085,SFO,,CLE,W 20-10,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2011,2011-11-06,8,24.092,SFO,@,WAS,W 19-11,,1,1,30,30.00,1,100.0%,30.00,0,0,,0,0,0,,0,1,6,0.0,0,1
9,2011,2011-11-13,9,24.099,SFO,,NYG,W 27-20,,,,,,,0.0%,,,,,,,,,,,,,,
10,2011,2011-11-20,10,24.106,SFO,,ARI,W 23-7,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,2011-12-04,12,24.120,SFO,,STL,W 26-0,*,,,,,,0.0%,,,,,,,,,,,,,,
12,2011,2011-12-11,13,24.127,SFO,@,ARI,L 19-21,*,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,2011-12-19,14,24.135,SFO,,PIT,W 20-3,*,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
14,2011,2011-12-24,15,24.140,SFO,@,SEA,W 19-17,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,1
15,2011,2012-01-01,16,24.148,SFO,@,STL,W 34-27,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2012,2012-09-09,1,25.034,SFO,@,GNB,W 30-22,*,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,2012-09-16,2,25.041,SFO,,DET,W 27-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2012,2012-09-23,3,25.048,SFO,@,MIN,L 13-24,*,,,,,,0.0%,,,,,,,,,,,,,,
19,2012,2012-09-30,4,25.055,SFO,@,NYJ,W 34-0,,1,1,9,9.00,0,100.0%,9.00,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
20,2012,2012-10-07,5,25.062,SFO,,BUF,W 45-3,*,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
21,2012,2012-10-14,6,25.069,SFO,,NYG,L 3-26,,,,,,,0.0%,,,,,,,,,,,,,,
22,2012,2012-10-18,7,25.073,SFO,,SEA,W 13-6,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2012,2012-10-29,8,25.084,SFO,@,ARI,W 24-3,*,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
24,2012,2012-11-11,9,25.097,SFO,,STL,T 24-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2012,2012-11-19,10,25.105,SFO,,CHI,W 32-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2012,2012-11-25,11,25.111,SFO,@,NOR,W 31-21,*,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,0,0,0.0,0,0
27,2012,2012-12-02,12,25.118,SFO,@,STL,L 13-16,*,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2012,2012-12-09,13,25.125,SFO,,MIA,W 27-13,*,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2012,2012-12-16,14,25.132,SFO,@,NWE,W 41-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2012,2012-12-23,15,25.139,SFO,@,SEA,L 13-42,*,2,2,-1,-0.50,0,100.0%,-0.50,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2012,2012-12-30,16,25.146,SFO,,ARI,W 27-13,*,1,1,6,6.00,0,100.0%,6.00,2,3,1.50,0,0,0,,0,0,0,0.0,0,0
32,2013,2013-09-08,1,26.033,SFO,,GNB,W 34-28,*,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2013,2013-09-15,2,26.040,SFO,@,SEA,L 3-29,*,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2013,2013-09-22,3,26.047,SFO,,IND,L 7-27,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,1,0
35,2013,2013-09-26,4,26.051,SFO,@,STL,W 35-11,*,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2013,2013-10-06,5,26.061,SFO,,HOU,W 34-3,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,1
37,2013,2013-10-13,6,26.068,SFO,,ARI,W 32-20,*,2,1,11,11.00,0,50.0%,5.50,2,6,3.00,0,0,0,,0,0,0,0.0,1,0
38,2013,2013-10-20,7,26.075,SFO,@,TEN,W 31-17,*,1,1,9,9.00,0,100.0%,9.00,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
39,2013,2013-10-27,8,26.082,SFO,@,JAX,W 42-10,*,3,2,56,28.00,0,66.7%,18.67,1,0,0.00,0,0,0,,0,0,0,0.0,1,0
40,2013,2013-11-10,9,26.096,SFO,,CAR,L 9-10,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2013,2013-11-17,10,26.103,SFO,@,NOR,L 20-23,*,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2013,2013-11-25,11,26.111,SFO,@,WAS,W 27-6,*,,,,,,0.0%,,,,,,,,,,,,,,
43,2013,2013-12-01,12,26.117,SFO,,STL,W 23-13,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,1,0
44,2013,2013-12-08,13,26.124,SFO,,SEA,W 19-17,,5,3,21,7.00,0,60.0%,4.20,3,6,2.00,0,0,0,,0,0,0,0.0,1,0
45,2013,2013-12-15,14,26.131,SFO,@,TAM,W 33-14,*,5,4,26,6.50,0,80.0%,5.20,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2014,2014-09-07,1,27.032,SFO,@,DAL,W 28-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2014,2014-09-14,2,27.039,SFO,,CHI,L 20-28,,0,0,0,,0,0.0%,,1,0,0.00,0,1,19,19.00,0,0,0,0.0,0,0
48,2014,2014-09-21,3,27.046,SFO,@,ARI,L 14-23,,,,,,,0.0%,,,,,,,,,,,,,,
49,2014,2014-09-28,4,27.053,SFO,,PHI,W 26-21,,0,,,,,0.0%,,,,,,,,,,,,,,
50,2014,2014-10-05,5,27.060,SFO,,KAN,W 22-17,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0
51,2014,2014-10-13,6,27.068,SFO,@,STL,W 31-17,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2014,2014-10-19,7,27.074,SFO,@,DEN,L 17-42,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
53,2014,2014-11-02,8,27.088,SFO,,STL,L 10-13,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2014,2014-11-09,9,27.095,SFO,@,NOR,W 27-24,*,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,0.0,1,0
55,2014,2014-11-16,10,27.102,SFO,@,NYG,W 16-10,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2014,2014-11-23,11,27.109,SFO,,WAS,W 17-13,*,3,3,40,13.33,0,100.0%,13.33,0,0,,0,0,0,,0,0,0,0.0,0,0
57,2014,2014-11-27,12,27.113,SFO,,SEA,L 3-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
58,2014,2014-12-07,13,27.123,SFO,@,OAK,L 13-24,*,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,1,6,0.0,0,0
59,2014,2014-12-14,14,27.130,SFO,@,SEA,L 7-17,*,6,4,56,14.00,0,66.7%,9.33,2,4,2.00,0,0,0,,0,0,0,0.0,0,0
60,2014,2014-12-20,15,27.136,SFO,,SDG,L 35-38,*,2,2,22,11.00,0,100.0%,11.00,1,0,0.00,0,0,0,,0,0,0,0.0,0,0
61,2014,2014-12-28,16,27.144,SFO,,ARI,W 20-17,,5,3,17,5.67,1,60.0%,3.40,0,0,,0,0,0,,0,1,6,0.0,0,0
62,2015,2015-09-14,1,28.039,SFO,,MIN,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
63,2015,2015-09-20,2,28.045,SFO,@,PIT,L 18-43,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0
64,2015,2015-09-27,3,28.052,SFO,@,ARI,L 7-47,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
65,2015,2015-10-04,4,28.059,SFO,,GNB,L 3-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
66,2015,2015-10-11,5,28.066,SFO,@,NYG,L 27-30,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,1,3,3.00,0,0,0,0.0,0,0
67,2015,2015-10-18,6,28.073,SFO,,BAL,W 25-20,*,3,3,89,29.67,0,100.0%,29.67,0,0,,0,0,0,,0,0,0,0.0,0,0
68,2015,2015-10-22,7,28.077,SFO,,SEA,L 3-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
69,2015,2015-11-01,8,28.087,SFO,@,STL,L 6-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
70,2015,2015-11-08,9,28.094,SFO,,ATL,W 17-16,,0,0,0,,0,0.0%,,2,4,2.00,0,0,0,,0,0,0,0.0,0,0
71,2015,2015-11-22,10,28.108,SFO,@,SEA,L 13-29,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
72,2015,2015-11-29,11,28.115,SFO,,ARI,L 13-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
73,2015,2015-12-06,12,28.122,SFO,@,CHI,W 26-20,,1,1,4,4.00,0,100.0%,4.00,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
74,2015,2015-12-13,13,28.129,SFO,@,CLE,L 10-24,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
75,2015,2015-12-20,14,28.136,SFO,,CIN,L 14-24,*,1,1,10,10.00,0,100.0%,10.00,2,3,1.50,1,0,0,,0,1,6,0.0,0,0
76,2015,2015-12-27,15,28.143,SFO,@,DET,L 17-32,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
77,2015,2016-01-03,16,28.150,SFO,,STL,W 19-16,,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,0,0,0.0,0,0
