ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-14,2,22.070,OAK,,CIN,W 23-20,,,,,,,,,,,,,
2,2003,2003-09-22,3,22.078,OAK,@,DEN,L 10-31,,,,,,,,,,,,,
3,2003,2003-09-28,4,22.084,OAK,,SDG,W 34-31,,,,,,,,,,,,,
4,2003,2003-10-05,5,22.091,OAK,@,CHI,L 21-24,,,,,,,,,,,,,
5,2003,2003-10-12,6,22.098,OAK,@,CLE,L 7-13,,,,,,,,,,,,,
6,2003,2003-10-20,7,22.106,OAK,,KAN,L 10-17,,,,,,,,,,,,,
7,2003,2003-11-02,8,22.119,OAK,@,DET,L 13-23,,,,,,,,,,,,,
8,2003,2003-11-09,9,22.126,OAK,,NYJ,L 24-27,,,,,,,,,,,,,
9,2003,2003-11-16,10,22.133,OAK,,MIN,W 28-18,,,,,,,,,,,,,
10,2003,2003-11-23,11,22.140,OAK,@,KAN,L 24-27,,,,,,,,,,,,,
11,2003,2003-11-30,12,22.147,OAK,,DEN,L 8-22,*,,,,,,,,,,,,
12,2003,2003-12-07,13,22.154,OAK,@,PIT,L 7-27,,,,,,,,,,,,,
13,2003,2003-12-14,14,22.161,OAK,,BAL,W 20-12,,,,,,,,,,,,,
14,2003,2003-12-22,15,22.169,OAK,,GNB,L 7-41,,,,,,,,,,,,,
15,2003,2003-12-28,16,22.175,OAK,@,SDG,L 14-21,,,,,,,,,,,,,
16,2004,2004-09-12,1,23.068,OAK,@,PIT,L 21-24,,,,,,,,,,,,,
17,2004,2004-09-19,2,23.075,OAK,,BUF,W 13-10,,0,0,,0,0,0,0.5,,,0,0,0
18,2004,2004-09-26,3,23.082,OAK,,TAM,W 30-20,,,,,,,,,,,,,
19,2004,2004-10-03,4,23.089,OAK,@,HOU,L 17-30,*,,,,,,,,,,,,
20,2004,2004-10-10,5,23.096,OAK,@,IND,L 14-35,,,,,,,,,,,,,
21,2004,2004-10-17,6,23.103,OAK,,DEN,L 3-31,,,,,,,,,,,,,
22,2004,2004-10-24,7,23.110,OAK,,NOR,L 26-31,,,,,,,,,,,,,
23,2004,2004-10-31,8,23.117,OAK,@,SDG,L 14-42,*,,,,,,,,,,,,
24,2004,2004-11-07,9,23.124,OAK,@,CAR,W 27-24,*,,,,,,,,,,,,
25,2004,2004-11-21,10,23.138,OAK,,SDG,L 17-23,,,,,,,,,,,,,
26,2004,2004-11-28,11,23.145,OAK,@,DEN,W 25-24,*,,,,,,,,,,,,
27,2004,2004-12-05,12,23.152,OAK,,KAN,L 27-34,,,,,,,,,,,,,
28,2004,2004-12-12,13,23.159,OAK,@,ATL,L 10-35,,,,,,,,,,,,,
29,2004,2004-12-19,14,23.166,OAK,,TEN,W 40-35,*,,,,,,,,,,,,
30,2004,2004-12-25,15,23.172,OAK,@,KAN,L 30-31,*,0,0,,0,0,0,0.5,,,0,0,0
31,2004,2005-01-02,16,23.180,OAK,,JAX,L 6-13,*,,,,,,,,,,,,
32,2005,2005-09-08,1,24.064,OAK,@,NWE,L 20-30,*,,,,,,,,,,,,
33,2005,2005-09-18,2,24.074,OAK,,KAN,L 17-23,*,,,,,,,,,,,,
34,2005,2005-09-25,3,24.081,OAK,@,PHI,L 20-23,*,,,,,,,,,,,,
35,2005,2005-10-02,4,24.088,OAK,,DAL,W 19-13,*,,,,,,,,,,,,
36,2005,2005-10-16,5,24.102,OAK,,SDG,L 14-27,*,,,,,,,,,,,,
37,2005,2005-10-23,6,24.109,OAK,,BUF,W 38-17,*,,,,,,,,,,,,
38,2005,2005-10-30,7,24.116,OAK,@,TEN,W 34-25,*,,,,,,,,,,,,
39,2005,2005-11-06,8,24.123,OAK,@,KAN,L 23-27,*,,,,,,,,,,,,
40,2005,2005-11-13,9,24.130,OAK,,DEN,L 17-31,*,,,,,,,,,,,,
41,2005,2005-11-20,10,24.137,OAK,@,WAS,W 16-13,*,,,,,,,,,,,,
42,2005,2005-11-27,11,24.144,OAK,,MIA,L 21-33,*,,,,,,,,,,,,
43,2005,2005-12-04,12,24.151,OAK,@,SDG,L 10-34,*,,,,,,,,,,,,
44,2005,2005-12-11,13,24.158,OAK,@,NYJ,L 10-26,*,,,,,,,,,,,,
45,2005,2005-12-18,14,24.165,OAK,,CLE,L 7-9,*,,,,,,,,,,,,
46,2005,2005-12-24,15,24.171,OAK,@,DEN,L 3-22,*,,,,,,,,,,,,
47,2005,2005-12-31,16,24.178,OAK,,NYG,L 21-30,*,,,,,,,,,,,,
48,2006,2006-09-11,1,25.067,OAK,,SDG,L 0-27,*,,,,,,,,,,,,
49,2006,2006-10-01,3,25.087,OAK,,CLE,L 21-24,*,0,0,,0,0,0,0.0,,,2,0,0
50,2006,2006-10-08,4,25.094,OAK,@,SFO,L 20-34,*,,,,,,,,,,,,
51,2006,2006-10-15,5,25.101,OAK,@,DEN,L 3-13,*,,,,,,,,,,,,
52,2006,2006-10-22,6,25.108,OAK,,ARI,W 22-9,*,,,,,,,,,,,,
53,2006,2006-10-29,7,25.115,OAK,,PIT,W 20-13,*,0,0,,0,1,6,0.0,,,1,24,1
54,2006,2006-11-06,8,25.123,OAK,@,SEA,L 0-16,*,,,,,,,,,,,,
55,2006,2006-11-12,9,25.129,OAK,,DEN,L 13-17,*,0,0,,0,0,0,0.0,,,1,9,0
56,2006,2006-11-19,10,25.136,OAK,@,KAN,L 13-17,*,0,0,,0,0,0,1.0,,,0,0,0
57,2006,2006-11-26,11,25.143,OAK,@,SDG,L 14-21,*,0,0,,0,0,0,0.0,,,1,10,0
58,2006,2006-12-03,12,25.150,OAK,,HOU,L 14-23,*,,,,,,,,,,,,
59,2006,2006-12-10,13,25.157,OAK,@,CIN,L 10-27,*,0,0,,0,0,0,0.0,,,2,16,0
60,2006,2006-12-17,14,25.164,OAK,,STL,L 0-20,*,,,,,,,,,,,,
61,2006,2006-12-23,15,25.170,OAK,,KAN,L 9-20,*,0,0,,0,0,0,0.0,,,1,0,0
62,2006,2006-12-31,16,25.178,OAK,@,NYJ,L 3-23,*,,,,,,,,,,,,
63,2007,2007-09-09,1,26.065,OAK,,DET,L 21-36,*,,,,,,,,,,,,
64,2007,2007-09-16,2,26.072,OAK,@,DEN,L 20-23,*,,,,,,,,,,,,
65,2007,2007-09-23,3,26.079,OAK,,CLE,W 26-24,*,,,,,,,,,,,,
66,2007,2007-09-30,4,26.086,OAK,@,MIA,W 35-17,*,,,,,,,,,,,,
67,2007,2007-10-14,5,26.100,OAK,@,SDG,L 14-28,*,,,,,,,,,,,,
68,2007,2007-10-21,6,26.107,OAK,,KAN,L 10-12,*,1,0,0.00,0,0,0,0.0,,,0,0,0
69,2007,2007-10-28,7,26.114,OAK,@,TEN,L 9-13,*,,,,,,,,,,,,
70,2007,2007-11-04,8,26.121,OAK,,HOU,L 17-24,*,,,,,,,,,,,,
71,2007,2007-11-18,10,26.135,OAK,@,MIN,L 22-29,*,0,0,,0,0,0,0.0,,,1,10,0
72,2007,2007-11-25,11,26.142,OAK,@,KAN,W 20-17,*,,,,,,,,,,,,
73,2007,2007-12-02,12,26.149,OAK,,DEN,W 34-20,*,,,,,,,,,,,,
74,2007,2007-12-09,13,26.156,OAK,@,GNB,L 7-38,*,,,,,,,,,,,,
75,2007,2007-12-16,14,26.163,OAK,,IND,L 14-21,*,,,,,,,,,,,,
76,2007,2007-12-23,15,26.170,OAK,@,JAX,L 11-49,*,,,,,,,,,,,,
77,2007,2007-12-30,16,26.177,OAK,,SDG,L 17-30,*,,,,,,,,,,,,
78,2008,2008-09-08,1,27.064,OAK,,DEN,L 14-41,*,0,0,,0,0,0,0.0,4,0,0,0,0
79,2008,2008-09-14,2,27.070,OAK,@,KAN,W 23-8,*,0,0,,0,0,0,0.0,1,0,0,0,0
80,2008,2008-09-21,3,27.077,OAK,@,BUF,L 23-24,*,0,0,,0,0,0,0.0,4,1,0,0,0
81,2008,2008-09-28,4,27.084,OAK,,SDG,L 18-28,*,,,,,,,,,,,,
82,2008,2008-10-12,5,27.098,OAK,@,NOR,L 3-34,*,0,0,,0,0,0,0.0,1,0,0,0,0
83,2008,2008-10-19,6,27.105,OAK,,NYJ,W 16-13,*,0,0,,0,0,0,0.0,2,0,0,0,0
84,2008,2008-10-26,7,27.112,OAK,@,BAL,L 10-29,*,0,0,,0,0,0,0.0,1,0,0,0,0
85,2008,2008-11-02,8,27.119,OAK,,ATL,L 0-24,*,0,0,,0,0,0,0.0,4,3,0,0,0
86,2008,2008-11-09,9,27.126,OAK,,CAR,L 6-17,*,0,0,,0,0,0,0.0,1,0,1,0,0
87,2008,2008-11-16,10,27.133,OAK,@,MIA,L 15-17,*,0,0,,0,0,0,0.0,2,0,0,0,0
88,2008,2008-11-23,11,27.140,OAK,@,DEN,W 31-10,*,0,0,,0,0,0,0.0,0,0,0,0,0
89,2008,2008-11-30,12,27.147,OAK,,KAN,L 13-20,*,0,0,,0,0,0,0.0,5,1,0,0,0
90,2008,2008-12-04,13,27.151,OAK,@,SDG,L 7-34,*,0,0,,0,0,0,0.0,2,1,0,0,0
91,2008,2008-12-14,14,27.161,OAK,,NWE,L 26-49,*,0,0,,0,0,0,0.0,4,0,0,0,0
92,2008,2008-12-21,15,27.168,OAK,,HOU,W 27-16,*,0,0,,0,0,0,0.0,2,1,0,0,0
93,2009,2009-09-14,1,28.070,OAK,,SDG,L 20-24,*,0,0,,0,0,0,0.0,2,0,0,0,0
94,2009,2009-09-20,2,28.076,OAK,@,KAN,W 13-10,*,0,0,,0,0,0,0.0,3,0,0,0,0
95,2009,2009-09-27,3,28.083,OAK,,DEN,L 3-23,*,0,0,,0,0,0,0.0,2,0,0,0,0
96,2009,2009-10-04,4,28.090,OAK,@,HOU,L 6-29,*,0,0,,0,0,0,0.0,0,2,0,0,0
97,2009,2009-10-11,5,28.097,OAK,@,NYG,L 7-44,*,0,0,,0,0,0,0.0,0,1,0,0,0
98,2009,2009-10-18,6,28.104,OAK,,PHI,W 13-9,*,0,0,,0,0,0,0.0,1,0,0,0,0
99,2009,2009-10-25,7,28.111,OAK,,NYJ,L 0-38,*,0,0,,0,0,0,0.0,3,1,0,0,0
100,2009,2009-11-01,8,28.118,OAK,@,SDG,L 16-24,*,0,0,,0,0,0,0.0,3,0,0,0,0
101,2009,2009-11-15,9,28.132,OAK,,KAN,L 10-16,*,0,0,,0,0,0,0.0,3,0,0,0,0
102,2009,2009-11-22,10,28.139,OAK,,CIN,W 20-17,*,0,0,,0,0,0,0.0,2,1,1,0,0
103,2009,2009-11-26,11,28.143,OAK,@,DAL,L 7-24,*,0,0,,0,0,0,0.0,4,0,0,0,0
104,2009,2009-12-06,12,28.153,OAK,@,PIT,W 27-24,*,0,0,,0,0,0,0.0,2,0,0,0,0
105,2009,2009-12-13,13,28.160,OAK,,WAS,L 13-34,*,0,0,,0,0,0,0.0,2,0,0,0,0
106,2009,2009-12-20,14,28.167,OAK,@,DEN,W 20-19,*,0,0,,0,0,0,0.0,2,0,0,0,0
107,2009,2009-12-27,15,28.174,OAK,@,CLE,L 9-23,*,,,,,,,,,,,,
108,2009,2010-01-03,16,28.181,OAK,,BAL,L 13-21,*,,,,,,,,,,,,
109,2010,2010-09-12,1,29.068,OAK,@,TEN,L 13-38,*,0,0,,0,0,0,0.0,1,0,0,0,0
110,2010,2010-09-19,2,29.075,OAK,,STL,W 16-14,*,0,0,,0,0,0,0.0,1,0,0,0,0
111,2010,2010-09-26,3,29.082,OAK,@,ARI,L 23-24,*,0,0,,0,0,0,0.0,1,0,0,0,0
112,2010,2010-10-03,4,29.089,OAK,,HOU,L 24-31,*,0,0,,0,0,0,0.0,2,1,0,0,0
113,2010,2010-10-10,5,29.096,OAK,,SDG,W 35-27,*,0,0,,0,0,0,0.0,3,1,0,0,0
114,2010,2010-10-17,6,29.103,OAK,@,SFO,L 9-17,*,0,0,,0,0,0,0.0,1,0,0,0,0
115,2010,2010-10-24,7,29.110,OAK,@,DEN,W 59-14,*,,,,,,,,,,,,
116,2010,2010-10-31,8,29.117,OAK,,SEA,W 33-3,*,0,0,,0,0,0,0.0,0,0,0,0,0
117,2010,2010-11-28,11,29.145,OAK,,MIA,L 17-33,*,0,0,,0,0,0,0.0,4,0,0,0,0
118,2010,2010-12-05,12,29.152,OAK,@,SDG,W 28-13,*,0,0,,0,0,0,0.0,1,0,0,0,0
119,2010,2010-12-12,13,29.159,OAK,@,JAX,L 31-38,*,,,,,,,,,,,,
120,2010,2010-12-19,14,29.166,OAK,,DEN,W 39-23,*,0,0,,0,0,0,0.0,1,0,0,0,0
121,2010,2010-12-26,15,29.173,OAK,,IND,L 26-31,*,0,0,,0,0,0,0.0,2,0,0,0,0
122,2010,2011-01-02,16,29.180,OAK,@,KAN,W 31-10,*,,,,,,,,,,,,
123,2011,2011-09-11,1,30.067,PHI,@,STL,W 31-13,*,0,0,,0,0,0,0.0,1,0,0,0,0
124,2011,2011-09-18,2,30.074,PHI,@,ATL,L 31-35,*,0,0,,0,0,0,0.0,3,0,1,6,0
125,2011,2011-09-25,3,30.081,PHI,,NYG,L 16-29,*,,,,,,,,,,,,
126,2011,2011-10-02,4,30.088,PHI,,SFO,L 23-24,*,0,0,,0,0,0,0.0,3,1,0,0,0
127,2011,2011-10-09,5,30.095,PHI,@,BUF,L 24-31,*,0,0,,0,0,0,0.0,4,1,0,0,0
128,2011,2011-10-16,6,30.102,PHI,@,WAS,W 20-13,*,0,0,,0,0,0,0.0,3,0,0,0,0
129,2011,2011-10-30,7,30.116,PHI,,DAL,W 34-7,*,0,0,,0,0,0,0.0,2,1,1,0,0
130,2011,2011-11-07,8,30.124,PHI,,CHI,L 24-30,*,0,0,,0,0,0,0.0,1,0,0,0,0
131,2011,2011-11-13,9,30.130,PHI,,ARI,L 17-21,*,0,0,,0,0,0,0.0,1,0,1,4,0
132,2011,2011-11-20,10,30.137,PHI,@,NYG,W 17-10,*,0,0,,0,0,0,0.0,2,0,0,0,0
133,2011,2011-11-27,11,30.144,PHI,,NWE,L 20-38,,0,0,,0,0,0,0.0,1,0,0,0,0
134,2011,2011-12-01,12,30.148,PHI,@,SEA,L 14-31,*,0,0,,0,0,0,0.0,1,0,0,0,0
135,2011,2011-12-11,13,30.158,PHI,@,MIA,W 26-10,*,0,0,,0,0,0,0.0,1,1,0,0,0
136,2011,2011-12-18,14,30.165,PHI,,NYJ,W 45-19,*,0,0,,0,0,0,0.0,1,0,0,0,0
137,2011,2011-12-24,15,30.171,PHI,@,DAL,W 20-7,*,0,0,,0,0,0,0.0,8,0,0,0,0
138,2011,2012-01-01,16,30.179,PHI,,WAS,W 34-10,*,0,0,,0,0,0,0.0,3,0,0,0,0
139,2012,2012-09-09,1,31.065,PHI,@,CLE,W 17-16,*,0,0,,0,0,0,0.0,1,0,0,0,0
