ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2008,2008-11-10,9,24.030,SFO,@,ARI,L 24-29,,1,1,22,22.00,0,100.0%,22.00,0,0,,0
2,2008,2008-11-16,10,24.036,SFO,,STL,W 35-16,,0,0,0,,0,0.0%,,0,0,,0
3,2008,2008-11-23,11,24.043,SFO,@,DAL,L 22-35,,2,2,31,15.50,0,100.0%,15.50,0,0,,0
4,2008,2008-11-30,12,24.050,SFO,@,BUF,W 10-3,,2,,,,,0.0%,,,,,
5,2008,2008-12-07,13,24.057,SFO,,NYJ,W 24-14,,3,2,44,22.00,0,66.7%,14.67,0,0,,0
6,2008,2008-12-14,14,24.064,SFO,@,MIA,L 9-14,,0,0,0,,0,0.0%,,2,0,0.00,0
7,2008,2008-12-21,15,24.071,SFO,@,STL,W 17-16,,0,0,0,,0,0.0%,,0,0,,0
8,2008,2008-12-28,16,24.078,SFO,,WAS,W 27-24,,,,,,,0.0%,,,,,
9,2010,2010-09-12,1,25.336,SFO,@,SEA,L 6-31,,2,1,10,10.00,0,50.0%,5.00,0,0,,0
10,2010,2010-09-20,2,25.344,SFO,,NOR,L 22-25,,1,1,2,2.00,0,100.0%,2.00,0,0,,0
11,2010,2010-09-26,3,25.350,SFO,@,KAN,L 10-31,,5,3,38,12.67,0,60.0%,7.60,0,0,,0
12,2010,2010-10-03,4,25.357,SFO,@,ATL,L 14-16,,,0,0,,0,0.0%,,0,0,,0
13,2010,2010-10-10,5,25.364,SFO,,PHI,L 24-27,,2,2,32,16.00,0,100.0%,16.00,0,0,,0
14,2010,2010-10-17,6,26.006,SFO,,OAK,W 17-9,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
15,2010,2010-10-24,7,26.013,SFO,@,CAR,L 20-23,,,,,,,0.0%,,,,,
16,2010,2010-10-31,8,26.020,SFO,,DEN,W 24-16,,,,,,,0.0%,,,,,
17,2010,2010-11-14,9,26.034,SFO,,STL,W 23-20,,1,0,0,,0,0.0%,0.00,0,0,,0
18,2010,2010-11-21,10,26.041,SFO,,TAM,L 0-21,,2,,,,,0.0%,,,,,
19,2010,2010-11-29,11,26.049,SFO,@,ARI,W 27-6,,1,1,10,10.00,0,100.0%,10.00,0,0,,0
