ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2005,2005-09-11,1,26.001,WAS,,CHI,W 9-7,,3,113,37.67,0
2,2005,2005-09-19,2,26.009,WAS,@,DAL,W 14-13,,8,316,39.50,0
