ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-23,2,23.081,DAL,,PIT,L 28-30,5,90,18.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
2,1962,1962-09-30,3,23.088,DAL,@,RAM,W 27-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
3,1962,1962-10-07,4,23.095,DAL,@,CLE,L 10-19,2,12,6.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
4,1962,1962-10-21,6,23.109,DAL,@,PIT,W 42-27,5,123,24.60,1,0,0,,0,0,0,,0,1,6,0,0,,0
5,1962,1962-10-28,7,23.116,DAL,,STL,L 24-28,4,47,11.75,1,0,0,,0,0,0,,0,1,6,0,0,,0
6,1962,1962-11-04,8,23.123,DAL,@,WAS,W 38-10,3,36,12.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
7,1962,1962-11-11,9,23.130,DAL,,NYG,L 10-41,2,24,12.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
8,1962,1962-11-18,10,23.137,DAL,,CHI,L 33-34,3,32,10.67,1,0,0,,0,0,0,,0,1,6,0,0,,0
9,1962,1962-11-25,11,23.144,DAL,@,PHI,L 14-28,3,46,15.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
10,1962,1962-12-02,12,23.151,DAL,,CLE,W 45-21,4,36,9.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
11,1962,1962-12-09,13,23.158,DAL,@,STL,L 20-52,6,87,14.50,1,0,0,,0,0,0,,0,1,6,0,0,,0
12,1962,1962-12-16,14,23.165,DAL,@,NYG,L 31-41,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
13,1963,1963-09-14,1,24.072,DAL,,STL,L 7-34,2,12,6.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
14,1963,1963-09-22,2,24.080,DAL,,CLE,L 24-41,2,32,16.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
15,1963,1963-10-13,5,24.101,DAL,,DET,W 17-14,1,19,19.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
16,1963,1963-10-20,6,24.108,DAL,@,NYG,L 21-37,5,84,16.80,1,0,0,,0,0,0,,0,1,6,0,0,,0
17,1963,1963-10-27,7,24.115,DAL,@,PIT,L 21-27,3,41,13.67,1,0,0,,0,0,0,,0,1,6,0,0,,0
18,1963,1963-11-03,8,24.122,DAL,,WAS,W 35-20,2,2,1.00,2,0,0,,0,0,0,,0,2,12,0,0,,0
19,1963,1963-11-10,9,24.129,DAL,@,SFO,L 24-31,7,112,16.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
20,1963,1963-11-17,10,24.136,DAL,,PHI,W 27-20,6,96,16.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
21,1963,1963-12-01,12,24.150,DAL,,NYG,L 27-34,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
22,1963,1963-12-08,13,24.157,DAL,,PIT,L 19-24,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
23,1963,1963-12-15,14,24.164,DAL,@,STL,W 28-24,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
24,1964,1964-09-27,3,25.085,DAL,@,PIT,L 17-23,2,14,7.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
25,1964,1964-10-04,4,25.092,DAL,@,CLE,L 6-27,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
26,1964,1964-10-18,6,25.106,DAL,,CLE,L 16-20,2,19,9.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
27,1964,1964-11-08,9,25.127,DAL,@,NYG,W 31-21,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
28,1964,1964-12-06,13,25.155,DAL,@,PHI,L 14-24,0,0,,0,0,0,,0,0,0,,0,0,0,9,269,29.89,0
29,1964,1964-12-13,14,25.162,DAL,,PIT,W 17-14,0,0,,0,1,9,9.00,0,0,0,,0,0,0,6,228,38.00,0
30,1965,1965-09-19,1,26.077,PIT,,GNB,L 9-41,1,15,15.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
31,1965,1965-11-28,11,26.147,PIT,,CLE,L 21-42,2,25,12.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
32,1965,1965-12-05,12,26.154,PIT,@,NYG,L 10-35,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
33,1965,1965-12-12,13,26.161,PIT,,PHI,L 13-47,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
