ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1999,1999-09-12,1,23.224,PHI,,ARI,L 24-25,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,0.0,,
2,1999,1999-09-26,3,23.238,PHI,@,BUF,L 0-26,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
3,1999,1999-10-03,4,23.245,PHI,@,NYG,L 15-16,,,,,,,0.0%,,,,,,,,,,,,,,
4,2000,2000-09-03,1,24.216,ATL,,SFO,W 36-28,,1,,,,,0.0%,,,,,,,,,,,,,,
5,2000,2000-09-10,2,24.223,ATL,@,DEN,L 14-42,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
6,2000,2000-09-17,3,24.230,ATL,@,CAR,W 15-10,,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,0,0.0,,
7,2000,2000-09-24,4,24.237,ATL,,STL,L 20-41,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,0.0,,
8,2000,2000-10-08,6,24.251,ATL,,NYG,L 6-13,,,,,,,0.0%,,,,,,,,,,,,,,
9,2000,2000-10-15,7,24.258,ATL,@,STL,L 29-45,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,0.0,,
10,2000,2000-10-22,8,24.265,ATL,,NOR,L 19-21,,,,,,,0.0%,,,,,,,,,,,,,,
11,2000,2000-10-29,9,24.272,ATL,,CAR,W 13-12,,,,,,,0.0%,,,,,,,,,,,,,,
12,2000,2000-11-05,10,24.279,ATL,,TAM,L 14-27,,,,,,,0.0%,,,,,,,,,,,,,,
13,2000,2000-11-19,12,24.293,ATL,@,SFO,L 6-16,,1,,,,,0.0%,,,,,,,,,,,,,,
14,2000,2000-12-17,15,24.321,ATL,@,NOR,L 7-23,,0,,,,,0.0%,,,,,,,,,,,,,,
15,2000,2000-12-24,16,24.328,ATL,,KAN,W 29-13,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,0.0,,
16,2001,2001-09-09,1,25.221,ATL,@,SFO,L 13-16,,,,,,,0.0%,,,,,,,,,,,,,,
17,2001,2001-09-23,2,25.235,ATL,,CAR,W 24-16,,,,,,,0.0%,,,,,,,,,,,,,,
18,2001,2001-09-30,3,25.242,ATL,@,ARI,W 34-14,,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0,0.0,,
19,2001,2001-10-07,4,25.249,ATL,,CHI,L 3-31,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,,
20,2001,2001-10-14,5,25.256,ATL,,SFO,L 31-37,,2,1,47,47.00,1,50.0%,23.50,0,0,,0,0,0,,0,1,6,0.0,,
21,2001,2001-10-21,6,25.263,ATL,@,NOR,W 20-13,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,,
22,2001,2001-11-04,7,25.277,ATL,,NWE,L 10-24,,5,1,50,50.00,0,20.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,,
23,2001,2001-11-11,8,25.284,ATL,,DAL,W 20-13,,,,,,,0.0%,,,,,,,,,,,,,,
24,2001,2001-11-18,9,25.291,ATL,@,GNB,W 23-20,,2,2,24,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,1,6,0.0,,
25,2001,2001-11-25,10,25.298,ATL,@,CAR,W 10-7,,,,,,,0.0%,,,,,,,,,,,,,,
26,2001,2001-12-02,11,25.305,ATL,,STL,L 6-35,,1,,,,,0.0%,,,,,,,,,,,,,,
27,2001,2001-12-09,12,25.312,ATL,,NOR,L 10-28,,7,6,92,15.33,0,85.7%,13.14,0,0,,0,0,0,,0,0,0,0.0,,
28,2001,2001-12-16,13,25.319,ATL,@,IND,L 27-41,,4,2,36,18.00,1,50.0%,9.00,0,0,,0,0,0,,0,1,6,0.0,,
29,2001,2001-12-23,14,25.326,ATL,,BUF,W 33-30,,7,5,93,18.60,0,71.4%,13.29,0,0,,0,0,0,,0,0,0,0.0,,
30,2001,2001-12-30,15,25.333,ATL,@,MIA,L 14-21,,2,1,52,52.00,0,50.0%,26.00,0,0,,0,0,0,,0,0,0,0.0,,
31,2001,2002-01-06,16,25.340,ATL,@,STL,L 13-31,,4,1,45,45.00,0,25.0%,11.25,0,0,,0,0,0,,0,0,0,0.0,,
32,2002,2002-09-08,1,26.220,ATL,@,GNB,L 34-37,*,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
33,2002,2002-09-15,2,26.227,ATL,,CHI,L 13-14,*,9,6,76,12.67,0,66.7%,8.44,0,0,,0,0,0,,0,0,0,0.0,,
34,2002,2002-09-22,3,26.234,ATL,,CIN,W 30-3,*,7,6,77,12.83,2,85.7%,11.00,0,0,,0,0,0,,0,2,12,0.0,,
