ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,21.362,PIT,@,DEN,L 19-31,,,,,,,,,,,,,,,,,,,,,,,,
2,2012,2012-09-16,2,22.003,PIT,,NYJ,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,
3,2012,2012-09-23,3,22.010,PIT,@,OAK,L 31-34,,,,,,,,,,,,,,,,,,,,,,,,
4,2012,2012-10-11,5,22.028,PIT,@,TEN,L 23-26,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
5,2012,2012-10-21,6,22.038,PIT,@,CIN,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,
6,2012,2012-10-28,7,22.045,PIT,,WAS,W 27-12,,,,,,,,,,,,,,,,,,,,,,,,
7,2012,2012-11-04,8,22.052,PIT,@,NYG,W 24-20,,,,,,,,,,,,,,,,,,,,,,,,
8,2012,2012-11-12,9,22.060,PIT,,KAN,W 16-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
9,2012,2012-11-18,10,22.066,PIT,,BAL,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,
10,2012,2012-11-25,11,22.073,PIT,@,CLE,L 14-20,,,,,,,,,,,,,,,,,,,,,,,,
11,2012,2012-12-02,12,22.080,PIT,@,BAL,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,2012-12-09,13,22.087,PIT,,SDG,L 24-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
13,2012,2012-12-16,14,22.094,PIT,@,DAL,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,0,0,0,0
14,2012,2012-12-23,15,22.101,PIT,,CIN,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,
15,2012,2012-12-30,16,22.108,PIT,,CLE,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
16,2013,2013-09-08,1,22.360,PIT,,TEN,L 9-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
17,2013,2013-09-16,2,23.003,PIT,@,CIN,L 10-20,,,,,,,,,,,,,,,,,,,,,,,,
18,2013,2013-09-22,3,23.009,PIT,,CHI,L 23-40,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
19,2013,2013-09-29,4,23.016,PIT,@,MIN,L 27-34,,,,,,,,,,,,,,,,,,,,,,,,
20,2013,2013-10-13,5,23.030,PIT,@,NYJ,W 19-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,2,0,0,0
21,2013,2013-10-20,6,23.037,PIT,,BAL,W 19-16,,,,,,,,,,,,,,,,,,,,,,,,
22,2013,2013-10-27,7,23.044,PIT,@,OAK,L 18-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
23,2013,2013-11-03,8,23.051,PIT,@,NWE,L 31-55,,,,,,,,,,,,,,,,,,,,,,,,
24,2013,2013-11-10,9,23.058,PIT,,BUF,W 23-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,1,0,0,0
25,2013,2013-11-17,10,23.065,PIT,,DET,W 37-27,,,,,,,,,,,,,,,,,,,,,,,,
26,2013,2013-11-24,11,23.072,PIT,@,CLE,W 27-11,,,,,,,,,,,,,,,,,,,,,,,,
27,2013,2013-11-28,12,23.076,PIT,@,BAL,L 20-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
28,2013,2013-12-08,13,23.086,PIT,,MIA,L 28-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,0,0,0,0
29,2013,2013-12-15,14,23.093,PIT,,CIN,W 30-20,,,,,,,,,,,,,,,,,,,,,,,,
30,2013,2013-12-22,15,23.100,PIT,@,GNB,W 38-31,,,,,,,,,,,,,,,,,,,,,,,,
31,2013,2013-12-29,16,23.107,PIT,,CLE,W 20-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,0,0,0
32,2014,2014-09-07,1,23.359,PIT,,CLE,W 30-27,,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0,0,0.0,0,0,0,0,0
