ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.350,JAX,@,BAL,W 28-27,,2,39,19.50,0,0,0,,0,0.0,0,0,0
2,1997,1997-09-07,2,22.357,JAX,,NYG,W 40-13,,0,0,,0,,,,,,,,
3,1997,1997-09-22,3,23.007,JAX,,PIT,W 30-21,,1,22,22.00,0,0,0,,0,0.0,0,0,0
4,1997,1997-09-28,4,23.013,JAX,@,WAS,L 12-24,,2,35,17.50,0,0,0,,0,0.0,0,0,0
5,1997,1997-10-05,5,23.020,JAX,,CIN,W 21-13,,1,19,19.00,0,0,0,,0,0.0,0,0,0
6,1997,1997-10-12,6,23.027,JAX,,PHI,W 38-21,,0,0,,0,,,,,,,,
7,1997,1997-10-19,7,23.034,JAX,@,DAL,L 22-26,,0,0,,0,,,,,,,,
8,1997,1997-11-30,13,23.076,JAX,,BAL,W 29-27,,2,59,29.50,0,0,0,,0,0.0,0,0,0
9,1997,1997-12-07,14,23.083,JAX,,NWE,L 20-26,,0,7,,0,,,,,,,,
10,1997,1997-12-14,15,23.090,JAX,@,BUF,W 20-14,,2,55,27.50,0,0,0,,0,0.0,0,0,0
11,1997,1997-12-21,16,23.097,JAX,@,OAK,W 20-9,,0,0,,0,,,,,,,,
12,1998,1998-09-06,1,23.356,JAX,@,CHI,W 24-23,,,,,,,,,,,,,
13,1998,1998-09-13,2,23.363,JAX,,KAN,W 21-16,,,,,,,,,,,,,
14,1998,1998-09-27,4,24.012,JAX,@,TEN,W 27-22,,,,,,,,,,,,,
15,1998,1998-10-12,5,24.027,JAX,,MIA,W 28-21,,,,,,,,,,,,,
16,1998,1998-10-18,6,24.033,JAX,@,BUF,L 16-17,,3,55,18.33,0,0,0,,0,0.0,0,0,0
17,1998,1998-10-25,7,24.040,JAX,@,DEN,L 24-37,,1,17,17.00,0,1,17,17.00,0,0.0,0,0,0
