ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-10-12,6,23.328,IND,,CAR,L 20-23,,,,,,,,,
2,2003,2003-10-26,7,23.342,IND,,HOU,W 30-21,,,,,,,,,
3,2003,2003-11-02,8,23.349,IND,@,MIA,W 23-17,,,,,,,,,
4,2003,2003-11-09,9,23.356,IND,@,JAX,L 23-28,,,,,,,,,
5,2003,2003-11-16,10,23.363,IND,,NYJ,W 38-31,,,,,,,,,
6,2003,2003-11-23,11,24.005,IND,@,BUF,W 17-14,,,,,,,,,
7,2003,2003-11-30,12,24.012,IND,,NWE,L 34-38,,,,,,,,,
8,2003,2003-12-07,13,24.019,IND,@,TEN,W 29-27,,,,,,,,,
9,2003,2003-12-14,14,24.026,IND,,ATL,W 38-7,,,,,,,,,
10,2003,2003-12-21,15,24.033,IND,,DEN,L 17-31,,,,,,,,,
11,2003,2003-12-28,16,24.040,IND,@,HOU,W 20-17,,,,,,,,,
12,2004,2004-09-09,1,24.296,IND,@,NWE,L 24-27,*,,,,,,,,
13,2004,2004-09-19,2,24.306,IND,@,TEN,W 31-17,*,,,,,,,,
14,2004,2004-09-26,3,24.313,IND,,GNB,W 45-31,*,,,,,,,,
15,2004,2004-10-03,4,24.320,IND,@,JAX,W 24-17,*,,,,,,,,
16,2004,2004-10-10,5,24.327,IND,,OAK,W 35-14,*,0,0,0.0,,,1,0,0
17,2004,2004-10-24,6,24.341,IND,,JAX,L 24-27,*,,,,,,,,
18,2004,2004-10-31,7,24.348,IND,@,KAN,L 35-45,*,,,,,,,,
19,2004,2004-11-08,8,24.356,IND,,MIN,W 31-28,*,,,,,,,,
20,2004,2004-11-14,9,24.362,IND,,HOU,W 49-14,*,,,,,,,,
21,2004,2004-11-21,10,25.003,IND,@,CHI,W 41-10,*,,,,,,,,
22,2004,2004-11-25,11,25.007,IND,@,DET,W 41-9,*,,,,,,,,
23,2004,2004-12-05,12,25.017,IND,,TEN,W 51-24,*,,,,,,,,
24,2004,2004-12-12,13,25.024,IND,@,HOU,W 23-14,*,,,,,,,,
25,2004,2004-12-19,14,25.031,IND,,BAL,W 20-10,*,0,0,0.0,,,1,71,0
