ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1990,1990-09-09,1,22.035,IND,@,BUF,L 10-26,0,0,,0,1,20,20.00,0
2,1990,1990-09-16,2,22.042,IND,,NWE,L 14-16,0,0,,0,2,43,21.50,0
3,1990,1990-09-23,3,22.049,IND,@,HOU,L 10-24,0,0,,0,2,32,16.00,0
4,1990,1990-09-30,4,22.056,IND,@,PHI,W 24-23,0,0,,0,6,125,20.83,0
5,1990,1990-10-07,5,22.063,IND,,KAN,W 23-19,3,25,8.33,0,2,30,15.00,0
6,1990,1990-10-21,6,22.077,IND,,DEN,L 17-27,0,0,,0,3,41,13.67,0
7,1990,1990-10-28,7,22.084,IND,,MIA,L 7-27,0,0,,0,2,41,20.50,0
8,1990,1990-11-05,8,22.092,IND,,NYG,L 7-24,0,0,,0,1,16,16.00,0
9,1990,1990-11-11,9,22.098,IND,@,NWE,W 13-10,0,0,,0,0,0,,0
10,1990,1990-11-18,10,22.105,IND,,NYJ,W 17-14,1,8,8.00,0,0,0,,0
11,1990,1990-12-02,12,22.119,IND,@,PHO,L 17-20,0,0,,0,0,0,,0
12,1990,1990-12-09,13,22.126,IND,,BUF,L 7-31,0,0,,0,0,0,,0
13,1990,1990-12-16,14,22.133,IND,@,NYJ,W 29-21,0,0,,0,0,0,,0
14,1990,1990-12-22,15,22.139,IND,,WAS,W 35-28,0,0,,0,0,0,,0
