ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-25,1,22.205,WAS,@,BAL,L 0-20,1,16,16.00,0,1,18,18.00,0,1,27,27.00,0,0,0,,0,0,0,1,48,48.00,0
2,1960,1960-10-09,2,22.219,WAS,,DAL,W 26-14,2,5,2.50,0,2,47,23.50,0,1,12,12.00,0,0,0,,0,0,0,0,0,,0
3,1960,1960-10-16,3,22.226,WAS,@,NYG,T 24-24,2,13,6.50,0,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
4,1960,1960-10-23,4,22.233,WAS,,PIT,T 27-27,0,0,,0,0,0,,0,3,62,20.67,0,0,0,,0,0,0,0,0,,0
5,1960,1960-10-30,5,22.240,WAS,,CLE,L 10-31,0,0,,0,0,0,,0,3,63,21.00,0,0,0,,0,0,0,0,0,,0
6,1960,1960-11-06,6,22.247,WAS,@,STL,L 7-44,0,0,,0,0,0,,0,4,95,23.75,0,1,10,10.00,0,0,0,0,0,,0
7,1960,1960-11-27,9,22.268,WAS,@,PIT,L 10-22,0,0,,0,0,0,,0,2,54,27.00,0,0,0,,0,0,0,0,0,,0
8,1960,1960-12-04,10,22.275,WAS,@,CLE,L 16-27,1,2,2.00,0,2,16,8.00,0,3,62,20.67,0,1,6,6.00,0,0,0,0,0,,0
9,1960,1960-12-11,11,22.282,WAS,,NYG,L 3-17,10,29,2.90,0,0,0,,0,3,63,21.00,0,0,0,,0,0,0,0,0,,0
10,1960,1960-12-18,12,22.289,WAS,,PHI,L 28-38,6,15,2.50,0,1,5,5.00,0,4,73,18.25,0,1,0,0.00,0,0,0,0,0,,0
11,1961,1961-09-17,1,23.197,WAS,@,SFO,L 3-35,5,27,5.40,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,184,36.80,0
12,1961,1961-09-24,2,23.204,WAS,@,PHI,L 7-14,4,16,4.00,0,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
13,1961,1961-10-01,3,23.211,WAS,,NYG,L 21-24,9,7,0.78,0,1,18,18.00,0,0,0,,0,0,0,,0,0,0,8,344,43.00,0
14,1961,1961-10-08,4,23.218,WAS,@,CLE,L 7-31,7,12,1.71,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,205,41.00,0
15,1961,1961-10-15,5,23.225,WAS,@,PIT,L 0-20,9,40,4.44,0,1,10,10.00,0,0,0,,0,0,0,,0,0,0,7,206,29.43,0
16,1961,1961-10-22,6,23.232,WAS,,STL,L 0-24,11,13,1.18,0,0,0,,0,0,0,,0,0,0,,0,0,0,7,273,39.00,0
17,1961,1961-10-29,7,23.239,WAS,,PHI,L 24-27,7,7,1.00,0,4,48,12.00,1,0,0,,0,0,0,,0,1,6,4,144,36.00,0
18,1961,1961-11-05,8,23.246,WAS,@,NYG,L 0-53,8,26,3.25,0,0,0,,0,0,0,,0,0,0,,0,0,0,7,308,44.00,0
19,1961,1961-11-12,9,23.253,WAS,,CLE,L 6-17,13,72,5.54,0,2,10,5.00,0,0,0,,0,0,0,,0,0,0,2,82,41.00,0
20,1961,1961-11-19,10,23.260,WAS,@,DAL,T 28-28,11,26,2.36,0,0,0,,0,3,60,20.00,0,0,0,,0,0,0,3,144,48.00,0
21,1961,1961-11-26,11,23.267,WAS,,BAL,L 6-27,7,17,2.43,0,1,7,7.00,0,1,15,15.00,0,0,0,,0,0,0,7,234,33.43,0
22,1961,1961-12-03,12,23.274,WAS,@,STL,L 24-38,3,5,1.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,125,41.67,0
23,1961,1961-12-10,13,23.281,WAS,,PIT,L 14-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,92,30.67,0
24,1961,1961-12-17,14,23.288,WAS,,DAL,W 34-24,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,3,111,37.00,0
25,1962,1962-10-28,7,24.238,NYG,,WAS,W 49-34,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,,0
26,1962,1962-11-04,8,24.245,NYG,,STL,W 31-28,0,0,,0,0,0,,0,3,79,26.33,0,0,0,,0,0,0,0,0,,0
27,1962,1962-11-18,10,24.259,NYG,,PHI,W 19-14,0,0,,0,0,0,,0,1,16,16.00,0,1,3,3.00,0,0,0,0,0,,0
28,1962,1962-11-25,11,24.266,NYG,@,WAS,W 42-24,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,,0
29,1962,1962-12-02,12,24.273,NYG,@,CHI,W 26-24,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
30,1962,1962-12-09,13,24.280,NYG,,CLE,W 17-13,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,0,0,0,0,,0
31,1962,1962-12-16,14,24.287,NYG,,DAL,W 41-31,0,0,,0,0,0,,0,4,82,20.50,0,1,0,0.00,0,0,0,0,0,,0
