ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-16,2,21.144,MIA,,OAK,W 35-13,,10,65,6.50,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
2,2012,2012-09-23,3,21.151,MIA,,NYJ,L 20-23,,9,48,5.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2012,2012-09-30,4,21.158,MIA,@,ARI,L 21-24,,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2012,2012-10-07,5,21.165,MIA,@,CIN,W 17-13,,,,,,,,,,,0.0%,,,,,,
5,2012,2012-10-14,6,21.172,MIA,,STL,W 17-14,,,,,,,,,,,0.0%,,,,,,
6,2012,2012-11-04,8,21.193,MIA,@,IND,L 20-23,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2012,2012-11-11,9,21.200,MIA,,TEN,L 3-37,,3,12,4.00,0,3,2,13,6.50,0,66.7%,4.33,0,0,0.0,0,0
8,2012,2012-11-15,10,21.204,MIA,@,BUF,L 14-19,,,,,,,,,,,0.0%,,,,,,
9,2012,2012-12-02,12,21.221,MIA,,NWE,L 16-23,,,,,,,,,,,0.0%,,,,,,
10,2012,2012-12-09,13,21.228,MIA,@,SFO,L 13-27,*,3,1,0.33,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0
11,2012,2012-12-16,14,21.235,MIA,,JAX,W 24-3,,6,18,3.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0
12,2012,2012-12-23,15,21.242,MIA,,BUF,W 24-10,,10,73,7.30,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
13,2012,2012-12-30,16,21.249,MIA,@,NWE,L 0-28,,5,13,2.60,0,2,2,22,11.00,0,100.0%,11.00,0,0,0.0,0,0
14,2013,2013-09-08,1,22.136,MIA,@,CLE,W 23-10,*,10,3,0.30,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
15,2013,2013-09-15,2,22.143,MIA,@,IND,W 24-20,*,14,69,4.93,1,2,2,6,3.00,0,100.0%,3.00,1,6,0.0,0,0
16,2013,2013-09-22,3,22.150,MIA,,ATL,W 27-23,*,8,62,7.75,0,3,1,2,2.00,0,33.3%,0.67,0,0,0.0,1,0
17,2013,2013-09-30,4,22.158,MIA,@,NOR,L 17-38,*,11,62,5.64,1,3,1,6,6.00,0,33.3%,2.00,1,6,0.0,1,0
18,2013,2013-10-06,5,22.164,MIA,,BAL,L 23-26,*,7,15,2.14,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
19,2013,2013-10-20,6,22.178,MIA,,BUF,L 21-23,,9,43,4.78,0,3,1,4,4.00,0,33.3%,1.33,0,0,0.0,0,0
20,2013,2013-10-27,7,22.185,MIA,@,NWE,L 17-27,*,18,89,4.94,0,3,3,23,7.67,0,100.0%,7.67,0,0,0.0,0,0
21,2013,2013-10-31,8,22.189,MIA,,CIN,W 22-20,*,16,105,6.56,0,4,4,24,6.00,0,100.0%,6.00,0,0,0.0,0,0
22,2013,2013-11-11,9,22.200,MIA,@,TAM,L 19-22,*,7,2,0.29,0,3,2,9,4.50,0,66.7%,3.00,0,0,0.0,0,0
23,2013,2013-11-17,10,22.206,MIA,,SDG,W 20-16,*,4,17,4.25,0,2,2,20,10.00,0,100.0%,10.00,0,0,0.0,0,0
24,2013,2013-11-24,11,22.213,MIA,,CAR,L 16-20,*,10,8,0.80,0,4,4,39,9.75,0,100.0%,9.75,0,0,0.0,0,0
25,2013,2013-12-01,12,22.220,MIA,@,NYJ,W 23-3,*,22,72,3.27,0,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0
26,2013,2013-12-08,13,22.227,MIA,@,PIT,W 34-28,*,6,20,3.33,0,4,2,13,6.50,0,50.0%,3.25,0,0,0.0,0,0
27,2013,2013-12-15,14,22.234,MIA,,NWE,W 24-20,*,15,61,4.07,0,1,1,0,0.00,0,100.0%,0.00,0,0,0.0,0,0
