ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-11,1,22.129,OAK,,HOU,L 22-37,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,11,365,33.18,0
2,1960,1960-09-16,2,22.134,OAK,,DTX,L 16-34,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,6,247,41.17,0
3,1960,1960-09-25,3,22.143,OAK,@,HOU,W 14-13,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,1,0,0,3,134,44.67,0
4,1960,1960-10-02,4,22.150,OAK,@,DEN,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,1,30,0,5,259,51.80,0
5,1960,1960-10-09,5,22.157,OAK,@,DTX,W 20-19,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,7,275,39.29,0
6,1960,1960-10-16,6,22.164,OAK,,BOS,W 27-14,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,1,16,0,4,142,35.50,0
7,1960,1960-10-23,7,22.171,OAK,@,BUF,L 9-38,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,1,4,0,9,328,36.44,0
8,1960,1960-10-28,8,22.176,OAK,@,NYT,W 28-27,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,6,218,36.33,0
9,1960,1960-11-04,9,22.183,OAK,@,BOS,L 28-34,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,4,151,37.75,0
10,1960,1960-11-13,10,22.192,OAK,,BUF,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,6,225,37.50,0
11,1960,1960-11-27,11,22.206,OAK,@,LAC,L 28-52,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,6,276,46.00,0
12,1960,1960-12-04,12,22.213,OAK,,LAC,L 17-41,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,3,116,38.67,0
13,1960,1960-12-11,13,22.220,OAK,,NYT,L 28-31,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,5,188,37.60,0
