ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2016,2016-09-11,1,23.256,PHI,,CLE,W 29-10,*,22,37,59.46,278,2,0,101.0,2,8,7.51,8.59,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0
2,2016,2016-09-19,2,23.264,PHI,@,CHI,W 29-14,*,21,34,61.76,190,1,0,86.6,2,10,5.59,6.18,6,10,1.67,0,0,0,0,,0,0.0%,,,0,0
3,2016,2016-09-25,3,23.270,PHI,,PIT,W 34-3,*,23,31,74.19,301,2,0,125.9,0,0,9.71,11.00,1,10,10.00,0,0,0,0,,0,0.0%,,,0,0
4,2016,2016-10-09,4,23.284,PHI,@,DET,L 23-24,*,25,33,75.76,238,2,1,102.8,3,8,7.21,7.06,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0
5,2016,2016-10-16,5,23.291,PHI,@,WAS,L 20-27,*,11,22,50.00,179,0,0,77.7,5,34,8.14,8.14,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0
6,2016,2016-10-23,6,23.298,PHI,,MIN,W 21-10,*,16,28,57.14,138,1,2,52.4,0,0,4.93,2.43,5,6,1.20,0,0,0,0,,0,0.0%,,1,0,2
7,2016,2016-10-30,7,23.305,PHI,@,DAL,L 23-29,*,32,43,74.42,202,1,0,91.4,3,8,4.70,5.16,1,-3,-3.00,0,0,0,0,,0,0.0%,,,0,0
8,2016,2016-11-06,8,23.312,PHI,@,NYG,L 23-28,*,27,47,57.45,364,0,2,64.5,2,17,7.74,5.83,4,-4,-1.00,0,0,0,0,,0,0.0%,,,0,0
9,2016,2016-11-13,9,23.319,PHI,,ATL,W 24-15,*,25,36,69.44,231,0,0,86.7,2,10,6.42,6.42,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0
10,2016,2016-11-20,10,23.326,PHI,@,SEA,L 15-26,*,23,45,51.11,218,2,2,61.2,2,23,4.84,3.73,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0
11,2016,2016-11-28,11,23.334,PHI,,GNB,L 13-27,*,24,36,66.67,254,0,1,75.5,4,43,7.06,5.81,4,33,8.25,1,0,0,0,,0,0.0%,,,1,6
12,2016,2016-12-04,12,23.340,PHI,@,CIN,L 14-32,*,36,60,60.00,308,1,3,58.2,1,2,5.13,3.22,3,16,5.33,0,1,1,7,7.00,0,100.0%,7.00,,0,0
13,2016,2016-12-11,13,23.347,PHI,,WAS,L 22-27,*,32,46,69.57,314,1,1,86.7,4,26,6.83,6.28,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0
14,2016,2016-12-18,14,23.354,PHI,@,BAL,L 26-27,*,22,42,52.38,170,0,1,52.7,1,11,4.05,2.98,4,8,2.00,1,0,0,0,,0,0.0%,,,1,6
15,2016,2016-12-22,15,23.358,PHI,,NYG,W 24-19,*,13,24,54.17,152,1,1,70.1,0,0,6.33,5.29,4,27,6.75,0,0,0,0,,0,0.0%,,,0,0
16,2016,2017-01-01,16,24.002,PHI,,DAL,W 27-13,*,27,43,62.79,245,2,0,93.7,2,13,5.70,6.63,1,13,13.00,0,0,0,0,,0,0.0%,,,0,0
17,2017,2017-09-10,1,24.254,PHI,@,WAS,W 30-17,*,26,39,66.67,307,2,1,96.8,2,9,7.87,7.74,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0
18,2017,2017-09-17,2,24.261,PHI,@,KAN,L 20-27,*,25,46,54.35,333,2,1,83.0,6,34,7.24,7.13,4,55,13.75,0,0,0,0,,0,0.0%,,,0,0
19,2017,2017-09-24,3,24.268,PHI,,NYG,W 27-24,*,21,31,67.74,176,1,0,92.9,3,15,5.68,6.32,6,22,3.67,0,0,0,0,,0,0.0%,,,0,0
20,2017,2017-10-01,4,24.275,PHI,@,LAC,W 26-24,*,17,31,54.84,242,1,0,91.1,1,2,7.81,8.45,6,14,2.33,0,0,0,0,,0,0.0%,,,0,0
21,2017,2017-10-08,5,24.282,PHI,,ARI,W 34-7,*,21,30,70.00,304,4,1,128.3,1,7,10.13,11.30,6,11,1.83,0,0,0,0,,0,0.0%,,,0,0
22,2017,2017-10-12,6,24.286,PHI,@,CAR,W 28-23,*,16,30,53.33,222,3,0,110.7,3,13,7.40,9.40,6,25,4.17,0,0,0,0,,0,0.0%,,,0,0
23,2017,2017-10-23,7,24.297,PHI,,WAS,W 34-24,*,17,25,68.00,268,4,1,126.3,3,24,10.72,12.12,8,63,7.88,0,0,0,0,,0,0.0%,,,0,0
24,2017,2017-10-29,8,24.303,PHI,,SFO,W 33-10,*,18,32,56.25,211,2,1,84.2,3,19,6.59,6.44,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0
25,2017,2017-11-05,9,24.310,PHI,,DEN,W 51-23,*,15,27,55.56,199,4,0,118.7,1,4,7.37,10.33,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0
26,2017,2017-11-19,10,24.324,PHI,@,DAL,W 37-9,*,14,27,51.85,168,2,0,95.9,0,0,6.22,7.70,6,13,2.17,0,0,0,0,,0,0.0%,,,0,0
27,2017,2017-11-26,11,24.331,PHI,,CHI,W 31-3,*,23,36,63.89,227,3,0,109.4,1,4,6.31,7.97,5,29,5.80,0,0,0,0,,0,0.0%,,,0,0
28,2017,2017-12-03,12,24.338,PHI,@,SEA,L 10-24,*,29,45,64.44,348,1,1,86.2,3,21,7.73,7.18,6,30,5.00,0,0,0,0,,0,0.0%,,,0,0
29,2017,2017-12-10,13,24.345,PHI,@,LAR,W 43-35,*,23,41,56.10,291,4,1,100.8,1,10,7.10,7.95,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0
30,2018,2018-09-23,3,25.267,PHI,,IND,W 20-16,*,25,37,67.57,255,1,1,84.9,5,28,6.89,6.22,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0
