ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1995,1995-09-03,1,23.085,CIN,@,IND,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,5,104,20.80,0,0,0,,0,0,0
2,1995,1995-09-10,2,23.092,CIN,,JAX,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,3,69,23.00,0,0,0,,0,0,0
3,1995,1995-09-17,3,23.099,CIN,@,SEA,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,3,63,21.00,0,0,0,,0,0,0
4,1995,1995-09-24,4,23.106,CIN,,HOU,L 28-38,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,7,124,17.71,0,0,0,,0,0,0
5,1995,1995-10-01,5,23.113,CIN,,MIA,L 23-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,6,124,20.67,0,0,0,,0,0,0
6,1995,1995-10-08,6,23.120,CIN,@,TAM,L 16-19,,2,2,47,23.50,1,100.0%,23.50,0,0,,0,0,0,,0,0,0,,0,,,,3,82,27.33,0,0,0,,0,1,6
7,1995,1995-10-19,7,23.131,CIN,@,PIT,W 27-9,,2,2,43,21.50,0,100.0%,21.50,0,0,,0,0,0,,0,0,0,,0,,,,2,40,20.00,0,0,0,,0,0,0
8,1995,1995-10-29,8,23.141,CIN,,CLE,L 26-29,,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,,0,0,0,,0,,,,4,79,19.75,0,0,0,,0,0,0
9,1995,1995-11-05,9,23.148,CIN,,OAK,L 17-20,,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0,,0,,,,3,89,29.67,0,0,0,,0,0,0
10,1995,1995-11-12,10,23.155,CIN,@,HOU,W 32-25,,2,0,0,,0,0.0%,0.00,1,-13,-13.00,0,0,0,,0,0,0,,0,,,,1,16,16.00,0,0,0,,0,0,0
11,1995,1995-11-19,11,23.162,CIN,,PIT,L 31-49,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,5,90,18.00,0,0,0,,0,0,0
12,1995,1995-11-26,12,23.169,CIN,@,JAX,W 17-13,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,2,36,18.00,0,0,0,,0,0,0
13,1995,1995-12-03,13,23.176,CIN,@,GNB,L 10-24,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
