ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,21.304,ARI,@,DAL,L 10-38,,,,,,,,,,,,,
2,1998,1998-09-13,2,21.311,ARI,@,SEA,L 14-33,,,,,,,,,,,,,
3,1998,1998-09-20,3,21.318,ARI,,PHI,W 17-3,,,,,,,,,,,,,
4,1998,1998-09-27,4,21.325,ARI,@,STL,W 20-17,,,,,,,,,,,,,
5,1998,1998-10-04,5,21.332,ARI,,OAK,L 20-23,,,,,,,,,,,,,
6,1998,1998-10-11,6,21.339,ARI,,CHI,W 20-7,,,,,,,,,,,,,
7,1998,1998-10-18,7,21.346,ARI,@,NYG,L 7-34,,,,,,,,,,,,,
8,1998,1998-11-01,8,21.360,ARI,@,DET,W 17-15,,0,0,,0,0,0,,0,1.0,0,0,0
9,1998,1998-11-08,9,22.002,ARI,,WAS,W 29-27,,,,,,,,,,,,,
10,1998,1998-11-15,10,22.009,ARI,,DAL,L 28-35,,,,,,,,,,,,,
11,1998,1998-11-22,11,22.016,ARI,@,WAS,W 45-42,,,,,,,,,,,,,
12,1998,1998-11-29,12,22.023,ARI,@,KAN,L 24-34,,,,,,,,,,,,,
13,1998,1998-12-06,13,22.030,ARI,,NYG,L 19-23,,,,,,,,,,,,,
14,1998,1998-12-13,14,22.037,ARI,@,PHI,W 20-17,,,,,,,,,,,,,
15,1998,1998-12-20,15,22.044,ARI,,NOR,W 19-17,,,,,,,,,,,,,
16,1998,1998-12-27,16,22.051,ARI,,SDG,W 16-13,,,,,,,,,,,,,
17,1999,1999-09-12,1,22.310,ARI,@,PHI,W 25-24,,,,,,,,,,,,,
18,1999,1999-09-19,2,22.317,ARI,@,MIA,L 16-19,,,,,,,,,,,,,
19,1999,1999-09-27,3,22.325,ARI,,SFO,L 10-24,,,,,,,,,,,,,
20,1999,1999-10-03,4,22.331,ARI,@,DAL,L 7-35,,,,,,,,,,,,,
21,1999,1999-10-10,5,22.338,ARI,,NYG,W 14-3,,0,0,,0,0,0,,0,0.0,1,1,0
22,1999,1999-10-17,6,22.345,ARI,,WAS,L 10-24,,,,,,,,,,,,,
23,1999,1999-10-31,7,22.359,ARI,,NWE,L 3-27,,,,,,,,,,,,,
24,1999,1999-11-07,8,23.001,ARI,@,NYJ,L 7-12,,,,,,,,,,,,,
25,1999,1999-11-14,9,23.008,ARI,,DET,W 23-19,,0,0,,0,1,15,15.00,0,0.0,0,0,0
26,1999,1999-11-21,10,23.015,ARI,,DAL,W 13-9,,1,4,4.00,0,0,0,,0,0.0,0,0,0
27,1999,1999-11-28,11,23.022,ARI,@,NYG,W 34-24,,0,0,,0,1,0,0.00,0,0.0,0,0,0
28,1999,1999-12-05,12,23.029,ARI,,PHI,W 21-17,,,,,,,,,,,,,
29,1999,1999-12-12,13,23.036,ARI,@,WAS,L 3-28,,0,0,,0,1,18,18.00,0,0.0,0,0,0
30,1999,1999-12-19,14,23.043,ARI,,BUF,L 21-31,,,,,,,,,,,,,
