ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2002,2002-12-01,12,25.303,ARI,@,KAN,L 0-49,,8,3,35,11.67,0,37.5%,4.38,0,0
2,2002,2002-12-08,13,25.310,ARI,,DET,W 23-20,*,8,6,41,6.83,1,75.0%,5.13,1,6
3,2002,2002-12-15,14,25.317,ARI,@,STL,L 28-30,,4,2,22,11.00,0,50.0%,5.50,0,0
4,2002,2002-12-21,15,25.323,ARI,,SFO,L 14-17,,2,2,10,5.00,0,100.0%,5.00,0,0
5,2002,2002-12-29,16,25.331,ARI,@,DEN,L 7-37,,0,,,,,0.0%,,,
6,2003,2003-09-14,2,26.225,ARI,,SEA,L 0-38,,1,,,,,0.0%,,,
7,2003,2003-09-21,3,26.232,ARI,,GNB,W 20-13,,,,,,,0.0%,,,
8,2003,2003-09-28,4,26.239,ARI,@,STL,L 13-37,,,,,,,0.0%,,,
9,2003,2003-10-05,5,26.246,ARI,@,DAL,L 7-24,,1,1,7,7.00,0,100.0%,7.00,0,0
10,2003,2003-10-12,6,26.253,ARI,,BAL,L 18-26,*,6,2,22,11.00,0,33.3%,3.67,0,0
11,2003,2003-10-26,7,26.267,ARI,,SFO,W 16-13,,,,,,,0.0%,,,
12,2003,2003-11-02,8,26.274,ARI,,CIN,W 17-14,,,,,,,0.0%,,,
13,2003,2003-11-09,9,26.281,ARI,@,PIT,L 15-28,,,,,,,0.0%,,,
14,2003,2003-11-16,10,26.288,ARI,@,CLE,L 6-44,,,,,,,0.0%,,,
15,2003,2003-11-23,11,26.295,ARI,,STL,L 27-30,,0,,,,,0.0%,,,
16,2003,2003-11-30,12,26.302,ARI,@,CHI,L 3-28,,,,,,,0.0%,,,
17,2003,2003-12-07,13,26.309,ARI,@,SFO,L 14-50,,1,1,19,19.00,0,100.0%,19.00,0,0
18,2003,2003-12-14,14,26.316,ARI,,CAR,L 17-20,,2,2,22,11.00,0,100.0%,11.00,0,0
19,2003,2003-12-21,15,26.323,ARI,@,SEA,L 10-28,,2,2,21,10.50,0,100.0%,10.50,0,0
20,2003,2003-12-28,16,26.330,ARI,,MIN,W 18-17,,6,5,86,17.20,1,83.3%,14.33,1,6
21,2004,2004-09-12,1,27.224,ARI,@,STL,L 10-17,,2,1,24,24.00,0,50.0%,12.00,0,0
22,2004,2004-09-19,2,27.231,ARI,,NWE,L 12-23,,2,,,,,0.0%,,,
23,2004,2004-09-26,3,27.238,ARI,@,ATL,L 3-6,,2,2,24,12.00,0,100.0%,12.00,0,0
24,2004,2004-10-03,4,27.245,ARI,,NOR,W 34-10,,2,2,22,11.00,0,100.0%,11.00,0,0
25,2004,2004-10-10,5,27.252,ARI,@,SFO,L 28-31,,,,,,,0.0%,,,
26,2004,2004-10-24,6,27.266,ARI,,SEA,W 25-17,,2,,,,,0.0%,,,
27,2004,2004-12-12,13,27.315,ARI,,SFO,L 28-31,*,1,,,,,0.0%,,,
28,2004,2004-12-19,14,27.322,ARI,,STL,W 31-7,,0,,,,,0.0%,,,
29,2004,2004-12-26,15,27.329,ARI,@,SEA,L 21-24,,,,,,,0.0%,,,
30,2005,2005-09-25,3,28.236,NOR,@,MIN,L 16-33,,1,1,9,9.00,0,100.0%,9.00,0,0
31,2005,2005-10-02,4,28.243,NOR,,BUF,W 19-7,,0,0,0,,0,0.0%,,0,0
32,2005,2005-10-09,5,28.250,NOR,@,GNB,L 3-52,,,0,0,,0,0.0%,,0,0
33,2005,2005-10-16,6,28.257,NOR,,ATL,L 31-34,,1,1,12,12.00,0,100.0%,12.00,0,0
34,2005,2005-10-23,7,28.264,NOR,@,STL,L 17-28,,,0,0,,0,0.0%,,0,0
35,2005,2005-10-30,8,28.271,NOR,,MIA,L 6-21,,,0,0,,0,0.0%,,0,0
36,2005,2005-11-06,9,28.278,NOR,,CHI,L 17-20,,2,1,42,42.00,0,50.0%,21.00,0,0
