ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1986,1986-09-07,1,25.346,WAS,,PHI,W 41-14,6,36,6.00,1,4,76,19.00,1,0,0,,0,0,0,,,,,,2,12
2,1986,1986-09-14,2,25.353,WAS,,RAI,W 10-6,3,12,4.00,0,1,24,24.00,0,0,0,,0,0,0,,,,,,0,0
3,1986,1986-11-02,9,26.037,WAS,,MIN,W 44-38,4,13,3.25,0,4,18,4.50,0,0,0,,0,0,0,,,,,,0,0
4,1986,1986-11-09,10,26.044,WAS,@,GNB,W 16-7,11,35,3.18,0,4,31,7.75,1,0,0,,0,0,0,,,,,,1,6
5,1986,1986-11-17,11,26.052,WAS,,SFO,W 14-6,7,20,2.86,0,3,12,4.00,0,0,0,,0,0,0,,,,,,0,0
6,1986,1986-11-23,12,26.058,WAS,,DAL,W 41-14,12,42,3.50,2,2,10,5.00,0,0,0,,0,0,0,,,,,,2,12
7,1986,1986-11-30,13,26.065,WAS,@,STL,W 20-17,10,21,2.10,0,4,51,12.75,0,0,0,,0,0,0,,,,,,0,0
8,1986,1986-12-07,14,26.072,WAS,,NYG,L 14-24,6,50,8.33,1,13,130,10.00,1,0,0,,0,0,0,,,,,,2,12
9,1986,1986-12-13,15,26.078,WAS,@,DEN,L 30-31,5,21,4.20,0,3,51,17.00,0,0,0,,0,0,0,,,,,,0,0
10,1986,1986-12-21,16,26.086,WAS,@,PHI,W 21-14,5,8,1.60,0,5,46,9.20,0,0,0,,0,0,0,,,,,,0,0
11,1987,1987-09-13,1,26.352,WAS,,PHI,W 34-24,7,32,4.57,0,1,34,34.00,0,0,0,,0,0,0,,0,,,,0,0
12,1987,1987-09-20,2,26.359,WAS,@,ATL,L 20-21,15,70,4.67,0,6,76,12.67,1,0,0,,0,0,0,,0,,,,1,6
13,1987,1987-10-25,6,27.029,WAS,,NYJ,W 17-16,3,17,5.67,0,4,67,16.75,1,0,0,,0,0,0,,0,,,,1,6
14,1987,1987-11-01,7,27.036,WAS,@,BUF,W 27-7,9,46,5.11,0,3,19,6.33,2,0,0,,0,0,0,,0,,,,2,12
15,1987,1987-11-08,8,27.043,WAS,@,PHI,L 27-31,7,40,5.71,0,5,57,11.40,0,0,0,,0,0,0,,0,,,,0,0
16,1987,1987-11-15,9,27.050,WAS,,DET,W 20-13,4,11,2.75,0,5,42,8.40,1,0,0,,0,0,0,,0,,,,1,6
17,1987,1987-11-23,10,27.058,WAS,,RAM,L 26-30,7,46,6.57,0,5,40,8.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
18,1987,1987-11-29,11,27.064,WAS,,NYG,W 23-19,11,45,4.09,0,5,36,7.20,0,0,0,,0,0,0,,0,,,,0,0
19,1987,1987-12-13,13,27.078,WAS,,DAL,W 24-20,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0
20,1987,1987-12-20,14,27.085,WAS,@,MIA,L 21-23,9,84,9.33,1,5,69,13.80,0,0,0,,0,0,0,,0,,,,1,6
21,1987,1987-12-26,15,27.091,WAS,@,MIN,W 27-24,4,7,1.75,0,4,50,12.50,0,0,0,,0,0,0,,0,,,,0,0
22,1988,1988-09-05,1,27.345,WAS,@,NYG,L 20-27,2,5,2.50,0,5,41,8.20,1,0,0,,0,0,0,,,,,,1,6
23,1988,1988-09-11,2,27.351,WAS,,PIT,W 30-29,5,24,4.80,0,4,46,11.50,1,0,0,,0,0,0,,,,,,1,6
24,1988,1988-09-18,3,27.358,WAS,,PHI,W 17-10,4,15,3.75,0,2,15,7.50,0,0,0,,0,0,0,,,,,,0,0
25,1988,1988-09-25,4,27.365,WAS,@,PHO,L 21-30,0,0,,0,5,32,6.40,0,0,0,,0,0,0,,,,,,0,0
26,1988,1988-10-02,5,28.006,WAS,,NYG,L 23-24,12,78,6.50,0,2,24,12.00,0,0,0,,0,0,0,,,,,,0,0
27,1988,1988-10-09,6,28.013,WAS,@,DAL,W 35-17,23,118,5.13,1,5,82,16.40,2,0,0,,0,0,0,,,,,,3,18
28,1988,1988-10-16,7,28.020,WAS,,PHO,W 33-17,22,73,3.32,0,4,68,17.00,0,0,0,,0,0,0,,,,,,0,0
29,1988,1988-10-23,8,28.027,WAS,@,GNB,W 20-17,27,140,5.19,0,9,70,7.78,1,0,0,,0,0,0,,,,,,1,6
30,1988,1988-10-30,9,28.034,WAS,@,HOU,L 17-41,7,20,2.86,0,6,69,11.50,0,0,0,,0,0,0,,,,,,0,0
31,1988,1988-11-06,10,28.041,WAS,,NOR,W 27-24,6,25,4.17,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
32,1990,1990-09-09,1,29.348,WAS,,PHO,W 31-0,1,4,4.00,0,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0
33,1990,1990-09-16,2,29.355,WAS,@,SFO,L 13-26,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,0
34,1990,1990-09-23,3,29.362,WAS,,DAL,W 19-15,0,0,,0,0,0,,0,,,,,,,,,,,,0,
35,1990,1990-09-30,4,30.004,WAS,@,PHO,W 38-10,0,0,,0,2,11,5.50,0,0,0,,0,0,0,,,,,,0,0
