ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1991,1991-09-01,1,22.247,DAL,@,CLE,W 26-14,0,0,,0
2,1991,1991-09-09,2,22.255,DAL,,WAS,L 31-33,0,0,,0
3,1991,1991-09-15,3,22.261,DAL,,PHI,L 0-24,0,0,,0
4,1991,1991-09-22,4,22.268,DAL,@,PHO,W 17-9,0,0,,0
5,1991,1991-09-29,5,22.275,DAL,,NYG,W 21-16,0,0,,0
6,1991,1991-10-06,6,22.282,DAL,@,GNB,W 20-17,0,0,,0
7,1991,1991-10-13,7,22.289,DAL,,CIN,W 35-23,0,0,,0
8,1991,1991-10-27,8,22.303,DAL,@,DET,L 10-34,0,0,,0
9,1991,1991-11-03,9,22.310,DAL,,PHO,W 27-7,0,0,,0
10,1991,1991-11-10,10,22.317,DAL,@,HOU,L 23-26,0,0,,0
11,1991,1991-11-17,11,22.324,DAL,@,NYG,L 9-22,0,0,,0
12,1991,1991-11-24,12,22.331,DAL,@,WAS,W 24-21,0,0,,0
13,1991,1991-11-28,13,22.335,DAL,,PIT,W 20-10,0,0,,0
14,1991,1991-12-08,14,22.345,DAL,,NOR,W 23-14,0,0,,0
15,1991,1991-12-15,15,22.352,DAL,@,PHI,W 25-13,0,0,,0
16,1991,1991-12-22,16,22.359,DAL,,ATL,W 31-27,1,0,0.00,0
17,1992,1992-09-06,1,23.253,TAM,,PHO,W 23-7,,,,
18,1992,1992-09-13,2,23.260,TAM,,GNB,W 31-3,,,,
19,1992,1992-09-20,3,23.267,TAM,@,MIN,L 20-26,,,,
20,1992,1992-09-27,4,23.274,TAM,@,DET,W 27-23,,,,
21,1992,1992-10-04,5,23.281,TAM,,IND,L 14-24,,,,
22,1992,1992-10-18,6,23.295,TAM,@,CHI,L 14-31,,,,
23,1992,1992-10-25,7,23.302,TAM,,DET,L 7-38,,,,
24,1992,1992-11-01,8,23.309,TAM,@,NOR,L 21-23,,,,
25,1992,1992-11-08,9,23.316,TAM,,MIN,L 7-35,,,,
26,1992,1992-11-15,10,23.323,TAM,,CHI,W 20-17,,,,
27,1992,1992-11-22,11,23.330,TAM,@,SDG,L 14-29,,,,
28,1992,1992-11-29,12,23.337,TAM,@,GNB,L 14-19,,,,
29,1992,1992-12-06,13,23.344,TAM,,RAM,L 27-31,,,,
30,1992,1992-12-13,14,23.351,TAM,,ATL,L 7-35,,,,
31,1992,1992-12-19,15,23.357,TAM,@,SFO,L 14-21,,,,
32,1992,1992-12-27,16,23.365,TAM,@,PHO,W 7-3,,,,
33,1993,1993-09-12,2,24.258,TAM,@,NYG,L 7-23,,,,
34,1993,1993-09-26,3,24.272,TAM,@,CHI,L 17-47,,,,
35,1993,1993-10-03,4,24.279,TAM,,DET,W 27-10,,,,
36,1993,1993-10-10,5,24.286,TAM,@,MIN,L 0-15,,,,
37,1993,1993-10-24,6,24.300,TAM,,GNB,L 14-37,,,,
38,1993,1993-10-31,7,24.307,TAM,@,ATL,W 31-24,,,,
39,1993,1993-11-07,8,24.314,TAM,@,DET,L 0-23,,,,
40,1993,1993-11-14,9,24.321,TAM,,SFO,L 21-45,,,,
41,1993,1993-11-21,10,24.328,TAM,,MIN,W 23-10,,,,
42,1993,1993-11-28,11,24.335,TAM,@,GNB,L 10-13,,,,
43,1993,1993-12-05,12,24.342,TAM,,WAS,L 17-23,,,,
44,1993,1993-12-12,13,24.349,TAM,,CHI,W 13-10,,,,
45,1993,1993-12-19,14,24.356,TAM,@,RAI,L 20-27,,,,
46,1993,1993-12-26,15,24.363,TAM,@,DEN,W 17-10,,,,
47,1993,1994-01-02,16,25.005,TAM,,SDG,L 17-32,,,,
48,1994,1994-09-04,1,25.250,DAL,@,PIT,W 26-9,,,,
49,1994,1994-09-11,2,25.257,DAL,,HOU,W 20-17,,,,
50,1994,1994-09-19,3,25.265,DAL,,DET,L 17-20,,,,
51,1994,1994-10-02,4,25.278,DAL,@,WAS,W 34-7,,,,
52,1994,1994-10-09,5,25.285,DAL,,ARI,W 38-3,,,,
53,1994,1994-10-16,6,25.292,DAL,,PHI,W 24-13,,,,
54,1994,1994-10-23,7,25.299,DAL,@,ARI,W 28-21,,,,
55,1994,1994-10-30,8,25.306,DAL,@,CIN,W 23-20,,,,
56,1994,1994-11-07,9,25.314,DAL,,NYG,W 38-10,,,,
