ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1995,1995-09-03,1,21.354,SDG,@,OAK,L 7-17,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,0,,0,0,
2,1995,1995-09-10,2,21.361,SDG,,SEA,W 14-10,,3,19,6.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
3,1995,1995-09-17,3,22.003,SDG,@,PHI,W 27-21,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
4,1995,1995-09-24,4,22.010,SDG,,DEN,W 17-6,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,0,,0,0,
5,1995,1995-10-01,5,22.017,SDG,@,PIT,L 16-31,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,0,,0,0,
6,1995,1995-10-09,6,22.025,SDG,@,KAN,L 23-29,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,0,,0,0,
7,1995,1995-10-15,7,22.031,SDG,,DAL,L 9-23,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
8,1995,1995-10-22,8,22.038,SDG,@,SEA,W 35-25,,4,57,14.25,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
9,1995,1995-11-05,9,22.052,SDG,,MIA,L 14-24,,6,11,1.83,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
10,1995,1995-11-12,10,22.059,SDG,,KAN,L 7-22,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,8,8.00,0,0,0,,0,0,0
11,1995,1995-11-19,11,22.066,SDG,@,DEN,L 27-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,0,0
12,1995,1995-11-27,12,22.074,SDG,,OAK,W 12-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,57,19.00,0,2,12,6.00,0,0,0
13,1995,1995-12-03,13,22.080,SDG,,CLE,W 31-13,,5,39,7.80,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
14,1995,1995-12-09,14,22.086,SDG,,ARI,W 28-25,,2,3,1.50,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1995,1995-12-17,15,22.094,SDG,@,IND,W 27-24,,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,0,0,,0,0,
16,1995,1995-12-23,16,22.100,SDG,@,NYG,W 27-17,,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
17,1996,1996-09-01,1,22.353,SDG,,SEA,W 29-7,,7,50,7.14,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
18,1996,1996-09-08,2,22.360,SDG,,CIN,W 27-14,,2,3,1.50,0,9,6,51,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
19,1996,1996-09-15,3,23.001,SDG,@,GNB,L 10-42,,3,3,1.00,0,7,4,20,5.00,0,57.1%,2.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
20,1996,1996-09-22,4,23.008,SDG,@,OAK,W 40-34,,2,15,7.50,0,3,2,12,6.00,1,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
21,1996,1996-09-29,5,23.015,SDG,,KAN,W 22-19,,2,10,5.00,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
