ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1989,1989-09-10,1,23.198,NWE,@,NYJ,W 27-24,,0,0,,0,,,,,,,,
2,1989,1989-09-17,2,23.205,NWE,,MIA,L 10-24,,0,0,,0,,,,,,,,
3,1989,1989-09-24,3,23.212,NWE,,SEA,L 3-24,,2,9,4.50,0,,,0,0,,0,0,0
4,1989,1989-10-01,4,23.219,NWE,@,BUF,L 10-31,,0,0,,0,,,,,,,,
5,1989,1989-10-08,5,23.226,NWE,,HOU,W 23-13,,0,0,,0,,,,,,,,
6,1989,1989-10-15,6,23.233,NWE,@,ATL,L 15-16,,0,0,,0,,,,,,,,
7,1989,1989-10-22,7,23.240,NWE,@,SFO,L 20-37,,0,0,,0,,,,,,,,
8,1989,1989-10-29,8,23.247,NWE,@,IND,W 23-20,,0,0,,0,,,,,,,,
9,1989,1989-11-05,9,23.254,NWE,,NYJ,L 26-27,,0,0,,0,,,,,,,,
10,1989,1989-11-12,10,23.261,NWE,,NOR,L 24-28,,0,0,,0,,,,,,,,
11,1989,1989-11-19,11,23.268,NWE,,BUF,W 33-24,,0,0,,0,,,,,,,,
12,1989,1989-11-26,12,23.275,NWE,@,RAI,L 21-24,,0,0,,0,,,,,,,,
13,1989,1989-12-03,13,23.282,NWE,,IND,W 22-16,,0,0,,0,,,,,,,,
14,1989,1989-12-10,14,23.289,NWE,@,MIA,L 10-31,,0,0,,0,,,,,,,,
15,1989,1989-12-17,15,23.296,NWE,@,PIT,L 10-28,,1,4,4.00,0,,,0,0,,0,0,0
16,1989,1989-12-24,16,23.303,NWE,,RAM,L 20-24,,0,0,,0,,,,,,,,
17,1990,1990-09-09,1,24.197,NWE,,MIA,L 24-27,,2,43,21.50,1,,,0,0,,0,1,6
18,1990,1990-09-16,2,24.204,NWE,@,IND,W 16-14,,1,5,5.00,0,,,0,0,,0,0,0
19,1990,1990-09-23,3,24.211,NWE,@,CIN,L 7-41,,6,48,8.00,1,,,0,0,,0,1,6
20,1990,1990-09-30,4,24.218,NWE,,NYJ,L 13-37,,6,45,7.50,0,,,0,0,,0,0,0
21,1990,1990-10-07,5,24.225,NWE,,SEA,L 20-33,,6,45,7.50,0,,,0,0,,0,0,0
22,1990,1990-10-18,6,24.236,NWE,@,MIA,L 10-17,,1,11,11.00,0,,,0,0,,0,0,0
23,1990,1990-10-28,7,24.246,NWE,,BUF,L 10-27,,1,10,10.00,0,,,0,0,,0,0,0
24,1990,1990-11-04,8,24.253,NWE,@,PHI,L 20-48,,1,14,14.00,1,,,0,0,,0,1,6
25,1990,1990-11-11,9,24.260,NWE,,IND,L 10-13,,2,25,12.50,0,,,0,0,,0,0,0
26,1990,1990-11-18,10,24.267,NWE,@,BUF,L 0-14,,4,47,11.75,0,,,0,0,,0,0,0
27,1990,1990-11-25,11,24.274,NWE,@,PHO,L 14-34,,4,36,9.00,1,,,0,0,,0,1,6
28,1990,1990-12-02,12,24.281,NWE,,KAN,L 7-37,,6,37,6.17,1,,,0,0,,0,1,6
29,1990,1990-12-09,13,24.288,NWE,@,PIT,L 3-24,,2,20,10.00,0,,,0,0,,0,0,0
30,1990,1990-12-15,14,24.294,NWE,,WAS,L 10-25,,2,4,2.00,0,,,0,0,,0,0,0
31,1990,1990-12-23,15,24.302,NWE,@,NYJ,L 7-42,,4,41,10.25,0,,,0,0,,0,0,0
32,1990,1990-12-30,16,24.309,NWE,,NYG,L 10-13,,3,24,8.00,0,,,0,0,,0,0,0
33,1991,1991-09-01,1,25.189,NWE,@,IND,W 16-7,,6,57,9.50,1,,,0,0,,0,1,6
34,1991,1991-09-08,2,25.196,NWE,,CLE,L 0-20,,3,17,5.67,0,,,0,0,,0,0,0
35,1991,1991-09-15,3,25.203,NWE,@,PIT,L 6-20,,3,21,7.00,0,,,0,0,,0,0,0
36,1991,1991-09-22,4,25.210,NWE,,HOU,W 24-20,,10,99,9.90,1,,,0,0,,0,1,6
37,1991,1991-09-29,5,25.217,NWE,@,PHO,L 10-24,,6,42,7.00,0,,,0,0,,0,0,0
38,1991,1991-10-06,6,25.224,NWE,,MIA,L 10-20,,6,46,7.67,0,,,0,0,,0,0,0
39,1991,1991-10-20,7,25.238,NWE,,MIN,W 26-23,,6,57,9.50,0,,,0,0,,0,0,0
40,1991,1991-10-27,8,25.245,NWE,,DEN,L 6-9,,5,43,8.60,0,,,0,0,,0,0,0
41,1991,1991-11-03,9,25.252,NWE,@,BUF,L 17-22,,0,0,,0,,,,,,,,
42,1991,1991-11-10,10,25.259,NWE,@,MIA,L 20-30,,4,55,13.75,1,,,0,0,,0,1,6
43,1991,1991-11-17,11,25.266,NWE,,NYJ,L 21-28,,8,89,11.13,0,,,0,0,,0,0,0
44,1991,1991-11-24,12,25.273,NWE,,BUF,W 16-13,,7,69,9.86,0,,,0,0,,0,0,0
45,1991,1991-12-01,13,25.280,NWE,@,DEN,L 3-20,,6,75,12.50,0,,,0,0,,0,0,0
46,1991,1991-12-08,14,25.287,NWE,,IND,W 23-17,,6,90,15.00,0,,,0,0,,0,0,0
47,1991,1991-12-15,15,25.294,NWE,@,NYJ,W 6-3,,2,19,9.50,0,,,0,0,,0,0,0
48,1991,1991-12-22,16,25.301,NWE,@,CIN,L 7-29,,4,29,7.25,0,,,0,0,,0,0,0
49,1992,1992-09-13,1,26.202,NWE,@,RAM,L 0-14,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0
50,1992,1992-09-20,2,26.209,NWE,,SEA,L 6-10,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0
51,1992,1992-09-27,3,26.216,NWE,,BUF,L 7-41,8,7,60,8.57,1,87.5%,7.50,0,0,,0,1,6
52,1992,1992-10-04,4,26.223,NWE,@,NYJ,L 21-30,9,6,35,5.83,1,66.7%,3.89,0,0,,0,1,6
53,1992,1992-10-11,5,26.230,NWE,,SFO,L 12-24,,0,0,,0,0.0%,,,,,,,
54,1992,1992-10-18,6,26.237,NWE,@,MIA,L 17-38,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0
55,1992,1992-10-25,7,26.244,NWE,,CLE,L 17-19,9,7,39,5.57,0,77.8%,4.33,0,0,,0,0,0
56,1992,1992-11-01,8,26.251,NWE,@,BUF,L 7-16,8,6,57,9.50,0,75.0%,7.13,0,0,,0,0,0
57,1992,1992-11-08,9,26.258,NWE,,NOR,L 14-31,7,4,13,3.25,0,57.1%,1.86,0,0,,0,0,0
58,1992,1992-11-15,10,26.265,NWE,@,IND,W 37-34,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0
59,1992,1992-11-22,11,26.272,NWE,,NYJ,W 24-3,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0
60,1992,1992-11-29,12,26.279,NWE,@,ATL,L 0-34,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0
61,1992,1992-12-06,13,26.286,NWE,,IND,L 0-6,5,3,22,7.33,0,60.0%,4.40,0,0,,0,0,0
62,1992,1992-12-13,14,26.293,NWE,@,KAN,L 20-27,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0
63,1992,1992-12-20,15,26.300,NWE,@,CIN,L 10-20,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0
64,1992,1992-12-27,16,26.307,NWE,,MIA,L 13-16,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0
65,1993,1993-09-05,1,27.193,NWE,@,BUF,L 14-38,7,2,17,8.50,0,28.6%,2.43,0,0,,0,0,0
66,1993,1993-09-12,2,27.200,NWE,,DET,L 16-19,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0
67,1993,1993-09-19,3,27.207,NWE,,SEA,L 14-17,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0
68,1993,1993-09-26,4,27.214,NWE,@,NYJ,L 7-45,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0
69,1993,1993-10-10,5,27.228,NWE,@,PHO,W 23-21,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0
70,1993,1993-10-17,6,27.235,NWE,,HOU,L 14-28,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0
71,1993,1993-10-24,7,27.242,NWE,@,SEA,L 9-10,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0
72,1993,1993-10-31,8,27.249,NWE,@,IND,L 6-9,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0
73,1993,1993-11-07,9,27.256,NWE,,BUF,L 10-13,,0,0,,0,0.0%,,0,0,,0,,
74,1993,1993-11-21,10,27.270,NWE,@,MIA,L 13-17,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0
75,1993,1993-11-28,11,27.277,NWE,,NYJ,L 0-6,,0,0,,0,0.0%,,0,0,,0,,
76,1993,1993-12-05,12,27.284,NWE,@,PIT,L 14-17,,0,0,,0,0.0%,,0,0,,0,,
77,1993,1993-12-12,13,27.291,NWE,,CIN,W 7-2,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
