ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.198,IND,@,CHI,L 21-41,*,,,,,,0.0%,,,,,,,,,,,
2,2012,2012-09-16,2,22.205,IND,,MIN,W 23-20,*,1,1,3,3.00,1,100.0%,3.00,1,0,0.00,0,,1,6,0.0,0,0
3,2012,2012-09-23,3,22.212,IND,,JAX,L 17-22,*,6,5,35,7.00,0,83.3%,5.83,0,0,,0,,0,0,0.0,0,0
4,2012,2012-10-07,4,22.226,IND,,GNB,W 30-27,*,5,4,38,9.50,1,80.0%,7.60,0,0,,0,,1,6,0.0,0,0
5,2012,2012-10-14,5,22.233,IND,@,NYJ,L 9-35,*,4,2,33,16.50,0,50.0%,8.25,0,0,,0,,0,0,0.0,0,0
6,2012,2012-10-21,6,22.240,IND,,CLE,W 17-13,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,0,0,0.0,0,0
7,2012,2012-10-28,7,22.247,IND,@,TEN,W 19-13,*,5,4,56,14.00,0,80.0%,11.20,0,0,,0,,0,0,0.0,0,0
8,2012,2012-11-04,8,22.254,IND,,MIA,W 23-20,*,7,6,75,12.50,0,85.7%,10.71,0,0,,0,,0,0,0.0,0,0
9,2012,2012-11-08,9,22.258,IND,@,JAX,W 27-10,*,2,2,31,15.50,0,100.0%,15.50,0,0,,0,,0,0,0.0,0,0
10,2012,2012-11-18,10,22.268,IND,@,NWE,L 24-59,*,11,6,69,11.50,0,54.5%,6.27,0,0,,0,,0,0,0.0,0,0
11,2012,2012-11-25,11,22.275,IND,,BUF,W 20-13,*,6,3,36,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,0,0
12,2012,2012-12-02,12,22.282,IND,@,DET,W 35-33,*,5,2,50,25.00,0,40.0%,10.00,0,0,,0,,0,0,0.0,0,0
13,2012,2012-12-09,13,22.289,IND,,TEN,W 27-23,*,3,1,11,11.00,0,33.3%,3.67,0,0,,0,,0,0,0.0,0,0
14,2012,2012-12-16,14,22.296,IND,@,HOU,L 17-29,*,3,3,36,12.00,1,100.0%,12.00,1,3,3.00,0,,1,6,0.0,0,0
15,2012,2012-12-23,15,22.303,IND,@,KAN,W 20-13,*,3,3,18,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
16,2012,2012-12-30,16,22.310,IND,,HOU,W 28-16,*,3,2,21,10.50,0,66.7%,7.00,1,2,2.00,0,,0,0,0.0,0,0
17,2013,2013-09-08,1,23.196,IND,,OAK,W 21-17,*,2,1,20,20.00,1,50.0%,10.00,0,0,,0,,1,6,0.0,0,0
18,2014,2014-09-07,1,24.195,IND,@,DEN,L 24-31,*,5,4,64,16.00,1,80.0%,12.80,0,0,,0,,1,6,0.0,1,0
19,2014,2014-09-15,2,24.203,IND,,PHI,L 27-30,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,1
20,2014,2014-09-21,3,24.209,IND,@,JAX,W 44-17,*,6,4,43,10.75,1,66.7%,7.17,0,0,,0,,1,6,0.0,0,0
21,2014,2014-09-28,4,24.216,IND,,TEN,W 41-17,*,3,3,38,12.67,1,100.0%,12.67,0,0,,0,,1,6,0.0,0,0
22,2014,2014-10-05,5,24.223,IND,,BAL,W 20-13,*,5,4,59,14.75,1,80.0%,11.80,0,0,,0,,1,6,0.0,0,0
23,2014,2014-10-09,6,24.227,IND,@,HOU,W 33-28,*,7,3,49,16.33,0,42.9%,7.00,0,0,,0,,0,0,0.0,0,0
24,2014,2014-10-19,7,24.237,IND,,CIN,W 27-0,*,6,3,52,17.33,1,50.0%,8.67,0,0,,0,,1,6,0.0,1,0
25,2014,2014-10-26,8,24.244,IND,@,PIT,L 34-51,*,2,1,21,21.00,1,50.0%,10.50,0,0,,0,,1,6,0.0,0,0
26,2014,2014-11-03,9,24.252,IND,@,NYG,W 40-24,*,5,4,48,12.00,1,80.0%,9.60,0,0,,0,,1,6,0.0,0,0
27,2014,2014-11-16,10,24.265,IND,,NWE,L 20-42,*,,,,,,0.0%,,,,,,,,,,,
