ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,25.134,CLE,@,IND,W 27-19,,0,0,,0,0,0,,0,0.0,0,1
2,2011,2011-09-25,3,25.141,CLE,,MIA,W 17-16,,2,2,1.00,0,0,0,,0,0.0,0,0
3,2011,2011-10-02,4,25.148,CLE,,TEN,L 13-31,,1,0,0.00,0,0,0,,0,0.0,0,0
4,2012,2012-12-09,13,26.216,CAR,,ATL,W 30-20,,0,0,,0,3,54,18.00,0,0.0,0,0
5,2012,2012-12-16,14,26.223,CAR,@,SDG,W 31-7,,3,0,0.00,0,1,26,26.00,0,0.0,0,0
6,2012,2012-12-23,15,26.230,CAR,,OAK,W 17-6,,0,0,,0,1,26,26.00,0,0.0,0,0
7,2012,2012-12-30,16,26.237,CAR,@,NOR,W 44-38,,0,0,,0,1,25,25.00,0,0.0,0,0
8,2013,2013-09-08,1,27.124,CAR,,SEA,L 7-12,,,,,,,,,,,,
9,2013,2013-09-15,2,27.131,CAR,@,BUF,L 23-24,,,,,,,,,,,,
10,2013,2013-09-22,3,27.138,CAR,,NYG,W 38-0,,3,0,0.00,0,0,0,,0,0.0,1,0
11,2013,2013-10-06,4,27.152,CAR,@,ARI,L 6-22,,,,,,,,,,,,
12,2013,2013-10-13,5,27.159,CAR,@,MIN,W 35-10,,1,5,5.00,0,0,0,,0,0.0,0,0
