ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,24.151,CHI,,NYG,L 20-26,,,,,,,
2,1993,1993-09-12,2,24.158,CHI,@,MIN,L 7-10,,,,,,,
3,1993,1993-09-26,3,24.172,CHI,,TAM,W 47-17,,,,,,,
4,1993,1993-10-03,4,24.179,CHI,,ATL,W 6-0,,,,,,,
5,1993,1993-10-10,5,24.186,CHI,@,PHI,W 17-6,,,,,,,
6,1993,1993-10-25,6,24.201,CHI,,MIN,L 12-19,,,,,,,
7,1993,1993-10-31,7,24.207,CHI,@,GNB,L 3-17,,,,,,,
8,1993,1993-11-07,8,24.214,CHI,,RAI,L 14-16,,,,,,,
9,1993,1993-11-14,9,24.221,CHI,@,SDG,W 16-13,,,,,,,
10,1993,1993-11-21,10,24.228,CHI,@,KAN,W 19-17,,0,0,0.0,1,8,0
11,1993,1993-11-25,11,24.232,CHI,@,DET,W 10-6,,0,0,0.0,1,21,0
12,1993,1993-12-05,12,24.242,CHI,,GNB,W 30-17,,1,6,0.0,1,80,1
13,1993,1993-12-12,13,24.249,CHI,@,TAM,L 10-13,,,,,,,
14,1993,1993-12-18,14,24.255,CHI,,DEN,L 3-13,,,,,,,
15,1993,1993-12-26,15,24.263,CHI,,DET,L 14-20,,,,,,,
16,1993,1994-01-02,16,24.270,CHI,@,RAM,L 6-20,,,,,,,
17,1994,1994-09-04,1,25.150,CHI,,TAM,W 21-9,,,,,,,
18,1994,1994-09-12,2,25.158,CHI,@,PHI,L 22-30,,,,,,,
19,1994,1994-09-18,3,25.164,CHI,,MIN,L 14-42,,,,,,,
20,1994,1994-09-25,4,25.171,CHI,@,NYJ,W 19-7,,,,,,,
21,1994,1994-10-02,5,25.178,CHI,,BUF,W 20-13,,0,0,0.0,1,5,0
22,1994,1994-10-09,6,25.185,CHI,,NOR,W 17-7,,,,,,,
23,1994,1994-10-23,7,25.199,CHI,@,DET,L 16-21,,,,,,,
24,1994,1994-10-31,8,25.207,CHI,,GNB,L 6-33,,,,,,,
25,1994,1994-11-06,9,25.213,CHI,@,TAM,W 20-6,,,,,,,
26,1994,1994-11-20,11,25.227,CHI,,DET,W 20-10,,,,,,,
27,1994,1994-11-27,12,25.234,CHI,@,ARI,W 19-16,,,,,,,
28,1994,1994-12-01,13,25.238,CHI,@,MIN,L 27-33,,,,,,,
29,1994,1994-12-11,14,25.248,CHI,@,GNB,L 3-40,,,,,,,
30,1994,1994-12-18,15,25.255,CHI,,RAM,W 27-13,,,,,,,
31,1994,1994-12-24,16,25.261,CHI,,NWE,L 3-13,,,,,,,
32,1995,1995-09-03,1,26.149,CHI,,MIN,W 31-14,,,,,,,
33,1995,1995-09-11,2,26.157,CHI,,GNB,L 24-27,,,,,,,
34,1995,1995-09-17,3,26.163,CHI,@,TAM,W 25-6,,0,0,0.0,1,32,0
35,1995,1995-09-24,4,26.170,CHI,@,STL,L 28-34,,,,,,,
36,1995,1995-10-08,5,26.184,CHI,,CAR,W 31-27,,,,,,,
37,1995,1995-10-15,6,26.191,CHI,@,JAX,W 30-27,,,,,,,
38,1995,1995-10-22,7,26.198,CHI,,HOU,W 35-32,,,,,,,
39,1995,1995-10-30,8,26.206,CHI,@,MIN,W 14-6,,,,,,,
40,1995,1995-11-05,9,26.212,CHI,,PIT,L 34-37,,0,0,1.0,0,0,0
41,1995,1995-11-12,10,26.219,CHI,@,GNB,L 28-35,,,,,,,
42,1995,1995-11-19,11,26.226,CHI,,DET,L 17-24,,,,,,,
43,1995,1995-11-26,12,26.233,CHI,@,NYG,W 27-24,,,,,,,
44,1995,1995-12-04,13,26.241,CHI,@,DET,L 7-27,,,,,,,
45,1995,1995-12-10,14,26.247,CHI,@,CIN,L 10-16,,,,,,,
46,1995,1995-12-17,15,26.254,CHI,,TAM,W 31-10,,,,,,,
47,1995,1995-12-24,16,26.261,CHI,,PHI,W 20-14,,,,,,,
48,1996,1996-09-29,4,27.175,STL,@,ARI,L 28-31,,,,,,,
49,1996,1996-10-06,5,27.182,STL,,SFO,L 11-28,,,,,,,
50,1996,1996-10-13,6,27.189,STL,@,CAR,L 13-45,,,,,,,
51,1996,1996-10-20,7,27.196,STL,,JAX,W 17-14,,,,,,,
52,1996,1996-10-27,8,27.203,WAS,,IND,W 31-16,,,,,,,
53,1996,1996-11-03,9,27.210,STL,@,PIT,L 6-42,,,,,,,
54,1996,1996-11-10,10,27.217,STL,,ATL,W 59-16,,0,0,0.0,1,3,0
55,1996,1996-11-17,11,27.224,STL,,CAR,L 10-20,,,,,,,
