ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-13,1,22.338,SDG,@,KAN,L 14-21,*,20,78,3.90,0,2,1,2,2.00,0,50.0%,1.00,,0,0,0.0,0,0
2,2010,2010-09-19,2,22.344,SDG,,JAX,W 38-13,*,5,26,5.20,0,2,2,29,14.50,0,100.0%,14.50,,0,0,0.0,0,0
3,2010,2010-10-03,4,22.358,SDG,,ARI,W 41-10,,9,55,6.11,1,1,1,13,13.00,0,100.0%,13.00,,1,6,0.0,0,0
4,2010,2010-10-10,5,23.000,SDG,@,OAK,L 27-35,,9,59,6.56,0,1,1,0,0.00,0,100.0%,0.00,,0,0,0.0,0,0
5,2010,2010-10-17,6,23.007,SDG,@,STL,L 17-20,*,12,64,5.33,0,4,3,12,4.00,0,75.0%,3.00,,0,0,0.0,0,0
6,2010,2010-10-24,7,23.014,SDG,,NWE,L 20-23,*,8,15,1.88,0,3,2,7,3.50,0,66.7%,2.33,,0,0,0.0,0,0
7,2010,2010-10-31,8,23.021,SDG,,TEN,W 33-25,*,15,43,2.87,1,3,3,11,3.67,0,100.0%,3.67,,1,6,0.0,0,0
8,2010,2010-11-07,9,23.028,SDG,@,HOU,W 29-23,*,9,42,4.67,0,2,2,18,9.00,0,100.0%,9.00,,0,0,0.0,0,0
9,2010,2010-12-12,13,23.063,SDG,,KAN,W 31-0,*,16,65,4.06,1,2,1,6,6.00,0,50.0%,3.00,,1,6,0.0,0,0
10,2010,2010-12-16,14,23.067,SDG,,SFO,W 34-7,*,17,56,3.29,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
11,2010,2010-12-26,15,23.077,SDG,@,CIN,L 20-34,,12,55,4.58,1,3,3,28,9.33,0,100.0%,9.33,,1,6,0.0,0,0
12,2010,2011-01-02,16,23.084,SDG,@,DEN,W 33-28,*,26,120,4.62,3,3,3,19,6.33,0,100.0%,6.33,,3,18,0.0,0,0
13,2011,2011-09-11,1,23.336,SDG,,MIN,W 24-17,*,12,45,3.75,0,5,3,73,24.33,0,60.0%,14.60,,0,0,0.0,0,0
14,2011,2011-09-18,2,23.343,SDG,@,NWE,L 21-35,*,12,64,5.33,1,9,7,62,8.86,0,77.8%,6.89,,1,6,0.0,0,0
15,2011,2011-09-25,3,23.350,SDG,,KAN,W 20-17,*,21,98,4.67,2,4,4,51,12.75,0,100.0%,12.75,,2,12,0.0,1,0
16,2011,2011-10-02,4,23.357,SDG,,MIA,W 26-16,*,16,81,5.06,0,5,5,68,13.60,0,100.0%,13.60,,0,0,0.0,0,0
17,2011,2011-10-09,5,23.364,SDG,@,DEN,W 29-24,*,24,125,5.21,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0
18,2011,2011-10-23,6,24.013,SDG,@,NYJ,L 21-27,*,13,39,3.00,0,5,4,26,6.50,0,80.0%,5.20,,0,0,0.0,0,0
19,2011,2011-10-31,7,24.021,SDG,@,KAN,L 20-23,*,13,57,4.38,0,7,6,55,9.17,0,85.7%,7.86,,0,0,0.0,1,0
20,2011,2011-11-10,9,24.031,SDG,,OAK,L 17-24,*,6,34,5.67,0,5,3,23,7.67,0,60.0%,4.60,,0,0,0.0,0,0
